Public Research/Doctoral / FY1999 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
"Cleveland State University (Cleveland, OH) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"College of William and Mary (Williamsburg, VA) "	"$411,500 "	"$10,325 "	"$6,375 "	"$2,015 "	"$84,521 "	"$4,925 "	"$82,800 "	"$939,639 "	"$608,362 "	"$4,770,590 "	26.60%	--	25.30%	90.00%	--	"61,330"	"16,305"	"$21,729,900 "	"2,767"	"$1,483,390 "	441	--	"3,208"	--	"$2,346,590 "	"$15,489 "	"$2,534,710 "	"$9,550 "	"$910,265 "	"$173,711 "	"$1,165,150 "	"$1,483,390 "	"$9,230,950 "	--	"$31,885,600 "	--	--	--
"Colorado School of Mines (Golden, CO) "	"$59,769 "	"$30,250 "	$750 	"$3,000 "	"$2,200 "	$0 	"$10,616 "	$0 	"$32,910 "	"$2,299,030 "	18.10%	19.80%	17.60%	93.60%	--	"14,631"	"2,649"	"$6,558,730 "	111	"$42,645 "	10	--	121	--	"$6,221,610 "	"$26,349 "	"$1,438,460 "	$0 	"$779,519 "	$0 	"$1,649,440 "	$0 	"$5,110,630 "	--	"$17,524,500 "	--	--	--
"Colorado State University (Fort Collins, CO) "	"$281,804 "	"$75,000 "	"$33,440 "	"$6,613 "	"$52,281 "	$304 	"$401,254 "	"$24,027 "	"$32,374 "	"$927,203 "	8.90%	--	6.40%	96.10%	--	"109,627"	"9,773"	"$2,202,970 "	980	"$645,679 "	359	--	"1,339"	--	"$7,545,780 "	"$17,667 "	"$3,407,250 "	"$60,100 "	"$1,110,250 "	"$477,181 "	"$5,298,990 "	"$645,679 "	"$11,118,000 "	--	"$21,230,200 "	--	--	--
"CUNY-Graduate School & Univ. Center (New York, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"East Carolina University (Greenville, NC) "	"$249,114 "	$0 	$0 	"$3,257 "	$910 	$0 	"$91,269 "	"$2,280,790 "	"$119,388 "	"$2,819,660 "	23.80%	--	18.70%	56.40%	--	"63,821"	"15,191"	"$4,380,290 "	"5,809"	"$2,747,940 "	874	--	"6,683"	--	"$4,052,470 "	"$12,721 "	"$274,508 "	$0 	"$251,508 "	"$274,794 "	"$660,872 "	"$2,747,940 "	"$5,107,070 "	--	"$11,716,300 "	--	--	--
"East Tennessee State University (Johnson City, TN) "	"$111,189 "	$0 	$0 	"$33,959 "	"$2,655 "	$0 	"$19,058 "	"$117,819 "	$0 	"$314,398 "	6.60%	--	6.00%	100.00%	--	"48,288"	"3,202"	"$446,968 "	"1,883"	"$700,376 "	59	--	"1,942"	--	"$6,979,000 "	"$14,535 "	"$881,399 "	$0 	"$879,399 "	"$432,643 "	"$2,547,120 "	"$700,375 "	"$10,301,400 "	--	"$15,520,500 "	--	--	--
"Florida Agricultural and Mechanical (Tallahassee, FL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Florida Atlantic University (Boca Raton, FL) "	"$128,800 "	$0 	$276 	$100 	"$1,650 "	"$1,040 "	"$11,814 "	"$137,831 "	"$8,078 "	"$331,279 "	4.20%	--	4.20%	75.10%	--	"67,873"	"2,858"	"$340,290 "	532	"$1,391,770 "	1	--	533	--	"$6,487,610 "	"$10,691 "	"$18,440,000 "	"$68,600 "	"$484,691 "	"$295,727 "	"$1,307,340 "	"$1,391,770 "	"$4,703,080 "	--	"$30,130,800 "	--	--	--
"Florida International University (Miami, FL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Florida State University (Tallahassee, FL) "	"$962,288 "	$0 	$0 	$0 	$0 	"$599,851 "	"$81,340 "	"$4,458,320 "	"$210,941 "	"$6,383,330 "	9.00%	--	8.80%	100.00%	--	"163,849"	"14,731"	"$17,367,100 "	"15,001"	"$8,916,640 "	790	--	"15,791"	--	"$10,890,600 "	"$13,103 "	"$2,369,890 "	$0 	"$2,220,060 "	"$2,229,160 "	"$4,476,390 "	"$8,916,640 "	"$20,193,500 "	--	"$54,500,000 "	--	--	--
"George Mason University (Fairfax, VA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Georgia Institute of Technology (Atlanta, GA) "	"$445,122 "	"$7,825 "	"$177,784 "	$0 	"$4,286 "	"$52,972 "	"$484,664 "	"$5,011,350 "	"$1,267,700 "	"$10,676,500 "	25.50%	--	25.20%	90.00%	--	"83,394"	"21,265"	"$36,563,000 "	"3,556"	"$6,010,250 "	345	--	"3,901"	--	"$30,247,100 "	"$39,316 "	"$7,943,240 "	$0 	"$6,219,460 "	"$317,250 "	"$16,138,800 "	"$6,013,770 "	"$35,169,300 "	--	"$82,701,900 "	--	--	--
"Georgia Southern University (Statesboro, GA) "	"$176,255 "	$0 	$0 	$0 	$0 	$0 	$0 	$0 	"$18,573 "	"$397,357 "	7.60%	--	7.30%	71.10%	--	"59,717"	"4,512"	"$1,315,990 "	--	--	--	--	--	--	"$1,063,610 "	"$13,562 "	"$273,917 "	$0 	"$155,417 "	$0 	"$906,560 "	"$849,437 "	"$2,791,010 "	--	"$5,334,040 "	--	--	--
"Georgia State University (Atlanta, GA) "	"$346,010 "	"$9,774 "	"$1,932 "	$160 	"$4,105 "	$0 	"$51,380 "	$0 	"$128,652 "	"$957,125 "	9.20%	--	8.90%	84.80%	--	"111,208"	"10,259"	"$2,010,120 "	--	--	--	--	--	--	"$4,353,830 "	"$10,534 "	"$6,334,430 "	$0 	"$3,001,860 "	$0 	"$1,708,920 "	$0 	"$6,528,700 "	--	"$14,923,600 "	--	--	--
"Idaho State University (Pocatello, ID) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Illinois State University (Normal, IL) "	"$574,152 "	$0 	$0 	$0 	"$4,001 "	$0 	"$196,752 "	"$14,511 "	"$56,216 "	"$867,291 "	9.40%	--	8.70%	81.90%	--	"123,631"	"11,659"	"$1,098,960 "	--	--	--	--	--	--	"$3,294,560 "	"$9,407 "	"$8,100 "	$0 	"$7,850 "	"$10,186 "	"$1,745,330 "	"$38,948 "	"$3,363,710 "	--	"$6,800,490 "	--	--	--
"Indiana State University (Terre Haute, IN) "	--	--	--	--	--	--	--	--	--	"$729,811 "	11.40%	--	10.90%	59.10%	--	"64,601"	"7,362"	"$3,664,540 "	"1,258"	"$548,481 "	0	--	"1,258"	--	"$518,989 "	$0 	"$765,133 "	--	"$186,202 "	--	"$486,766 "	--	"$1,831,940 "	--	"$7,126,550 "	--	--	--
"Indiana Univ. of Pennsylvania (Indiana, PA) "	"$32,085 "	$0 	"$1,805 "	"$1,535 "	"$2,363 "	"$23,464 "	"$14,557 "	"$14,712 "	"$28,307 "	"$520,539 "	13.30%	--	--	49.70%	--	"72,050"	"9,598"	"$833,695 "	--	--	--	--	--	--	"$911,542 "	"$12,697 "	"$701,081 "	$0 	"$399,581 "	"$152,146 "	"$450,798 "	"$187,558 "	"$1,715,820 "	--	"$3,059,510 "	--	--	--
"Indiana University (Bloomington, IN) "	"$3,041,250 "	"$65,882 "	"$76,012 "	"$177,638 "	"$64,866 "	"$34,730 "	"$867,534 "	$0 	"$3,225,900 "	"$8,837,830 "	14.70%	--	13.30%	84.10%	--	"382,437"	"56,243"	"$24,772,800 "	--	--	--	--	--	--	"$42,272,500 "	"$13,889 "	"$24,563,300 "	$0 	"$20,709,700 "	$0 	"$36,483,600 "	$0 	"$108,655,000 "	--	"$159,437,000 "	--	--	--
"Iowa State University (Ames, IA) "	"$1,935,900 "	"$14,066 "	$850 	"$5,122 "	"$48,709 "	"$55,217 "	"$296,594 "	"$1,030,350 "	"$422,104 "	"$4,656,000 "	15.40%	--	13.30%	83.80%	--	"169,595"	"26,159"	"$11,120,500 "	"5,469"	"$3,297,920 "	124	--	"5,593"	--	"$6,610,300 "	"$22,220 "	"$4,458,220 "	"$96,745 "	"$1,640,480 "	"$1,241,900 "	"$4,086,330 "	"$3,301,920 "	"$15,307,500 "	--	"$49,490,400 "	--	--	--
"Jackson State University (Jackson, MS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Kansas State University (Manhattan, KS) "	"$2,383,490 "	"$262,823 "	"$58,085 "	"$27,410 "	"$1,895 "	"$5,830 "	"$415,618 "	$0 	"$2,234,530 "	"$6,056,430 "	24.60%	--	24.60%	87.80%	--	"136,282"	"33,496"	"$17,780,200 "	0	$0 	0	--	0	--	"$9,811,390 "	"$16,883 "	"$2,019,080 "	$0 	"$1,166,870 "	$0 	"$8,580,290 "	$0 	"$18,291,000 "	--	"$35,041,600 "	--	--	--
"Kent State University (Kent, OH) "	"$415,413 "	"$1,335 "	$0 	$0 	"$25,535 "	"$2,572 "	"$126,287 "	"$18,767 "	"$357,055 "	"$1,136,610 "	10.50%	--	10.30%	98.40%	--	"129,538"	"13,592"	"$1,522,620 "	--	"$52,142 "	--	--	--	--	"$2,445,280 "	"$8,390 "	"$1,568,940 "	$0 	"$1,270,190 "	"$26,365 "	"$2,142,340 "	"$52,141 "	"$6,971,260 "	--	"$9,316,930 "	--	--	--
"Louisiana State University - Baton Rouge (Baton Rouge, LA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Louisiana Tech University (Ruston, LA) "	"$226,533 "	$0 	$325 	$0 	"$6,850 "	"$20,100 "	$0 	"$336,371 "	$0 	"$710,839 "	6.20%	--	5.90%	87.00%	--	"51,664"	"3,226"	"$2,346,260 "	--	"$704,654 "	--	--	--	--	"$853,648 "	"$7,416 "	"$108,750 "	$0 	"$107,700 "	"$237,525 "	"$630,443 "	"$704,654 "	"$1,834,810 "	--	"$4,706,470 "	--	--	--
"Miami University (Oxford, OH) "	"$529,262 "	"$47,278 "	"$1,455 "	"$171,607 "	"$24,816 "	"$6,835 "	"$330,757 "	$0 	"$521,171 "	"$2,733,260 "	14.90%	36.60%	12.10%	44.30%	--	"139,348"	"20,830"	"$9,664,910 "	--	--	--	--	--	--	"$3,618,860 "	"$11,376 "	"$2,919,320 "	$0 	"$610,957 "	$0 	"$1,605,300 "	$0 	"$6,198,910 "	--	"$19,736,300 "	--	--	--
"Michigan State University (East Lansing, MI) "	--	--	--	--	--	--	--	--	--	"$8,294,910 "	12.80%	--	--	57.30%	--	"279,419"	"35,905"	"$35,299,100 "	"7,092"	"$5,748,120 "	0	--	"7,092"	--	"$32,937,900 "	"$18,764 "	"$9,067,930 "	--	"$6,373,280 "	--	"$31,165,400 "	--	"$53,825,600 "	--	"$104,136,000 "	--	--	--
"Michigan Technological University (Houghton, MI) "	--	--	--	--	--	--	--	--	--	--	18.50%	--	--	100.00%	--	"44,901"	"8,296"	"$11,319,900 "	--	"$48,570 "	--	--	--	--	"$16,530,900 "	"$19,092 "	"$3,991,710 "	--	--	--	--	--	"$19,213,700 "	--	"$33,827,300 "	--	--	--
"Mississippi State University (Mississippi State, MS) "	"$848,182 "	"$4,261 "	"$1,220 "	"$7,900 "	"$8,205 "	$200 	"$47,725 "	"$1,277,470 "	"$212,139 "	"$3,026,000 "	13.60%	--	13.10%	100.00%	--	"89,462"	"12,134"	"$11,375,600 "	"3,745"	"$2,084,200 "	21	--	"3,766"	--	"$6,166,140 "	"$18,796 "	"$3,047,030 "	"$2,500 "	"$2,737,530 "	"$193,228 "	"$4,279,230 "	"$1,917,210 "	"$11,890,600 "	--	"$26,324,900 "	--	--	--
"Missouri University of Science & Technology (Rolla, MO) "	"$540,000 "	"$17,000 "	"$87,000 "	$0 	$0 	$0 	"$109,000 "	$0 	"$80,000 "	"$1,259,000 "	21.30%	--	18.90%	100.00%	--	"40,071"	"8,536"	"$8,815,000 "	667	"$103,000 "	47	--	714	--	"$2,781,000 "	"$20,677 "	"$161,000 "	$0 	"$70,000 "	$0 	"$1,478,000 "	$0 	"$3,220,000 "	--	"$13,761,000 "	--	--	--
"Morgan State University (Baltimore, MD) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"New Jersey Institute of Technology (Newark, NJ) "	"$17,773 "	$0 	$250 	"$1,000 "	$0 	$0 	"$32,739 "	$0 	"$6,895 "	"$298,750 "	12.30%	--	9.40%	100.00%	--	"30,136"	"3,705"	"$2,453,840 "	--	--	--	--	--	--	"$3,733,190 "	"$18,299 "	"$1,534,330 "	$0 	"$467,028 "	$0 	"$1,852,350 "	$0 	"$3,018,640 "	--	"$9,734,230 "	--	--	--
"New Mexico State University (Las Cruces, NM) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"North Carolina A & T State University (Greensboro, NC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"North Carolina State Univ. at Raleigh (Raleigh, NC) "	"$507,719 "	"$1,801 "	"$29,959 "	$0 	"$22,265 "	$0 	"$3,924,140 "	$0 	"$623,881 "	"$6,404,980 "	19.10%	--	--	100.00%	--	"110,906"	"21,130"	"$23,667,900 "	--	--	--	--	--	--	"$35,764,000 "	"$23,506 "	"$6,614,330 "	$0 	"$5,733,470 "	$0 	"$32,649,200 "	$0 	"$49,815,000 "	--	"$74,998,900 "	--	--	--
North Dakota State University (ND) 	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Northern Arizona University (Flagstaff, AZ) "	"$239,021 "	$75 	"$6,200 "	"$25,741 "	"$2,252 "	$0 	"$26,024 "	"$33,282 "	"$53,529 "	"$454,819 "	7.20%	--	6.80%	53.00%	--	"77,300"	"5,548"	"$757,148 "	--	"$26,381 "	--	--	--	--	"$4,001,130 "	"$10,202 "	"$969,116 "	$0 	"$943,447 "	"$366,664 "	"$3,870,930 "	"$513,684 "	"$10,033,300 "	--	"$11,520,000 "	--	--	--
"Northern Illinois University (DeKalb, IL) "	"$575,652 "	"$27,530 "	$145 	"$29,506 "	"$29,768 "	$71 	"$49,505 "	"$141,894 "	"$33,735 "	"$935,722 "	8.90%	--	97.10%	95.10%	--	"139,707"	"12,432"	"$1,164,250 "	--	--	--	--	--	--	"$3,684,980 "	"$9,999 "	"$141,767 "	$0 	"$118,617 "	"$346,549 "	"$3,543,140 "	"$646,730 "	"$5,542,510 "	--	"$6,666,000 "	--	--	--
"Oakland University (Rochester, MI) "	"$180,517 "	$0 	$75 	"$3,327 "	"$5,917 "	"$4,452 "	"$4,413 "	"$16,781 "	"$91,183 "	"$950,010 "	11.60%	10.70%	11.50%	83.80%	--	"46,817"	"5,412"	"$1,001,390 "	425	"$223,876 "	1	--	426	--	"$2,962,360 "	"$7,654 "	"$653,211 "	$250 	"$377,587 "	"$45,092 "	"$2,833,060 "	"$223,876 "	"$5,981,350 "	--	"$6,964,940 "	--	--	--
"Ohio State University (Columbus, OH) "	"$999,907 "	"$458,572 "	"$284,378 "	"$665,365 "	"$110,434 "	"$266,642 "	"$689,553 "	"$2,816,660 "	"$399,963 "	"$8,760,190 "	17.00%	--	15.40%	75.00%	--	"311,785"	"53,042"	"$40,807,100 "	"11,546"	"$7,783,240 "	316	--	"11,862"	--	"$61,949,500 "	"$20,771 "	"$14,597,900 "	"$203,700 "	"$8,551,870 "	"$2,994,820 "	"$44,754,200 "	"$8,716,720 "	"$84,194,100 "	--	"$153,437,000 "	--	--	--
"Ohio University (Athens, OH) "	"$1,063,960 "	"$93,735 "	$250 	"$2,666 "	"$97,452 "	"$4,834 "	"$171,929 "	$0 	"$1,001,460 "	"$2,591,650 "	13.00%	--	--	100.00%	--	"130,536"	"16,996"	"$6,799,940 "	--	--	--	--	--	--	"$2,073,080 "	"$11,215 "	"$355,496 "	$0 	"$282,496 "	$0 	"$1,457,780 "	$0 	"$5,537,320 "	--	"$12,010,500 "	--	--	--
"Oklahoma State University (Stillwater, OK) "	"$130,877 "	"$62,372 "	"$6,391 "	"$12,662 "	"$17,276 "	"$30,266 "	"$137,611 "	"$2,966,370 "	"$475,997 "	"$4,357,160 "	12.60%	--	11.90%	100.00%	--	"120,872"	"15,282"	"$7,948,340 "	"7,514"	"$6,172,430 "	108	--	"7,622"	--	"$9,579,540 "	"$17,163 "	"$7,154,880 "	"$55,763 "	"$4,312,190 "	"$2,029,200 "	"$6,934,770 "	"$6,172,430 "	"$21,346,700 "	--	"$35,088,300 "	--	--	--
"Old Dominion University (Norfolk, VA) "	--	--	--	--	--	--	--	--	--	--	5.20%	--	--	67.20%	--	"75,500"	"3,902"	"$739,812 "	--	--	--	--	--	--	"$1,739,840 "	"$8,470 "	"$1,065,060 "	--	--	--	--	--	"$5,272,840 "	--	"$8,383,500 "	--	--	--
"Oregon State University (Corvallis, OR) "	"$456,799 "	"$327,699 "	"$22,462 "	"$25,935 "	"$190,293 "	$0 	"$1,206,360 "	"$1,208,760 "	"$1,225,650 "	"$4,769,820 "	12.60%	--	12.10%	95.70%	--	"110,789"	"13,955"	"$12,463,500 "	"2,285"	"$2,831,730 "	11	--	"2,296"	--	"$4,783,280 "	"$26,749 "	"$5,415,730 "	"$109,000 "	"$1,585,040 "	"$1,294,720 "	"$3,762,790 "	"$2,831,730 "	"$17,482,700 "	--	"$40,958,000 "	--	--	--
"Pennsylvania State University (University Park, PA) "	"$2,951,300 "	"$1,001,040 "	"$91,729 "	"$242,488 "	"$239,397 "	"$5,126 "	"$4,286,860 "	"$499,567 "	"$1,791,600 "	"$11,981,200 "	18.70%	19.20%	16.10%	60.10%	--	"386,779"	"72,208"	"$47,417,100 "	"22,425"	"$9,312,130 "	"2,167"	--	"24,592"	--	"$41,814,400 "	"$17,316 "	"$27,232,400 "	$0 	"$17,009,700 "	"$1,770 "	"$18,361,600 "	"$510,327 "	"$60,268,700 "	--	"$151,053,000 "	--	--	--
"Portland State University (Portland, OR) "	$0 	$0 	$525 	"$2,065 "	"$5,901 "	$0 	"$45,913 "	$0 	"$105,592 "	"$466,659 "	5.30%	6.40%	5.00%	82.70%	--	"110,368"	"5,842"	"$1,241,260 "	190	"$48,636 "	2	--	192	--	"$1,550,280 "	--	"$2,280,960 "	$0 	"$620,088 "	$0 	"$1,155,700 "	$0 	"$2,881,250 "	--	"$6,344,940 "	--	--	--
"Purdue University (West Lafayette, IN) "	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	"$10,875,400 "	"$11,754,400 "	14.90%	14.90%	14.10%	73.10%	--	"309,423"	"46,037"	"$33,325,100 "	--	--	--	--	--	--	"$30,661,600 "	"$13,405 "	"$8,788,680 "	$0 	"$8,221,940 "	$0 	"$16,499,600 "	$0 	"$41,008,500 "	--	"$81,964,000 "	--	--	--
"Rutgers, The State University (New Brunswick, NJ) "	"$1,343,040 "	$0 	"$20,802 "	$700 	"$227,881 "	$0 	"$541,242 "	"$807,801 "	"$2,566,740 "	"$5,508,210 "	11.20%	--	9.40%	100.00%	--	"262,709"	"29,425"	"$12,290,200 "	"3,738"	"$1,497,170 "	95	--	"3,833"	--	"$17,780,400 "	"$20,985 "	"$15,205,400 "	"$24,850 "	"$11,755,600 "	"$242,664 "	"$12,417,200 "	"$1,451,680 "	"$37,196,700 "	--	"$60,630,100 "	--	--	--
"South Carolina State University (Orangeburg, SC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"South Dakota State University (Brookings, SD) "	"$586,472 "	$0 	"$5,303 "	$0 	"$2,142 "	"$296,598 "	"$133,889 "	$0 	"$217,311 "	"$1,320,390 "	24.60%	--	19.60%	100.00%	--	"45,528"	"11,190"	"$3,215,560 "	--	--	--	--	--	--	"$1,465,270 "	"$12,631 "	"$457,497 "	$0 	"$265,450 "	$0 	"$1,108,800 "	$0 	"$3,167,520 "	--	"$9,254,840 "	--	--	--
"Southern Illinois Univ at Carbondale (Carbondale, IL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"SUNY-Albany (Albany, NY) "	"$336,274 "	"$11,125 "	"$5,679 "	"$6,761 "	"$280,749 "	$269 	"$57,871 "	"$100,151 "	"$111,582 "	"$1,164,790 "	13.60%	--	13.00%	55.10%	--	"94,950"	"12,876"	"$1,516,110 "	783	"$100,151 "	0	--	783	--	"$10,913,500 "	"$13,264 "	"$763,332 "	$0 	"$663,332 "	$0 	"$589,702 "	"$100,151 "	"$2,832,090 "	--	"$14,963,900 "	--	--	--
"SUNY-Binghamton (Binghamton, NY) "	"$284,988 "	$0 	$250 	$0 	"$5,437 "	$769 	"$43,895 "	$0 	"$63,437 "	"$762,419 "	12.70%	--	12.00%	92.40%	--	"67,629"	"8,605"	"$1,094,240 "	7	$437 	84	--	91	--	"$848,645 "	"$13,841 "	"$1,023,650 "	$0 	"$331,133 "	$0 	"$718,691 "	$437 	"$3,686,700 "	--	"$5,380,640 "	--	--	--
"SUNY-Buffalo (Buffalo, NY) "	"$1,135,620 "	$0 	"$3,431 "	"$97,856 "	"$11,989 "	$0 	"$297,648 "	$0 	"$63,497 "	"$1,736,400 "	10.50%	8.30%	10.30%	92.00%	--	"134,610"	"14,199"	"$4,130,690 "	"2,112"	"$302,018 "	16	--	"2,128"	--	"$4,433,260 "	"$22,105 "	"$2,511,430 "	$0 	"$1,361,890 "	$0 	"$1,284,360 "	$0 	"$7,174,610 "	--	"$16,759,500 "	--	--	--
