Public Research/Doctoral / FY2006 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
"Cleveland State University (Cleveland, OH) "	--	--	--	--	--	--	--	--	--	--	5.60%	--	--	90.80%	17.90%	"93,008"	"5,247"	--	--	--	--	--	--	--	"$1,388,855 "	"$15,144 "	"$1,474,939 "	--	--	--	--	--	"$2,760,663 "	"$6,578,062 "	"$6,578,062 "	--	--	--
"College of William and Mary (Williamsburg, VA) "	"$1,273,456 "	"$197,044 "	"$41,280 "	"$19,304 "	"$297,400 "	"$146,207 "	"$653,681 "	"$2,364,036 "	"$1,033,852 "	"$10,411,076 "	22.10%	23.70%	20.80%	82.50%	48.60%	"73,652"	"16,310"	"$23,585,046 "	"3,782"	"$3,958,438 "	551	"$1,335,794 "	"4,333"	"$5,294,232 "	"$3,356,257 "	"$33,157 "	"$6,316,490 "	"$319,998 "	"$4,509,200 "	"$381,319 "	"$1,996,806 "	"$3,958,437 "	"$21,750,273 "	"$48,536,623 "	"$49,315,383 "	--	--	--
"Colorado School of Mines (Golden, CO) "	"$141,492 "	$250 	$0 	$0 	"$26,080 "	"$4,000 "	"$134,972 "	"$57,845 "	"$3,920 "	"$1,333,762 "	11.40%	12.70%	10.90%	81.10%	49.00%	"20,978"	"2,394"	"$7,357,776 "	175	"$165,120 "	48	"$2,030,126 "	223	"$2,195,246 "	"$3,703,306 "	"$29,460 "	"$2,481,823 "	"$23,100 "	"$1,738,627 "	"$28,421 "	"$2,339,136 "	"$128,345 "	"$6,101,519 "	"$15,004,617 "	"$15,689,478 "	--	--	--
"Colorado State University (Fort Collins, CO) "	"$1,677,459 "	"$321,141 "	"$49,753 "	"$15,990 "	"$13,995 "	"$170,447 "	"$719,384 "	"$229,444 "	"$69,626 "	"$3,386,480 "	7.70%	7.80%	6.80%	83.10%	18.00%	"155,290"	"11,993"	"$5,695,189 "	727	"$40,667 "	--	--	727	"$40,667 "	"$9,006,655 "	"$20,816 "	"$5,266,220 "	"$3,840 "	"$4,891,447 "	"$328,949 "	"$8,196,044 "	"$930,283 "	"$25,137,148 "	"$31,699,572 "	"$31,721,731 "	--	--	--
"CUNY-Graduate School & Univ. Center (New York, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"East Carolina University (Greenville, NC) "	"$355,033 "	$0 	"$1,745 "	"$28,288 "	"$58,118 "	$0 	"$66,139 "	"$2,652,560 "	"$1,141,392 "	"$4,340,467 "	7.30%	--	--	42.40%	45.70%	"113,083"	"8,298"	"$7,146,958 "	--	--	--	--	--	--	"$2,959,114 "	"$14,458 "	"$1,230,884 "	$0 	"$896,509 "	"$523,634 "	"$1,289,357 "	"$3,949,811 "	"$8,511,402 "	"$15,645,180 "	"$15,698,705 "	--	--	--
"East Tennessee State University (Johnson City, TN) "	"$285,327 "	$0 	$0 	"$55,737 "	"$3,025 "	$0 	"$20,469 "	"$113,858 "	$0 	"$518,477 "	5.60%	5.40%	5.30%	100.00%	5.60%	"67,041"	"3,749"	"$734,789 "	729	"$518,717 "	16	"$48,519 "	745	"$567,236 "	"$3,169,106 "	"$19,098 "	"$1,094,065 "	"$37,500 "	"$1,024,765 "	"$170,952 "	"$2,945,599 "	"$518,716 "	"$7,359,319 "	"$13,130,313 "	"$13,152,121 "	--	--	--
"Florida Agricultural and Mechanical (Tallahassee, FL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Florida Atlantic University (Boca Raton, FL) "	"$53,214 "	$0 	$218 	"$3,000 "	$765 	$0 	"$27,584 "	"$41,596 "	"$88,919 "	"$258,207 "	2.10%	2.00%	1.90%	85.00%	1.80%	"89,746"	"1,899"	"$322,825 "	535	"$387,200 "	0	$0 	535	"$387,200 "	"$3,128,477 "	"$14,983 "	"$1,588,290 "	"$6,380 "	"$906,096 "	"$60,878 "	"$928,389 "	"$222,822 "	"$9,691,642 "	"$17,569,461 "	"$17,676,217 "	--	--	--
"Florida International University (Miami, FL) "	"$47,829 "	$0 	$0 	$0 	$0 	$0 	"$6,284 "	"$8,276 "	"$20,052 "	"$180,807 "	1.80%	1.60%	1.50%	98.60%	2.70%	"100,993"	"1,841"	"$370,299 "	104	"$305,320 "	18	"$71,435 "	122	"$376,755 "	"$6,374,744 "	"$9,272 "	"$2,289,639 "	$0 	"$1,518,134 "	"$209,282 "	"$3,469,976 "	"$353,361 "	"$6,937,686 "	"$13,891,812 "	"$13,891,812 "	--	--	--
"Florida State University (Tallahassee, FL) "	"$1,129,106 "	"$9,453 "	$70 	"$46,801 "	"$8,750 "	"$47,383 "	"$130,300 "	"$5,433,393 "	"$1,112,762 "	"$7,949,611 "	14.10%	--	6.50%	90.50%	31.90%	"241,352"	"34,104"	"$16,030,639 "	"14,225"	"$10,866,786 "	32	"$4,510,769 "	"14,257"	"$15,377,555 "	"$10,102,535 "	"$19,672 "	"$3,823,401 "	$0 	"$1,659,237 "	"$2,716,697 "	"$6,956,028 "	"$10,868,710 "	"$27,540,811 "	"$50,244,834 "	"$54,965,279 "	--	--	--
"George Mason University (Fairfax, VA) "	"$281,140 "	"$15,273 "	"$10,736 "	$0 	"$13,620 "	"$11,292 "	"$141,095 "	"$69,941 "	"$82,003 "	"$677,070 "	11.50%	9.20%	11.40%	100.00%	3.20%	"57,848"	"6,625"	"$751,024 "	716	"$427,075 "	1	"$1,600 "	717	"$428,675 "	"$2,732,714 "	"$12,136 "	"$11,195,498 "	"$57,201 "	"$9,085,226 "	"$153,093 "	"$2,271,660 "	"$427,075 "	"$18,720,869 "	"$23,282,698 "	"$23,282,698 "	--	--	--
"Georgia Institute of Technology (Atlanta, GA) "	"$515,722 "	"$21,098 "	"$44,153 "	$0 	"$83,243 "	"$4,549,703 "	"$238,541 "	"$4,076,586 "	"$428,711 "	"$13,936,824 "	21.00%	24.70%	20.90%	95.00%	41.30%	"101,190"	"21,289"	"$39,529,322 "	"17,413"	"$5,550,972 "	"1,630"	"$7,619,267 "	"19,043"	"$13,170,239 "	"$25,341,594 "	"$48,695 "	"$16,679,095 "	"$20,700 "	"$7,330,198 "	"$607,024 "	"$19,023,200 "	"$6,160,570 "	"$49,307,363 "	"$95,781,200 "	"$101,307,419 "	--	--	--
"Georgia Southern University (Statesboro, GA) "	"$105,297 "	$30 	"$1,100 "	"$96,327 "	"$3,733 "	"$1,054 "	"$6,305 "	"$547,314 "	"$35,723 "	"$998,507 "	5.00%	--	--	100.00%	18.80%	"90,925"	"4,524"	"$1,199,013 "	--	"$1,682,180 "	--	--	--	"$1,682,180 "	"$532,838 "	"$8,746 "	"$2,604,430 "	$0 	"$410,352 "	$0 	"$414,063 "	"$1,682,180 "	"$3,485,389 "	"$6,365,107 "	"$6,365,107 "	--	--	--
"Georgia State University (Atlanta, GA) "	"$489,151 "	"$2,833 "	$550 	$0 	"$16,437 "	$0 	"$46,141 "	"$116,335 "	"$10,427 "	"$1,058,787 "	6.10%	4.90%	5.90%	96.70%	31.00%	"126,780"	"7,745"	"$3,512,103 "	59	"$49,775 "	2	"$47,805 "	61	"$97,580 "	"$1,964,918 "	"$16,574 "	"$3,586,318 "	$0 	"$1,754,151 "	"$18,050 "	"$1,260,882 "	"$183,067 "	"$5,551,880 "	"$11,323,190 "	"$11,423,706 "	--	--	--
"Idaho State University (Pocatello, ID) "	--	--	--	--	--	--	--	--	--	"$495,879 "	3.40%	--	0.00%	82.70%	17.40%	"75,000"	"2,547"	"$1,263,042 "	--	--	--	--	--	--	"$95,542 "	"$13,620 "	"$1,405,521 "	--	"$555,453 "	--	"$86,017 "	--	"$2,713,415 "	"$7,240,535 "	"$7,240,535 "	--	--	--
"Illinois State University (Normal, IL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Indiana State University (Terre Haute, IN) "	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	"$452,059 "	"$775,099 "	9.90%	--	9.40%	91.10%	35.10%	"73,460"	"7,292"	"$1,750,572 "	934	"$347,122 "	59	"$34,385 "	993	"$381,507 "	"$986,159 "	"$13,896 "	"$1,313,700 "	$0 	"$1,165,455 "	$0 	"$874,959 "	$0 	"$3,073,847 "	"$4,984,435 "	"$5,042,831 "	--	--	--
"Indiana Univ. of Pennsylvania (Indiana, PA) "	"$53,490 "	$0 	$380 	"$3,668 "	"$8,604 "	"$1,143 "	"$35,953 "	"$8,155 "	"$173,617 "	"$756,061 "	8.80%	9.00%	8.30%	98.80%	35.10%	"90,155"	"7,937"	"$1,428,189 "	143	"$43,398 "	1	$350 	144	"$43,748 "	"$904,057 "	"$13,640 "	"$754,008 "	"$2,234 "	"$396,701 "	"$25,249 "	"$315,550 "	"$43,398 "	"$1,968,526 "	"$4,064,703 "	"$4,064,703 "	--	--	--
"Indiana University (Bloomington, IN) "	"$8,519,471 "	"$1,004,350 "	"$2,250,260 "	"$225,552 "	"$181,373 "	"$377,287 "	"$4,943,084 "	$0 	"$1,453,823 "	"$21,142,291 "	13.30%	--	12.50%	57.50%	15.20%	"417,680"	"55,470"	"$37,641,911 "	--	--	--	--	--	--	"$67,479,890 "	"$22,301 "	"$39,871,059 "	$0 	"$26,408,430 "	$0 	"$63,523,577 "	$0 	"$192,515,375 "	"$247,520,018 "	"$250,677,402 "	--	--	--
"Iowa State University (Ames, IA) "	"$2,262,517 "	"$151,833 "	"$10,213 "	"$1,500 "	"$94,844 "	$0 	"$1,187,619 "	"$1,675,664 "	"$82,832 "	"$6,123,121 "	15.20%	--	12.70%	89.40%	29.40%	"193,924"	"29,556"	"$16,232,870 "	"7,816"	"$4,612,129 "	202	"$3,494,550 "	"8,018"	"$8,106,679 "	"$10,232,203 "	"$27,982 "	"$20,127,257 "	"$193,397 "	"$5,029,559 "	"$1,418,509 "	"$7,057,418 "	"$4,612,129 "	"$21,659,517 "	"$55,256,728 "	"$57,041,656 "	--	--	--
"Jackson State University (Jackson, MS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Kansas State University (Manhattan, KS) "	"$2,743,231 "	"$25,671 "	"$64,718 "	$13 	$250 	"$3,089,386 "	"$410,880 "	"$1,710,542 "	"$3,407,921 "	"$11,615,419 "	19.70%	20.50%	18.80%	69.40%	35.10%	"147,175"	"28,967"	"$18,636,042 "	"8,985"	"$11,484,470 "	387	"$3,795,757 "	"9,372"	"$15,280,227 "	"$22,293,296 "	"$21,098 "	"$3,180,368 "	"$287,270 "	"$2,604,329 "	"$1,889,179 "	"$12,511,936 "	"$5,975,871 "	"$34,490,388 "	"$53,169,688 "	"$54,858,124 "	--	--	--
"Kent State University (Kent, OH) "	"$1,121,889 "	"$1,200 "	$250 	$0 	"$15,610 "	$780 	"$607,957 "	"$186,399 "	"$77,158 "	"$2,228,229 "	6.60%	--	6.50%	6.60%	27.50%	"168,784"	"11,181"	"$3,976,166 "	"1,273"	"$1,194,204 "	5	"$252,195 "	"1,278"	"$1,446,399 "	"$4,020,916 "	"$13,360 "	"$2,448,260 "	"$1,000 "	"$1,639,083 "	"$190,389 "	"$3,393,134 "	"$1,187,169 "	"$10,270,596 "	"$14,482,284 "	"$15,130,825 "	--	--	--
"Louisiana State University - Baton Rouge (Baton Rouge, LA) "	"$1,580,816 "	$0 	"$4,450 "	"$5,880 "	"$7,965 "	"$43,710 "	"$326,341 "	$0 	"$1,043,765 "	"$4,291,994 "	6.40%	6.60%	6.20%	100.00%	10.30%	"156,338"	"10,075"	"$6,720,586 "	--	"$30,553,379 "	--	"$4,074,576 "	--	"$34,627,955 "	"$11,503,707 "	"$22,483 "	"$2,372,551 "	$0 	"$1,712,754 "	$0 	"$9,279,320 "	"$30,553,379 "	"$49,841,557 "	"$65,507,565 "	"$65,560,981 "	--	--	--
"Louisiana Tech University (Ruston, LA) "	"$966,001 "	$0 	$0 	$0 	"$3,943 "	$0 	$0 	"$627,735 "	$0 	"$2,690,359 "	6.60%	6.60%	4.20%	51.90%	59.00%	"74,441"	"4,911"	"$4,265,967 "	--	--	--	--	--	--	"$1,486,707 "	$710 	"$212,150 "	$0 	"$212,150 "	"$659,178 "	"$1,321,300 "	"$1,542,478 "	"$5,402,023 "	"$7,225,138 "	"$7,924,364 "	--	--	--
"Miami University (Oxford, OH) "	"$455,077 "	"$7,269 "	"$2,309 "	"$49,767 "	"$64,976 "	"$12,235 "	"$285,775 "	"$952,243 "	"$189,890 "	"$3,537,797 "	12.40%	13.70%	10.30%	85.80%	56.70%	"161,092"	"20,053"	"$15,746,410 "	"1,438"	"$1,279,001 "	63	"$96,940 "	"1,501"	"$1,375,941 "	"$2,217,927 "	"$21,922 "	"$3,479,937 "	"$3,100 "	"$665,868 "	"$73,237 "	"$1,088,545 "	"$1,279,002 "	"$7,182,909 "	"$27,749,436 "	"$32,985,458 "	--	--	--
"Michigan State University (East Lansing, MI) "	"$3,577,306 "	"$116,225 "	"$9,503 "	"$89,163 "	"$23,892 "	"$792,144 "	"$303,007 "	"$7,715,871 "	"$2,082,778 "	"$15,721,493 "	13.30%	--	0.00%	83.00%	33.30%	"415,097"	"55,268"	"$30,195,630 "	0	$0 	0	$0 	0	$0 	"$18,487,970 "	"$30,722 "	"$20,843,110 "	"$239,254 "	"$17,316,337 "	"$2,684,193 "	"$17,383,218 "	"$13,812,636 "	"$65,814,936 "	"$90,635,481 "	"$147,363,851 "	--	--	--
"Michigan Technological University (Houghton, MI) "	--	--	--	--	--	--	--	--	--	--	15.90%	--	--	84.60%	56.30%	"64,292"	"10,220"	--	--	--	--	--	--	--	"$3,052,789 "	"$25,782 "	"$1,470,988 "	--	--	--	--	--	"$10,447,934 "	"$12,337,943 "	"$13,610,237 "	--	--	--
"Mississippi State University (Mississippi State, MS) "	"$1,009,292 "	"$1,000 "	$0 	"$8,118 "	$170 	"$1,340 "	"$173,577 "	"$6,716,237 "	"$1,536,432 "	"$10,152,046 "	7.30%	9.20%	7.10%	85.70%	52.40%	"127,691"	"9,377"	"$38,035,710 "	--	--	--	--	--	--	"$9,990,946 "	"$31,770 "	"$14,517,528 "	"$91,600 "	"$4,873,101 "	"$1,774,763 "	"$7,469,270 "	"$10,457,026 "	"$26,389,412 "	"$72,622,610 "	"$72,730,788 "	--	--	--
"Missouri University of Science & Technology (Rolla, MO) "	"$758,450 "	$0 	"$22,117 "	"$17,693 "	$0 	"$1,465 "	"$65,607 "	"$8,487 "	"$14,063 "	"$1,418,751 "	18.10%	20.10%	16.50%	99.40%	26.80%	"44,223"	"7,991"	"$2,939,986 "	--	--	--	--	--	--	"$6,106,721 "	"$22,678 "	"$358,557 "	$0 	"$103,589 "	"$2,618 "	"$1,364,918 "	"$30,790 "	"$3,410,686 "	"$10,971,184 "	"$10,982,729 "	--	--	--
"Morgan State University (Baltimore, MD) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"New Jersey Institute of Technology (Newark, NJ) "	"$60,388 "	$0 	$865 	"$5,075 "	$275 	$0 	"$36,139 "	"$9,962 "	"$217,255 "	"$598,311 "	9.70%	--	9.20%	95.00%	20.50%	"43,909"	"4,281"	"$1,414,794 "	44	"$28,912 "	--	--	44	"$28,912 "	"$3,837,032 "	"$24,694 "	"$847,041 "	"$18,700 "	"$690,841 "	$250 	"$3,295,457 "	"$28,912 "	"$5,009,358 "	"$6,900,094 "	"$6,972,199 "	--	--	--
"New Mexico State University (Las Cruces, NM) "	"$165,947 "	"$3,376 "	"$51,720 "	"$198,239 "	"$6,780 "	"$45,350 "	"$199,292 "	"$125,670 "	"$157,479 "	"$955,053 "	4.40%	3.40%	3.60%	53.00%	4.80%	"83,688"	"3,666"	"$4,998,531 "	"1,218"	"$509,196 "	19	"$46,159 "	"1,237"	"$555,355 "	"$92,061,998 "	"$19,294 "	"$3,238,321 "	"$10,952 "	"$3,053,949 "	"$169,703 "	"$1,955,085 "	"$384,219 "	"$7,057,410 "	"$105,003,883 "	"$105,161,643 "	--	--	--
"North Carolina A & T State University (Greensboro, NC) "	"$225,530 "	$0 	$0 	$0 	$0 	"$3,600 "	"$366,153 "	"$69,943 "	"$47,317 "	"$1,026,682 "	11.70%	--	11.20%	76.80%	13.90%	"31,113"	"3,629"	"$1,162,636 "	290	"$481,885 "	0	$0 	290	"$481,885 "	"$6,092,738 "	"$18,422 "	"$762,842 "	"$201,000 "	"$667,166 "	"$43,044 "	"$5,904,176 "	"$481,885 "	"$7,911,557 "	"$8,393,511 "	"$8,401,222 "	--	--	--
"North Carolina State Univ. at Raleigh (Raleigh, NC) "	"$23,434 "	"$3,249 "	"$35,228 "	$190 	"$49,752 "	"$152,641 "	"$4,602,307 "	"$1,111,217 "	"$463,431 "	"$7,479,991 "	20.70%	--	--	96.30%	19.20%	"160,390"	"33,150"	"$26,541,557 "	--	"$9,260,144 "	--	"$8,648,715 "	--	"$17,908,859 "	"$53,783,003 "	"$31,739 "	"$31,475,294 "	$0 	"$28,073,439 "	"$185,203 "	"$46,258,187 "	"$1,852,029 "	"$99,668,184 "	"$138,299,146 "	"$144,249,332 "	--	--	--
North Dakota State University (ND) 	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Northern Arizona University (Flagstaff, AZ) "	"$148,574 "	$0 	"$2,000 "	"$50,839 "	"$2,370 "	$152 	"$64,610 "	"$30,705 "	"$109,182 "	"$408,457 "	4.70%	4.80%	4.30%	94.60%	12.50%	"95,122"	"4,436"	"$816,770 "	0	$0 	0	$0 	0	$0 	"$1,997,074 "	"$16,549 "	"$1,644,119 "	"$7,803 "	"$1,429,990 "	"$69,413 "	"$1,421,912 "	"$196,176 "	"$4,399,242 "	"$6,542,026 "	"$7,162,020 "	--	--	--
"Northern Illinois University (DeKalb, IL) "	"$970,542 "	"$19,300 "	"$5,000 "	"$91,343 "	"$19,897 "	$850 	"$88,390 "	"$282,851 "	"$40,843 "	"$1,656,040 "	10.00%	--	--	42.60%	31.70%	"143,670"	"14,401"	"$4,341,510 "	--	--	--	--	--	--	"$5,852,030 "	"$14,967 "	"$401,275 "	$0 	"$136,875 "	"$196,537 "	"$5,106,121 "	"$695,882 "	"$8,417,005 "	"$13,692,782 "	"$13,702,783 "	--	--	--
"Oakland University (Rochester, MI) "	"$245,154 "	$0 	$190 	$0 	"$4,741 "	$100 	"$12,800 "	"$40,790 "	$0 	"$448,016 "	4.90%	4.60%	4.70%	100.00%	6.90%	"70,381"	"3,437"	"$521,326 "	554	"$214,364 "	0	$0 	554	"$214,364 "	"$1,582,883 "	"$9,044 "	"$3,812,808 "	"$3,725 "	"$413,217 "	"$65,134 "	"$1,357,982 "	"$214,364 "	"$3,436,299 "	"$7,533,592 "	"$7,533,592 "	--	--	--
"Ohio State University (Columbus, OH) "	"$5,651,207 "	"$371,210 "	"$452,477 "	"$775,535 "	"$1,652,320 "	$0 	"$986,265 "	"$8,080,948 "	"$1,749,601 "	"$20,268,600 "	15.80%	15.60%	13.40%	52.60%	21.50%	"409,006"	"64,774"	"$45,170,985 "	--	--	--	--	--	--	"$71,752,926 "	"$31,655 "	"$28,863,538 "	"$854,158 "	"$19,914,347 "	"$8,916,568 "	"$63,997,681 "	"$25,171,777 "	"$153,255,064 "	"$209,912,962 "	"$211,316,845 "	--	--	--
"Ohio University (Athens, OH) "	--	--	--	--	--	--	--	--	--	--	12.80%	--	--	100.00%	41.60%	"141,129"	"18,008"	--	--	--	--	--	--	--	"$1,693,739 "	"$16,942 "	"$1,475,677 "	--	--	--	--	--	"$5,910,987 "	"$13,750,610 "	"$13,881,838 "	--	--	--
"Oklahoma State University (Stillwater, OK) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Old Dominion University (Norfolk, VA) "	--	--	--	--	--	--	--	--	--	--	8.40%	--	--	71.00%	17.30%	"88,284"	"7,440"	--	--	--	--	--	--	--	"$1,458,564 "	"$12,217 "	"$1,207,559 "	--	--	--	--	--	"$3,180,283 "	"$11,355,395 "	"$11,355,395 "	--	--	--
"Oregon State University (Corvallis, OR) "	"$1,410,525 "	"$6,400 "	"$110,783 "	"$28,448 "	"$26,641 "	$0 	"$534,044 "	"$4,675,591 "	"$558,927 "	"$7,624,153 "	16.40%	19.00%	15.50%	100.00%	34.60%	"118,015"	"19,349"	"$22,747,736 "	"1,327"	"$743,226 "	688	"$5,173,017 "	"2,015"	"$5,916,243 "	"$15,594,373 "	"$31,238 "	"$9,335,028 "	"$115,678 "	"$4,899,856 "	"$2,359,302 "	"$11,806,849 "	"$10,919,863 "	"$33,222,698 "	"$65,836,273 "	"$67,641,042 "	--	--	--
"Pennsylvania State University (University Park, PA) "	"$3,537,245 "	"$108,185 "	"$285,347 "	"$470,895 "	"$793,641 "	"$7,254 "	"$5,645,095 "	"$498,468 "	"$3,128,254 "	"$14,886,245 "	16.20%	--	12.00%	84.20%	32.00%	"453,263"	"73,570"	"$51,642,345 "	--	--	--	--	--	--	"$40,545,570 "	"$28,733 "	"$26,200,583 "	$0 	"$14,975,594 "	"$4,200 "	"$18,234,244 "	"$508,073 "	"$68,865,814 "	"$161,379,763 "	"$165,218,147 "	--	--	--
