Public Research/Doctoral / FY2009 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
"Cleveland State University (Cleveland, OH) "	--	--	--	--	--	--	--	--	--	--	19.70%	--	--	37.90%	10.90%	"100,391"	"19,754"	--	--	--	--	--	--	--	"$1,287,511 "	"$11,864 "	"$2,140,216 "	--	--	--	--	--	"$4,473,605 "	"$8,381,728 "	"$8,381,728 "	--	--	--
"College of William and Mary (Williamsburg, VA) "	"$1,586,777 "	"$53,070 "	"$70,633 "	"$26,082 "	"$180,696 "	"$3,741 "	"$1,370,583 "	"$1,806,659 "	"$1,484,757 "	"$10,335,471 "	19.60%	22.40%	18.50%	95.80%	60.90%	"80,436"	"15,737"	"$30,747,179 "	"3,519"	"$3,351,574 "	592	"$881,936 "	"4,111"	"$4,233,510 "	"$3,135,411 "	"$36,663 "	"$9,603,615 "	"$826,591 "	"$6,031,291 "	"$394,454 "	"$1,633,243 "	"$3,351,574 "	"$20,514,838 "	"$50,494,595 "	"$50,808,950 "	--	--	--
"Colorado School of Mines (Golden, CO) "	"$202,187 "	$0 	"$10,000 "	$0 	"$9,357 "	$0 	"$157,838 "	"$34,698 "	"$6,634 "	"$1,288,227 "	11.00%	12.00%	10.40%	80.60%	10.90%	"22,777"	"2,495"	"$2,822,511 "	176	"$141,194 "	76	"$314,328 "	252	"$455,522 "	"$7,217,347 "	"$33,395 "	"$11,873,510 "	"$15,480 "	"$1,314,215 "	"$40,275 "	"$3,157,043 "	"$115,321 "	"$8,141,312 "	"$25,971,148 "	"$26,932,271 "	--	--	--
"Colorado State University (Fort Collins, CO) "	"$3,996,022 "	"$20,700 "	"$55,429 "	"$21,511 "	"$41,305 "	"$7,025 "	"$835,363 "	"$142,437 "	"$135,991 "	"$5,302,862 "	6.00%	6.00%	5.20%	88.70%	14.40%	"170,842"	"10,224"	"$6,702,719 "	"1,072"	"$76,982 "	0	$0 	"1,072"	"$76,982 "	"$14,181,790 "	"$25,499 "	"$8,365,514 "	"$17,100 "	"$7,680,154 "	"$422,786 "	"$11,973,348 "	"$926,704 "	"$37,775,848 "	"$46,622,624 "	"$46,622,624 "	--	--	--
"CUNY-Graduate School & Univ. Center (New York, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"East Carolina University (Greenville, NC) "	"$404,968 "	"$20,000 "	"$4,180 "	"$26,343 "	"$136,051 "	$40 	"$257,490 "	"$3,160,200 "	"$110,572 "	"$4,172,531 "	10.40%	--	--	96.50%	22.40%	"119,358"	"12,394"	"$6,760,162 "	--	--	--	--	--	--	"$7,928,689 "	"$15,712 "	"$7,140,894 "	$0 	"$5,488,355 "	"$550,238 "	"$7,498,545 "	"$5,383,861 "	"$23,252,883 "	"$30,207,875 "	"$30,538,046 "	--	--	--
"East Tennessee State University (Johnson City, TN) "	"$219,191 "	$0 	$7 	"$55,048 "	"$13,523 "	"$5,701 "	"$10,663 "	"$288,498 "	"$8,080 "	"$635,931 "	4.40%	4.20%	4.10%	100.00%	7.60%	"72,387"	"3,164"	"$941,777 "	837	"$586,685 "	39	"$137,143 "	876	"$723,828 "	"$6,880,051 "	"$29,685 "	"$846,346 "	"$2,025 "	"$697,646 "	"$109,868 "	"$3,798,133 "	"$548,911 "	"$7,233,553 "	"$12,312,465 "	"$12,532,576 "	--	--	--
"Florida Agricultural and Mechanical (Tallahassee, FL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Florida Atlantic University (Boca Raton, FL) "	"$66,741 "	$75 	$320 	"$4,250 "	$225 	$0 	"$52,099 "	"$32,655 "	"$20,238 "	"$221,153 "	1.90%	1.70%	1.60%	85.00%	5.70%	"102,645"	"1,964"	"$396,396 "	763	"$438,860 "	46	"$417,153 "	809	"$856,013 "	"$1,374,812 "	"$14,257 "	"$2,960,010 "	"$26,863 "	"$1,716,653 "	"$39,408 "	"$1,070,585 "	"$183,020 "	"$4,366,891 "	"$6,901,064 "	"$6,928,030 "	--	--	--
"Florida International University (Miami, FL) "	"$67,978 "	$0 	$0 	$0 	$0 	$0 	"$32,831 "	"$61,533 "	"$132,473 "	"$514,223 "	6.50%	6.00%	6.30%	95.40%	3.90%	"128,571"	"8,372"	"$698,579 "	0	$0 	0	$0 	0	$0 	"$3,422,393 "	"$7,604 "	"$3,565,534 "	"$6,690 "	"$1,467,050 "	"$277,586 "	"$2,648,418 "	"$544,342 "	"$8,874,986 "	"$17,741,253 "	"$17,741,253 "	--	--	--
"Florida State University (Tallahassee, FL) "	--	--	--	--	--	--	--	--	--	--	15.60%	--	--	94.60%	41.50%	"270,701"	"42,230"	--	--	--	--	--	--	--	"$9,204,499 "	"$25,461 "	"$2,333,420 "	--	--	--	--	--	"$27,354,081 "	"$47,324,590 "	"$52,769,461 "	--	--	--
"George Mason University (Fairfax, VA) "	"$341,504 "	"$18,100 "	"$11,461 "	"$24,721 "	"$12,254 "	$125 	"$281,309 "	"$34,869 "	"$17,275 "	"$804,318 "	5.40%	4.90%	5.30%	100.00%	3.80%	"120,284"	"6,551"	"$1,009,312 "	0	$0 	0	$0 	0	$0 	"$5,395,436 "	"$15,101 "	"$13,419,164 "	"$12,875 "	"$11,490,894 "	"$41,541 "	"$3,439,963 "	"$138,542 "	"$21,535,366 "	"$26,483,975 "	"$26,483,975 "	--	--	--
"Georgia Institute of Technology (Atlanta, GA) "	"$1,889,679 "	"$525,027 "	"$123,800 "	$0 	"$12,111 "	"$1,086,866 "	"$122,324 "	"$7,854,831 "	"$237,342 "	"$15,508,175 "	19.70%	23.30%	18.50%	95.30%	27.30%	"112,627"	"22,185"	"$30,824,116 "	"8,975"	"$13,741,422 "	297	"$4,346,025 "	"9,272"	"$18,087,447 "	"$40,158,928 "	"$53,021 "	"$27,990,770 "	"$381,461 "	"$8,505,137 "	"$1,125,503 "	"$23,302,864 "	"$12,744,838 "	"$55,386,766 "	"$113,042,924 "	"$113,913,832 "	--	--	--
"Georgia Southern University (Statesboro, GA) "	"$104,489 "	$85 	"$1,090 "	"$30,595 "	"$1,364 "	"$4,559 "	"$25,559 "	"$431,943 "	"$27,894 "	"$880,030 "	7.40%	7.20%	7.10%	49.10%	36.70%	"58,808"	"4,323"	"$2,033,989 "	"1,887"	"$1,135,386 "	--	--	"1,887"	"$1,135,386 "	"$1,258,508 "	"$10,405 "	"$618,062 "	"$30,000 "	"$264,701 "	"$299,080 "	"$1,145,544 "	"$1,154,117 "	"$3,330,046 "	"$5,547,671 "	"$5,547,671 "	--	--	--
"Georgia State University (Atlanta, GA) "	"$635,274 "	"$3,117 "	$420 	"$9,437 "	"$11,424 "	$0 	"$39,046 "	"$248,640 "	"$9,589 "	"$1,084,300 "	5.50%	5.60%	5.10%	66.70%	11.50%	"163,828"	"8,985"	"$1,604,219 "	--	--	--	--	--	--	"$4,452,263 "	"$18,085 "	"$5,281,116 "	"$104,110 "	"$3,051,091 "	"$86,575 "	"$3,285,022 "	"$603,722 "	"$9,260,988 "	"$13,921,410 "	"$14,244,525 "	--	--	--
"Idaho State University (Pocatello, ID) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Illinois State University (Normal, IL) "	"$944,343 "	"$2,300 "	"$5,060 "	$0 	"$11,560 "	$0 	"$533,022 "	"$58,803 "	"$354,510 "	"$1,957,165 "	6.80%	--	--	69.20%	36.00%	"158,095"	"10,827"	"$3,497,885 "	--	--	--	--	--	--	"$2,379,691 "	"$17,087 "	"$1,779,869 "	"$65,695 "	"$1,537,307 "	"$46,910 "	"$2,124,792 "	"$265,895 "	"$7,105,567 "	"$9,726,402 "	"$10,168,227 "	--	--	--
"Indiana State University (Terre Haute, IN) "	"$153,128 "	$0 	$0 	$0 	"$1,623 "	$0 	"$282,371 "	"$157,166 "	"$23,399 "	"$881,687 "	5.80%	--	5.40%	76.20%	20.50%	"85,097"	"4,923"	"$1,181,889 "	427	"$296,474 "	5	"$50,675 "	432	"$347,149 "	"$750,309 "	"$15,924 "	"$1,020,118 "	"$8,875 "	"$978,595 "	"$43,497 "	"$680,282 "	"$296,474 "	"$4,872,049 "	"$5,752,965 "	"$5,804,527 "	--	--	--
"Indiana Univ. of Pennsylvania (Indiana, PA) "	"$49,415 "	$0 	$230 	"$3,415 "	"$6,036 "	"$3,200 "	"$51,561 "	"$42,908 "	"$243,336 "	"$782,594 "	7.80%	8.00%	7.40%	93.30%	33.70%	"95,479"	"7,454"	"$1,707,742 "	445	"$137,672 "	1	$250 	446	"$137,922 "	"$1,385,593 "	"$15,062 "	"$718,416 "	$0 	"$402,432 "	"$71,739 "	"$531,918 "	"$137,672 "	"$2,552,867 "	"$5,074,236 "	"$5,140,304 "	--	--	--
"Indiana University (Bloomington, IN) "	"$3,556,580 "	"$79,477 "	"$176,654 "	"$238,157 "	"$334,241 "	"$59,642 "	"$1,055,515 "	$0 	"$5,731,555 "	"$12,768,219 "	11.70%	--	10.90%	60.10%	11.60%	"433,235"	"50,494"	"$28,700,817 "	--	--	--	--	--	--	"$73,322,096 "	"$21,464 "	"$62,030,424 "	$0 	"$48,443,965 "	$0 	"$68,869,470 "	$0 	"$203,497,233 "	"$247,616,245 "	"$249,175,029 "	--	--	--
"Iowa State University (Ames, IA) "	"$2,503,332 "	"$169,626 "	"$101,027 "	"$2,750 "	"$118,091 "	$0 	"$806,579 "	"$2,678,334 "	"$142,293 "	"$7,238,087 "	10.80%	--	9.50%	56.40%	36.40%	"205,712"	"22,168"	"$23,023,679 "	"8,939"	"$6,612,820 "	268	"$3,517,654 "	"9,207"	"$10,130,474 "	"$11,182,394 "	"$31,271 "	"$17,798,705 "	"$206,716 "	"$7,532,237 "	"$1,830,813 "	"$6,714,085 "	"$6,612,820 "	"$25,543,981 "	"$63,170,610 "	"$63,385,878 "	--	--	--
"Jackson State University (Jackson, MS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Kansas State University (Manhattan, KS) "	"$1,900,653 "	"$128,899 "	"$69,830 "	"$3,716 "	"$9,862 "	"$4,395,973 "	"$644,836 "	"$1,354,118 "	"$3,776,571 "	"$12,376,958 "	17.10%	17.10%	20.20%	71.60%	34.90%	"156,746"	"26,783"	"$18,505,185 "	"7,865"	"$11,562,728 "	173	"$533,846 "	"8,038"	"$12,096,574 "	"$15,100,984 "	"$24,362 "	"$4,933,132 "	"$228,750 "	"$3,526,866 "	"$1,508,762 "	"$14,056,283 "	"$4,227,618 "	"$42,814,627 "	"$52,962,654 "	"$53,866,350 "	--	--	--
"Kent State University (Kent, OH) "	"$489,472 "	"$5,817 "	"$1,805 "	"$169,216 "	"$11,636 "	"$27,902 "	"$231,749 "	"$254,211 "	"$126,906 "	"$1,446,117 "	4.00%	--	--	85.10%	15.20%	"179,153"	"7,208"	"$5,289,388 "	--	--	--	--	--	--	"$18,486,800 "	"$14,672 "	"$5,366,801 "	"$6,000 "	"$2,991,044 "	"$143,210 "	"$17,169,408 "	"$521,878 "	"$26,277,808 "	"$34,864,643 "	"$35,022,646 "	--	--	--
"Louisiana State University - Baton Rouge (Baton Rouge, LA) "	"$5,010,745 "	"$32,525 "	"$112,540 "	"$8,144 "	"$7,186 "	"$1,811,200 "	"$94,970 "	$600 	"$351,834 "	"$8,812,199 "	6.50%	6.60%	6.20%	97.20%	14.70%	"154,726"	"10,052"	"$12,723,874 "	--	"$39,966,684 "	--	"$5,794,649 "	--	"$45,761,333 "	"$15,920,851 "	"$27,157 "	"$5,339,063 "	$0 	"$3,779,037 "	"$5,525 "	"$7,192,795 "	"$39,972,934 "	"$63,149,974 "	"$86,689,672 "	"$87,109,979 "	--	--	--
"Louisiana Tech University (Ruston, LA) "	"$2,000,261 "	$0 	$0 	$0 	"$3,890 "	$0 	$0 	"$1,302,588 "	$0 	"$4,658,664 "	6.00%	6.00%	5.40%	62.80%	58.20%	"91,782"	"5,505"	"$4,945,609 "	0	$0 	0	$0 	0	$0 	"$2,588,632 "	$905 	"$112,396 "	$900 	"$111,896 "	"$626,909 "	"$2,520,199 "	"$2,298,414 "	"$8,122,506 "	"$8,490,567 "	"$8,610,369 "	--	--	--
"Miami University (Oxford, OH) "	"$478,867 "	"$2,373 "	"$1,080 "	"$28,608 "	"$41,062 "	"$279,459 "	"$461,045 "	"$216,343 "	"$508,665 "	"$3,021,326 "	13.20%	14.90%	8.20%	76.20%	47.80%	"163,491"	"21,540"	"$13,266,133 "	937	"$628,488 "	138	"$110,985 "	"1,075"	"$739,473 "	"$3,306,930 "	"$23,909 "	"$4,245,464 "	"$1,000 "	"$564,781 "	"$29,466 "	"$1,982,384 "	"$628,487 "	"$8,089,806 "	"$27,729,341 "	"$27,735,717 "	--	--	--
"Michigan State University (East Lansing, MI) "	"$3,673,346 "	"$2,890 "	"$27,754 "	"$82,316 "	"$45,959 "	"$249,366 "	"$517,330 "	"$9,095,864 "	"$1,602,332 "	"$16,526,000 "	13.40%	--	13.40%	69.70%	24.70%	"426,907"	"57,156"	"$30,363,576 "	--	--	--	--	--	--	"$26,152,473 "	"$31,019 "	"$31,132,606 "	"$93,198 "	"$28,390,687 "	"$2,004,935 "	"$23,823,077 "	"$14,238,054 "	"$97,594,170 "	"$122,724,904 "	"$128,961,360 "	--	--	--
"Michigan Technological University (Houghton, MI) "	--	--	--	--	--	--	--	--	--	--	15.80%	--	--	100.00%	41.00%	"61,030"	"9,616"	--	--	--	--	--	--	--	"$3,122,401 "	"$31,259 "	"$492,540 "	--	--	--	--	--	"$7,663,283 "	"$9,585,585 "	"$10,031,942 "	--	--	--
"Mississippi State University (Mississippi State, MS) "	"$748,292 "	"$174,171 "	"$1,200 "	$950 	"$1,120 "	$0 	"$213,050 "	"$7,113,252 "	"$130,895 "	"$9,172,716 "	11.20%	13.20%	--	79.30%	31.00%	"116,659"	"13,097"	"$11,878,278 "	--	--	--	--	--	--	"$9,437,953 "	"$26,753 "	"$4,590,915 "	"$147,583 "	"$3,023,187 "	"$1,916,746 "	"$5,659,468 "	"$11,064,060 "	"$23,038,079 "	"$38,261,768 "	"$38,416,450 "	--	--	--
"Missouri University of Science & Technology (Rolla, MO) "	"$958,727 "	"$3,100 "	"$61,315 "	"$15,748 "	"$1,734 "	"$275,436 "	"$157,130 "	"$77,458 "	"$30,407 "	"$2,338,374 "	16.80%	19.10%	16.10%	63.40%	41.40%	"47,542"	"7,992"	"$5,925,576 "	812	"$170,497 "	48	"$221,228 "	860	"$391,725 "	"$3,784,587 "	"$22,153 "	"$399,132 "	"$1,000 "	"$329,754 "	"$21,944 "	"$2,783,923 "	"$170,497 "	"$6,272,295 "	"$14,303,881 "	"$14,714,093 "	--	--	--
"Morgan State University (Baltimore, MD) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"New Jersey Institute of Technology (Newark, NJ) "	"$41,756 "	$0 	$100 	$260 	$350 	$0 	"$56,740 "	"$1,625 "	"$172,386 "	"$935,882 "	9.10%	--	9.00%	99.90%	24.10%	"41,564"	"3,803"	"$2,220,180 "	24	"$10,835 "	0	$0 	24	"$10,835 "	"$3,872,335 "	"$26,949 "	"$2,249,480 "	$0 	"$559,058 "	"$7,125 "	"$2,929,650 "	"$10,835 "	"$4,907,990 "	"$9,193,784 "	"$9,262,320 "	--	--	--
"New Mexico State University (Las Cruces, NM) "	"$148,557 "	"$7,635 "	"$18,069 "	"$188,967 "	"$64,500 "	"$8,002 "	"$257,383 "	"$215,947 "	"$189,711 "	"$1,112,131 "	4.40%	3.40%	4.00%	51.40%	23.40%	"98,900"	"4,345"	"$2,419,529 "	0	$0 	0	$0 	0	$0 	"$4,662,663 "	"$11,596 "	"$1,168,511 "	"$12,620 "	"$1,025,957 "	"$1,008,125 "	"$3,651,928 "	"$1,712,773 "	"$7,444,668 "	"$10,330,361 "	"$10,506,814 "	--	--	--
"North Carolina A & T State University (Greensboro, NC) "	"$212,295 "	$0 	$0 	$0 	$525 	"$11,516 "	"$197,586 "	"$29,760 "	"$17,352 "	"$776,586 "	9.10%	9.60%	7.70%	70.00%	16.10%	"34,992"	"3,171"	"$1,272,674 "	231	"$454,743 "	0	$0 	231	"$454,743 "	"$3,108,271 "	"$17,908 "	"$2,627,319 "	"$133,865 "	"$619,434 "	"$193,597 "	"$2,943,987 "	"$452,441 "	"$4,974,446 "	"$7,890,145 "	"$7,890,145 "	--	--	--
"North Carolina State Univ. at Raleigh (Raleigh, NC) "	"$39,839 "	"$150,035 "	"$5,279 "	$135 	"$15,940 "	"$405,131 "	"$7,365,795 "	$0 	"$611,736 "	"$10,257,166 "	11.50%	--	--	97.30%	21.90%	"170,516"	"19,654"	"$19,675,586 "	--	--	--	--	--	--	"$26,565,168 "	"$28,705 "	"$23,929,457 "	$0 	"$18,523,959 "	$0 	"$20,372,183 "	$0 	"$61,205,722 "	"$89,685,060 "	"$90,021,067 "	--	--	--
North Dakota State University (ND) 	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Northern Arizona University (Flagstaff, AZ) "	"$227,949 "	$50 	"$9,375 "	"$67,143 "	"$13,124 "	"$5,200 "	"$68,917 "	"$23,775 "	"$123,930 "	"$539,961 "	4.60%	4.80%	4.20%	91.50%	9.50%	"107,384"	"4,938"	"$794,245 "	--	--	--	--	--	--	"$1,341,823 "	"$15,034 "	"$1,421,371 "	"$20,000 "	"$1,381,965 "	"$55,832 "	"$1,239,679 "	"$150,288 "	"$7,223,952 "	"$8,398,517 "	"$9,640,849 "	--	--	--
"Northern Illinois University (DeKalb, IL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Oakland University (Rochester, MI) "	"$264,768 "	$0 	"$17,280 "	$0 	"$3,904 "	"$11,150 "	"$27,330 "	"$29,077 "	$0 	"$449,926 "	2.90%	2.80%	2.70%	100.00%	10.30%	"79,441"	"2,295"	"$707,556 "	750	"$195,857 "	1	$50 	751	"$195,907 "	"$3,191,119 "	"$10,542 "	"$1,592,158 "	"$7,000 "	"$1,072,514 "	"$43,333 "	"$3,043,623 "	"$195,857 "	"$5,495,687 "	"$6,857,766 "	"$6,862,220 "	--	--	--
"Ohio State University (Columbus, OH) "	"$6,082,374 "	"$214,071 "	"$743,871 "	"$1,042,775 "	"$367,930 "	$0 	"$1,269,286 "	"$9,582,075 "	"$2,089,518 "	"$22,035,321 "	14.60%	14.40%	12.40%	40.60%	17.70%	"435,475"	"63,633"	"$41,878,098 "	--	--	--	--	--	--	"$84,042,864 "	"$34,385 "	"$35,683,079 "	"$1,175,009 "	"$27,397,257 "	"$12,283,205 "	"$79,917,722 "	"$30,688,813 "	"$196,974,151 "	"$237,052,335 "	"$238,322,568 "	--	--	--
"Ohio University (Athens, OH) "	"$62,383,325 "	"$41,125 "	"$26,940 "	"$6,300 "	$908 	"$50,542 "	"$267,301 "	"$192,741 "	"$686,111 "	"$63,813,518 "	7.80%	7.70%	7.30%	89.00%	89.50%	"182,587"	"14,303"	"$94,296,943 "	"1,495"	"$405,331 "	58	"$29,350 "	"1,553"	"$434,681 "	"$3,737,114 "	"$18,679 "	"$4,190,693 "	"$1,700 "	"$4,046,688 "	"$54,990 "	"$2,152,109 "	"$405,331 "	"$71,959,057 "	"$105,319,674 "	"$106,784,066 "	--	--	--
"Oklahoma State University (Stillwater, OK) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Old Dominion University (Norfolk, VA) "	--	--	--	--	--	--	--	--	--	--	5.30%	--	--	72.20%	29.70%	"95,299"	"5,016"	--	--	--	--	--	--	--	"$1,894,929 "	"$15,179 "	"$1,260,195 "	--	--	--	--	--	"$5,437,923 "	"$9,157,090 "	"$9,157,090 "	--	--	--
"Oregon State University (Corvallis, OR) "	"$1,904,820 "	"$63,339 "	"$43,374 "	"$36,979 "	"$6,215 "	$0 	"$723,343 "	"$4,460,831 "	"$1,127,133 "	"$8,598,706 "	10.70%	11.20%	10.10%	70.50%	27.80%	"150,286"	"16,110"	"$19,813,231 "	758	"$766,386 "	379	"$2,216,489 "	"1,137"	"$2,982,875 "	"$18,479,153 "	"$35,861 "	"$16,436,572 "	"$72,375 "	"$10,478,423 "	"$2,881,837 "	"$14,616,424 "	"$11,425,366 "	"$42,975,749 "	"$71,230,444 "	"$77,528,628 "	--	--	--
"Pennsylvania State University (University Park, PA) "	"$906,757 "	"$127,280 "	"$361,869 "	"$311,027 "	"$243,426 "	"$3,545 "	"$2,938,314 "	"$7,847,415 "	"$16,024,339 "	"$29,100,957 "	17.20%	--	--	98.70%	34.60%	"452,087"	"77,658"	"$62,567,370 "	--	--	--	--	--	--	"$44,887,329 "	"$27,142 "	"$28,661,347 "	"$399,651 "	"$21,315,810 "	"$1,366,769 "	"$24,539,256 "	"$14,086,023 "	"$102,900,647 "	"$180,836,448 "	"$182,112,781 "	--	--	--
