Private Research/Doctoral / FY2009 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
"Boston College (Chestnut Hill, MA) "	"$2,845,322 "	$0 	"$10,150 "	"$44,524 "	"$5,850 "	$0 	"$349,141 "	"$4,617,874 "	"$436,321 "	"$12,317,336 "	21.90%	25.70%	20.70%	97.40%	42.00%	"152,372"	"33,373"	"$35,296,732 "	"4,044"	"$6,952,570 "	19	"$287,046 "	"4,063"	"$7,239,616 "	"$12,907,277 "	"$32,314 "	"$25,307,548 "	"$323,958 "	"$13,289,676 "	"$790,195 "	"$9,675,716 "	"$7,084,339 "	"$39,658,177 "	"$84,098,132 "	"$85,149,368 "	--	--	--
"Boston University (Boston, MA) "	--	--	--	--	--	--	--	--	--	--	8.10%	--	--	98.00%	18.50%	"288,809"	"23,528"	--	--	--	--	--	--	--	"$16,327,475 "	"$36,534 "	"$25,511,635 "	--	--	--	--	--	"$61,165,667 "	"$74,269,225 "	"$74,788,181 "	--	--	--
"Brandeis University (Waltham, MA) "	"$290,169 "	"$11,850 "	"$10,500 "	$0 	"$13,068 "	"$2,000 "	"$931,088 "	$0 	"$551,796 "	"$3,908,259 "	23.50%	26.90%	22.90%	98.40%	9.00%	"39,385"	"9,243"	"$7,046,234 "	--	--	--	--	--	--	"$11,621,673 "	"$48,266 "	"$27,957,417 "	$0 	"$17,487,806 "	$0 	"$5,258,417 "	$0 	"$49,774,193 "	"$78,172,495 "	"$78,275,458 "	--	--	--
"Brown University (Providence, RI) "	"$1,381,045 "	$71 	"$40,445 "	"$5,500 "	"$394,213 "	"$355,084 "	"$212,490 "	"$2,664,605 "	"$13,486,734 "	"$35,171,159 "	30.00%	34.90%	29.60%	95.30%	35.60%	"85,520"	"25,615"	"$68,732,893 "	"4,786"	"$3,320,985 "	172	"$145,318 "	"4,958"	"$3,466,303 "	"$8,485,042 "	"$65,351 "	"$90,296,077 "	"$968,326 "	"$28,619,958 "	"$201,396 "	"$6,582,866 "	"$4,423,667 "	"$80,498,117 "	"$192,835,815 "	"$193,391,317 "	--	--	--
"California Inst. of Integral Studies (San Francisco, CA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"California Institute of Technology (Pasadena, CA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Carnegie-Mellon University (Pittsburgh, PA) "	"$2,864,279 "	$0 	"$321,184 "	$0 	"$35,233 "	"$16,000 "	"$621,759 "	"$80,901 "	"$166,402 "	"$5,787,412 "	16.20%	16.90%	15.10%	96.40%	23.60%	"71,349"	"11,574"	"$13,797,033 "	130	"$46,859 "	0	$0 	130	"$46,859 "	"$14,192,265 "	"$73,634 "	"$25,359,457 "	"$32,000 "	"$13,848,835 "	"$1,050 "	"$12,463,076 "	"$126,017 "	"$35,026,340 "	"$58,464,241 "	"$58,513,345 "	--	--	--
"Case Western Reserve University (Cleveland, OH) "	"$118,937 "	"$20,000 "	"$1,000 "	$0 	"$101,051 "	"$371,761 "	"$114,068 "	"$11,026 "	$0 	"$7,440,750 "	15.90%	19.00%	14.40%	93.70%	21.50%	"98,580"	"15,630"	"$17,129,291 "	0	$0 	0	$0 	0	$0 	"$7,044,283 "	"$85,182 "	"$32,467,829 "	$0 	"$25,352,407 "	"$5,455 "	"$5,312,971 "	"$44,633 "	"$55,917,472 "	"$79,652,833 "	"$80,072,834 "	--	--	--
"Catholic University of America (Washington, DC) "	"$33,521 "	$0 	"$39,239 "	$0 	$625 	$700 	"$260,980 "	"$95,277 "	"$67,299 "	"$1,751,319 "	6.80%	--	6.60%	40.30%	14.30%	"66,140"	"4,525"	"$2,082,118 "	537	"$174,835 "	--	--	537	"$174,835 "	"$1,757,785 "	"$28,981 "	"$1,187,437 "	"$11,300 "	"$1,176,937 "	"$28,414 "	"$490,144 "	"$174,835 "	"$11,308,702 "	"$14,604,337 "	"$14,678,502 "	--	--	--
"Claremont Graduate University (Claremont, CA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Clark Atlanta University (Atlanta, GA) "	--	--	--	--	--	--	--	--	--	"$275,538 "	4.30%	--	4.30%	100.00%	9.50%	"19,380"	843	"$370,379 "	--	--	--	--	--	--	"$797,472 "	"$22,084 "	"$522,800 "	--	"$522,800 "	--	"$445,972 "	--	"$3,396,762 "	"$3,900,090 "	"$3,900,090 "	--	--	--
"Clark University (Worcester, MA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Clarkson University (Potsdam, NY) "	"$42,216 "	$0 	"$25,000 "	$0 	$0 	$0 	"$100,831 "	"$2,530 "	"$253,383 "	"$2,261,032 "	15.80%	--	15.40%	84.70%	55.50%	"36,211"	"5,736"	"$3,397,460 "	--	"$7,401 "	76	"$41,332 "	76	"$48,733 "	"$890,236 "	"$26,432 "	"$976,538 "	$0 	"$328,013 "	$75 	"$845,261 "	"$7,401 "	"$3,925,409 "	"$6,119,753 "	"$6,816,165 "	--	--	--
"Columbia University (New York, NY) "	"$1,309,034 "	"$391,046 "	"$6,902,078 "	$0 	"$86,720 "	"$65,811 "	"$10,754,382 "	"$2,322,075 "	"$10,053,374 "	"$54,762,086 "	10.40%	14.50%	10.10%	74.50%	32.30%	"338,866"	"35,082"	"$133,392,247 "	"3,145"	"$2,770,574 "	16	"$855,100 "	"3,161"	"$3,625,674 "	"$41,891,305 "	"$128,075 "	"$98,206,276 "	"$6,400 "	"$85,469,171 "	"$96,181 "	"$36,185,506 "	"$2,770,574 "	"$256,621,452 "	"$413,358,859 "	"$432,172,844 "	--	--	--
"Cornell University (Ithaca, NY) "	--	--	--	--	--	--	--	--	--	--	23.40%	--	--	84.70%	71.40%	"226,074"	"53,006"	--	--	--	--	--	--	--	"$18,556,047 "	"$133,622 "	"$30,109,768 "	--	--	--	--	--	"$142,188,817 "	"$446,749,543 "	"$450,535,171 "	--	--	--
"Dartmouth College (Hanover, NH) "	"$5,661,674 "	"$202,500 "	"$37,744 "	"$212,765 "	"$23,622 "	"$3,583,422 "	"$1,995,431 "	"$1,266,390 "	"$2,366,225 "	"$35,071,257 "	42.70%	46.10%	42.50%	93.80%	37.90%	"66,814"	"28,548"	"$51,949,634 "	--	--	--	--	--	--	"$11,665,058 "	"$115,244 "	"$33,276,552 "	"$299,425 "	"$13,917,125 "	"$88,771 "	"$10,025,311 "	"$2,134,261 "	"$76,602,987 "	"$137,106,659 "	"$137,620,797 "	--	--	--
"De Paul University (Chicago, IL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Drexel University (Philadelphia, PA) "	"$431,269 "	"$35,000 "	"$1,935 "	"$8,187 "	$350 	$10 	"$162,496 "	"$232,268 "	"$456,787 "	"$2,689,463 "	15.60%	15.60%	11.80%	73.80%	8.00%	"89,122"	"13,940"	"$4,311,303 "	613	"$201,920 "	41	"$295,539 "	654	"$497,459 "	"$17,388,453 "	"$33,734 "	"$11,855,579 "	$600 	"$6,673,029 "	"$205,343 "	"$9,148,717 "	"$526,453 "	"$32,610,462 "	"$54,094,445 "	"$54,326,569 "	--	--	--
"Duke Univ-Divinity School (Durham, NC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Duke University (Durham, NC) "	"$1,303,150 "	$0 	$0 	"$140,944 "	"$22,133 "	"$23,446 "	"$496,336 "	"$7,070,077 "	"$1,830,458 "	"$25,643,503 "	28.10%	36.30%	27.70%	99.50%	15.60%	"140,194"	"39,413"	"$47,033,798 "	"10,110"	"$1,222,287 "	"11,927"	"$18,738,440 "	"22,037"	"$19,960,727 "	"$46,186,434 "	"$129,624 "	"$166,543,473 "	"$1,375,849 "	"$142,532,576 "	"$1,455,660 "	"$43,628,908 "	"$14,523,088 "	"$244,467,612 "	"$301,647,088 "	"$303,973,098 "	--	--	--
"Duquesne University (Pittsburgh, PA) "	"$431,894 "	$0 	$150 	"$130,791 "	"$33,817 "	$0 	"$28,691 "	"$227,992 "	"$119,151 "	"$1,238,114 "	9.60%	10.50%	8.70%	51.40%	30.60%	"71,871"	"6,914"	"$2,932,348 "	779	"$642,849 "	6	"$1,319 "	785	"$644,168 "	"$1,570,709 "	"$20,132 "	"$1,853,551 "	"$3,500 "	"$964,921 "	"$162,278 "	"$1,303,484 "	"$642,850 "	"$6,023,207 "	"$9,582,642 "	"$9,677,436 "	--	--	--
"Emory University (Atlanta, GA) "	"$967,423 "	"$9,710 "	"$152,377 "	"$9,423 "	"$299,850 "	"$29,475 "	"$324,339 "	"$21,497 "	"$422,209 "	"$4,602,411 "	17.90%	17.50%	16.00%	99.30%	4.20%	"107,123"	"19,133"	"$5,978,773 "	--	--	--	--	--	--	"$12,442,701 "	"$98,957 "	"$78,684,842 "	"$11,500 "	"$70,164,138 "	"$52,592 "	"$11,547,306 "	"$188,644 "	"$121,386,173 "	"$141,126,781 "	"$142,334,740 "	--	--	--
"Florida Institute of Technology (Melbourne, FL) "	"$36,246 "	$0 	$0 	"$8,281 "	"$1,025 "	$0 	"$1,540 "	"$35,142 "	"$38,635 "	"$191,710 "	6.20%	7.10%	--	70.20%	3.30%	"35,997"	"2,216"	"$234,467 "	--	--	--	--	--	--	"$705,337 "	"$15,247 "	"$2,935,882 "	"$5,150 "	"$187,311 "	"$7,985 "	"$295,600 "	"$75,292 "	"$1,137,680 "	"$7,037,461 "	"$7,037,461 "	--	--	--
"Fordham University (Bronx, NY) "	--	--	--	--	--	--	--	--	--	"$8,430,041 "	17.80%	23.50%	11.30%	99.80%	40.40%	"123,956"	"22,026"	"$13,120,341 "	"1,138"	"$1,511,733 "	23	"$53,197 "	"1,161"	"$1,564,930 "	"$4,305,056 "	"$28,743 "	"$9,264,162 "	--	"$7,086,447 "	--	"$3,471,374 "	--	"$23,115,182 "	"$32,497,306 "	"$32,669,986 "	--	--	--
"George Fox University (Newberg, OR) "	--	--	--	--	--	--	--	--	"$50,598 "	"$197,006 "	3.40%	--	3.30%	69.90%	14.10%	"20,485"	689	"$268,251 "	--	--	--	--	--	--	"$334,993 "	"$16,487 "	"$259,000 "	--	"$239,000 "	--	"$277,232 "	--	"$1,636,458 "	"$1,898,951 "	"$1,974,802 "	--	--	--
"Georgetown University (Washington, DC) "	"$6,684,470 "	"$45,650 "	"$217,453 "	"$7,334 "	"$1,039,092 "	$725 	"$2,520,400 "	"$6,954 "	"$10,884,262 "	"$21,596,080 "	16.80%	24.60%	15.00%	98.80%	62.10%	"134,662"	"22,580"	"$112,533,633 "	"4,950"	"$4,808,230 "	178	"$1,707,344 "	"5,128"	"$6,515,574 "	"$6,168,365 "	"$57,037 "	"$34,718,712 "	$0 	"$18,270,461 "	$0 	"$4,572,539 "	"$7,654 "	"$55,638,084 "	"$181,179,538 "	"$183,513,825 "	--	--	--
"Golden Gate University (San Francisco, CA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Harvard University (Cambridge, MA) "	--	--	--	--	--	--	--	--	--	--	19.20%	--	--	98.10%	35.20%	"321,553"	"61,622"	--	--	--	--	--	--	--	"$48,344,000 "	"$165,623 "	"$189,040,000 "	--	--	--	--	--	"$378,409,000 "	"$601,636,000 "	"$618,127,000 "	--	--	--
"Hofstra University (Hempstead, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Howard University (Washington, DC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Illinois Institute of Technology (Chicago, IL) "	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	"$744,706 "	"$1,100,249 "	7.60%	--	4.70%	95.80%	10.00%	"48,839"	"3,703"	"$1,832,878 "	--	--	--	--	--	--	"$3,873,319 "	"$29,101 "	"$5,402,028 "	$0 	"$2,685,500 "	$0 	"$1,524,879 "	$0 	"$9,809,636 "	"$18,262,723 "	"$18,275,502 "	--	--	--
"Immaculata University (Immaculata, PA) "	--	--	--	--	--	--	--	--	--	--	15.90%	--	--	100.00%	42.00%	"11,864"	"1,890"	--	--	--	--	--	--	--	"$200,818 "	"$20,663 "	"$146,579 "	--	--	--	--	--	"$967,376 "	"$1,623,088 "	"$1,623,088 "	--	--	--
"Inter American Univ of Puerto Rico (San Juan, PR) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Johns Hopkins University (Baltimore, MD) "	"$3,805,458 "	"$75,883 "	"$159,383 "	$0 	"$2,025,734 "	"$86,084 "	"$1,089,173 "	"$367,593 "	"$15,300 "	"$12,715,130 "	19.10%	--	18.50%	98.10%	10.30%	"142,729"	"27,327"	"$44,566,564 "	"2,089"	"$724,428 "	20	"$709,080 "	"2,109"	"$1,433,508 "	"$44,290,124 "	"$188,092 "	"$176,412,789 "	"$13,600 "	"$144,385,962 "	"$74,385 "	"$35,779,620 "	"$724,428 "	"$301,282,197 "	"$433,387,640 "	"$434,186,606 "	--	--	--
"Lehigh University (Bethlehem, PA) "	"$849,677 "	"$120,829 "	$350 	"$32,340 "	"$12,235 "	"$734,210 "	"$203,658 "	"$619,968 "	"$519,831 "	"$5,324,383 "	16.10%	20.80%	15.40%	76.00%	55.00%	"64,575"	"10,407"	"$18,498,915 "	"2,053"	"$1,013,043 "	20	"$394,526 "	"2,073"	"$1,407,569 "	"$3,896,482 "	"$38,527 "	"$5,607,735 "	"$86,055 "	"$3,289,105 "	"$116,148 "	"$2,787,075 "	"$1,117,499 "	"$13,030,799 "	"$33,659,294 "	"$35,226,801 "	--	--	--
"Loyola University of Chicago (Chicago, IL) "	"$6,467,378 "	$0 	"$17,828 "	$0 	"$7,781 "	$0 	"$457,730 "	"$64,544 "	"$1,102,186 "	"$9,883,531 "	8.60%	8.70%	7.60%	62.80%	34.40%	"120,619"	"10,409"	"$12,164,513 "	234	"$97,079 "	0	$0 	234	"$97,079 "	"$2,783,969 "	"$26,900 "	"$10,008,157 "	"$1,450 "	"$7,177,465 "	"$5,580 "	"$2,272,019 "	"$214,158 "	"$27,049,566 "	"$35,334,496 "	"$35,559,315 "	--	--	--
"Marquette University (Milwaukee, WI) "	--	--	--	--	--	--	--	--	--	--	13.40%	--	--	88.00%	49.40%	"102,460"	"13,767"	--	--	--	--	--	--	--	"$5,315,219 "	"$24,871 "	"$8,989,044 "	--	--	--	--	--	"$15,486,140 "	"$38,399,692 "	"$38,434,081 "	--	--	--
"Massachusetts Institute of Technology (Cambridge, MA) "	$0 	"$10,581 "	"$15,545,552 "	$0 	"$327,296 "	$0 	"$2,688,111 "	$0 	"$12,751,642 "	"$36,719,134 "	24.00%	31.60%	18.90%	90.00%	27.20%	"124,078"	"29,718"	"$86,937,315 "	0	$0 	0	$0 	0	$0 	"$48,553,189 "	"$228,842 "	"$131,763,327 "	$0 	"$96,545,981 "	$0 	"$41,610,332 "	$0 	"$192,681,281 "	"$319,074,750 "	"$324,145,445 "	--	--	--
"New School University (New York, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"New York University (New York, NY) "	"$9,684,272 "	"$504,200 "	"$211,154 "	"$1,550 "	"$448,804 "	"$823,145 "	"$1,927,466 "	$0 	"$332,974 "	"$20,184,802 "	7.50%	6.20%	7.30%	50.00%	10.30%	"398,209"	"29,688"	"$34,382,023 "	0	$0 	0	$0 	0	$0 	"$32,817,295 "	"$63,106 "	"$174,005,789 "	$0 	"$138,898,493 "	$0 	"$27,559,917 "	$0 	"$240,730,704 "	"$334,787,429 "	"$335,320,307 "	--	--	--
"Northeastern University (Boston, MA) "	"$1,035,859 "	"$122,006 "	$200 	$0 	"$20,820 "	$0 	"$910,418 "	"$442,248 "	"$1,809,280 "	"$5,164,966 "	10.30%	10.90%	10.20%	90.80%	27.80%	"174,990"	"18,052"	"$7,944,635 "	"1,459"	"$937,679 "	26	"$298,056 "	"1,485"	"$1,235,735 "	"$11,653,393 "	"$22,635 "	"$6,984,724 "	"$128,800 "	"$6,505,974 "	"$131,476 "	"$5,184,126 "	"$967,048 "	"$18,355,104 "	"$28,608,113 "	"$29,432,191 "	--	--	--
"Northwestern University (Evanston, IL) "	--	--	--	--	--	--	--	--	--	--	16.60%	--	--	93.10%	21.10%	"221,141"	"36,687"	--	--	--	--	--	--	--	"$20,783,927 "	"$80,007 "	"$65,697,123 "	--	--	--	--	--	"$121,995,786 "	"$181,741,062 "	"$183,351,833 "	--	--	--
"Nova Southeastern University (Fort Lauderdale, FL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Oral Roberts University Sch of Theol (Tulsa, OK) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Pace University (New York, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Pacific University (Forest Grove, OR) "	"$2,145 "	"$1,000 "	$50 	"$19,211 "	$0 	"$2,953 "	"$11,155 "	"$5,281 "	"$5,471 "	"$493,126 "	7.10%	--	6.80%	87.50%	13.70%	"18,761"	"1,338"	"$831,305 "	--	--	--	--	--	--	"$543,941 "	"$21,667 "	"$276,489 "	$0 	"$252,489 "	$440 	"$511,688 "	"$19,899 "	"$4,357,170 "	"$6,085,525 "	"$6,100,459 "	--	--	--
"Pepperdine University (Malibu, CA) "	"$241,075 "	"$2,500 "	"$5,136 "	"$4,091 "	$139 	$0 	"$75,533 "	"$112,055 "	"$362,708 "	"$1,725,192 "	8.20%	11.10%	8.00%	62.80%	10.40%	"76,242"	"6,219"	"$1,921,044 "	618	"$659,291 "	35	"$529,146 "	653	"$1,188,437 "	"$2,339,127 "	"$34,774 "	"$5,589,663 "	"$24,475 "	"$2,300,028 "	"$166,384 "	"$2,088,561 "	"$606,065 "	"$11,369,873 "	"$18,550,305 "	"$21,163,908 "	--	--	--
"Polytechnic Institute of New York University (Brooklyn, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Princeton University (Princeton, NJ) "	"$2,665,301 "	"$410,249 "	"$93,230 "	$0 	"$989,278 "	"$12,863,281 "	"$1,700,024 "	"$1,316,558 "	"$108,095 "	"$49,755,310 "	44.60%	57.70%	44.40%	99.00%	54.90%	"77,746"	"34,657"	"$117,609,840 "	--	--	--	--	--	--	"$10,787,480 "	"$119,921 "	"$42,452,754 "	"$121,200 "	"$28,881,752 "	"$132,024 "	"$8,276,013 "	"$1,955,475 "	"$100,587,844 "	"$214,152,929 "	"$217,300,025 "	--	--	--
"Regent University (Virginia Beach, VA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Rensselaer Polytechnic Institute (Troy, NY) "	"$81,036 "	$0 	"$69,200 "	$0 	"$1,045 "	$0 	"$74,620 "	"$347,349 "	"$1,602,508 "	"$8,545,556 "	10.50%	15.10%	10.10%	49.70%	36.30%	"86,436"	"9,036"	"$13,243,627 "	504	"$136,647 "	0	$0 	504	"$136,647 "	"$6,304,597 "	"$46,675 "	"$1,620,844 "	$0 	"$1,195,904 "	"$20,437 "	"$3,789,933 "	"$386,648 "	"$24,633,216 "	"$36,462,799 "	"$36,514,008 "	--	--	--
"Saint John's University (Jamaica, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Saint Louis University (St. Louis, MO) "	"$4,262,913 "	"$6,360 "	"$67,534 "	"$18,173 "	"$4,024 "	"$196,205 "	"$1,098,468 "	"$632,372 "	"$323,699 "	"$7,130,916 "	9.50%	--	8.30%	98.50%	28.20%	"107,359"	"10,242"	"$11,827,327 "	--	--	--	--	--	--	"$6,731,904 "	"$27,571 "	"$2,168,763 "	"$16,589 "	"$1,868,809 "	"$1,399,233 "	"$4,422,543 "	"$2,765,586 "	"$32,801,785 "	"$41,901,956 "	"$42,116,050 "	--	--	--
"Saint Mary's University of Minnesota (Winona, MN) "	--	--	--	--	--	--	--	--	--	--	16.50%	--	--	100.00%	25.90%	"11,388"	"1,874"	--	--	--	--	--	--	--	"$113,622 "	"$52,491 "	"$668,615 "	--	--	--	--	--	"$1,840,300 "	"$4,685,466 "	"$4,685,466 "	--	--	--
"Samford University (Birmingham, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Seton Hall School of Religion (South Orange) 	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Seton Hall University (South Orange, NJ) "	--	--	--	--	--	--	--	--	--	--	7.70%	--	--	93.80%	35.20%	"71,623"	"5,544"	--	--	--	--	--	--	--	"$1,401,494 "	"$28,409 "	"$4,693,984 "	--	--	--	--	--	"$7,351,871 "	"$12,614,186 "	"$12,858,886 "	--	--	--
