unitid,form_ic,stat_ic,stat_pte,prch_ic,idx_ic,imp_ic,cyactive,"closedat","instnm","addr","city","stabbr","zip","countynm",cntygeo,fips,obereg,"chfnm","chftitle","gentele","fintele","admtele","ein","duns","opeid",opeflag,refu_ic,src_ic,edit_ic,"date_ic",sector,iclevel,control,affil,hloffer,ugoffer,groffer,fpoffer,hdegoffr,pctmin1,pctmin2,pctmin3,pctmin4,hbcu,hospital,medical,tribal,carnegie,locale,"act",newid,deathyr
"204848","1","1","1","-2","-2","-2","1","-2","OHIO UNIVERSITY-LANCASTER BRANCH","1570 GRANVILLE PKE","LANCASTER","OH","43130","FAIRFIELD","45","39","3","CHARLES BIRD","DEAN","6146546711","6146546711","6146546711","-1","-3","00310003","1","-2","4","1","01121999","1","1","1","1","7","1","1","2","20","1","0","0","0","2","2","2","2","40","2","A","-2","-2"
"204857","1","1","1","-2","-2","-2","1","-2","OHIO UNIVERSITY-MAIN CAMPUS","","ATHENS","OH","45701","ATHENS","9","39","3","ROBERT GLIDDEN","PRESIDENT","6145931000","6145934141","6145934100","-1","041077983","00310000","1","-2","4","1","01131999","1","1","1","1","9","1","1","1","11","3","0","1","1","2","2","1","2","12","6","A","-2","-2"
"204866","1","1","1","-2","-2","-2","1","-2","OHIO UNIVERSITY-ZANESVILLE BRANCH","1425 NEWARK RD","ZANESVILLE","OH","43701","MUSKINGUM","119","39","3","JAMES FONSECA","DEAN","7404530762","7404530762","7404530762","-1","-3","00310002","1","-2","4","2","02241999","1","1","1","1","7","1","1","2","20","2","0","0","0","2","2","2","2","40","5","A","-2","-2"
"204884","1","1","1","-2","-2","-2","1","-2","OHIO VALLEY BUSINESS COLLEGE INC","16808 ST CLAIR AVE","EAST LIVERPOOL","OH","43920","COLUMBIANA","29","39","3","DEBRA A SANFORD","DIRECTOR","3303851070","3303851070","3303851070","341425951","083219113","02301400","1","-2","4","1","01211999","6","2","3","2","3","1","2","2","40","1","0","0","0","2","2","2","2","40","4","A","-2","-2"
"204893","1","1","1","-2","-2","-2","1","-2","TRINITY HEALTH SYSTEM SCHOOL OF NURSING","380 SUMMIT AVE","STEUBENVILLE","OH","43952","JEFFERSON","81","39","3","ROY KARMOSKY","DIRECTOR","7402837275","7402837275","7402837275","340714474","943406371","00650700","1","-2","4","1","01221999","5","2","2","4","4","1","2","2","0","1","0","0","0","2","2","2","2","-2","2","A","-2","-2"
"204909","1","1","1","-2","-2","-2","1","-2","OHIO WESLEYAN UNIVERSITY","61 S SANDUSKY","DELAWARE","OH","43015","DELAWARE","41","39","3","THOMAS B COURTICE","PRESIDENT","7403682000","7403683050","7403683020","314379585","055352140","00310900","1","-2","4","1","01131999","2","1","2","6","5","1","2","2","30","4","0","2","1","2","2","2","2","31","3","A","-2","-2"
"204936","1","1","1","-2","-2","-2","1","-2","OTTERBEIN COLLEGE","","WESTERVILLE","OH","43081","FRANKLIN","49","39","3","C BRENT DEVORE","PRESIDENT","6148903000","6148231502","6148231500","314379532","791293210","00311000","1","-2","4","2","01131999","2","1","2","6","8","1","1","2","20","5","0","1","1","2","2","2","2","32","3","A","-2","-2"
"204945","1","1","1","-2","-2","-2","1","-2","OWENS COMMUNITY COLLEGE","30335 OREGON RD","TOLEDO","OH","436991947","WOOD","173","39","3","DANIEL H BROWN","PRESIDENT","4196617000","4196617343","4196617225","-1","063711873","00575300","1","-2","4","1","01211999","4","2","1","1","3","1","2","2","40","9","0","0","3","2","2","2","2","40","1","A","-2","-2"
"204954","1","1","1","-2","-2","-2","1","-2","OWENS COMMUNITY COLLEGE-FINDLAY CAMPUS","300 DAVIS ST","FINDLAY","OH","45840","HANCOCK","63","39","3","DANIEL H BROWN","PRESIDENT","4194236827","4194236827","4196617225","-1","-3","00575301","1","-2","4","1","01211999","4","2","1","1","3","1","2","2","40","2","0","1","4","2","2","2","2","-2","5","A","-2","-2"
"204963","1","1","1","-2","-2","-2","1","-2","PARAMOUNT BEAUTY ACADEMY","917 GALLIA ST","PORTSMOUTH","OH","45662","SCIOTO","145","39","3","JOYCE GODDARD","PRESIDENT","7403532436","7403532436","7403532436","-1","941029860","03100100","1","-2","4","1","03011999","6","2","3","2","4","1","2","2","0","0","0","0","0","2","2","2","2","-2","6","A","-2","-2"
"204981","1","1","1","-2","-2","-2","1","-2","PARMA SCHOOL OF PRACTICAL NURSING","6726 RIDGE RD","PARMA","OH","44129","CUYAHOGA","35","39","3","MYRNA GEORGE","COORDINATOR","4408425300","4408852364","4408852364","-1","100427244","02336700","1","-2","4","1","01211999","7","3","1","1","2","1","2","2","0","0","0","0","0","2","2","2","2","-2","3","A","-2","-2"
"204990","1","1","1","-2","-2","-2","1","-2","PAYNE THEOLOGICAL SEMINARY","PO BOX 474","WILBERFORCE","OH","453840474","GREENE","57","39","3","OBERY M HENDRICKS","PRESIDENT","9373762946","9373762946","9373762946","316000921","076793884","01001700","1","-2","4","1","02021999","2","1","2","6","-2","2","2","1","1","99","0","0","0","2","2","2","2","-2","4","A","-2","-2"
"205027","1","1","1","-2","-2","-2","1","-2","PONTIFICAL COLLEGE JOSEPHINUM","7625 N HIGH","COLUMBUS","OH","43235","FRANKLIN","49","39","3","THOMAS OLMSTED","RECTOR PRESIDENT","6148855585","6148855585","6148855585","-1","059939330","00311300","1","-2","4","2","01131999","2","1","2","4","7","1","1","1","21","0","0","5","10","2","2","2","2","32","1","A","-2","-2"
"205054","1","1","1","-2","-2","-2","1","-2","PROFESSIONAL SKILLS INSTITUTE","20 ARCO DR","TOLEDO","OH","43607","LUCAS","95","39","3","DANIEL A FINCH","EXECUTIVE DIRECTOR","4195319610","4195319610","4195319610","341417746","113065510","02337700","1","-2","4","1","01221999","6","2","3","2","3","1","2","2","40","19","0","10","4","2","2","2","2","-2","1","A","-2","-2"
"205081","1","1","1","-2","-2","-2","1","-2","PROVIDENCE HOSPITAL SCHOOL OF RADIOLOGIC TECHN","1912 HAYES AVE","SANDUSKY","OH","44870","ERIE","43","39","3","NANCY LINENKUGEL","PRESIDENT CEO","4196217124","4196217121","4196217124","344428654","-3","00311402","1","-2","4","1","01221999","5","2","2","4","4","1","2","2","0","0","0","0","0","2","2","2","2","-2","5","A","-2","-2"
"205090","1","1","1","-2","-2","-2","1","-2","PROVIDENCE HOSPITAL SCHOOL OF NURSING","1912 HAYES AVE","SANDUSKY","OH","448704788","ERIE","43","39","3","NANCY LINENKUGEL","PRESIDENT","4196217111","4196217121","4196217115","344428654","-3","00311401","1","-2","4","1","01221999","5","2","2","4","4","1","2","2","0","1","0","0","0","2","2","2","2","-2","5","A","-2","-2"
"205115","1","3","4","-2","-2","1","1","-2","QUEEN CITY VOCATIONAL CENTER","425 EZZARD CHARLES DR","CINCINNATI","OH","45203","HAMILTON","61","39","3","MICHAEL J. BEHR","SUPERVISOR OF","5139778055","5139778061","5139778061","316000758","039742150","02114100","1","-2","-2","-2","-2","7","3","1","1","2","1","2","2","0","49","0","0","0","2","2","2","2","-2","1","A","-2","-2"
"205124","1","1","1","-2","-2","-2","1","-2","RABBINICAL COLLEGE TELSHE","28400 EUCLID AVE","WICKLIFFE","OH","44092","LAKE","85","39","3","RABBI M GIFTER","PRESIDENT","4409435300","4409435300","4409435300","340801310","068912831","00311500","1","-2","4","1","02211999","2","1","2","5","9","1","1","1","11","0","0","0","0","2","2","2","2","51","3","A","-2","-2"
"205133","3","3","4","-2","-2","1","1","-2","RAEDEL COLLEGE AND INDUSTRIAL WELDING SCHOOL","14 LINCOLN WAY W","MASSILLON","OH","44647","STARK","151","39","3","ROBERT N MCBEE","CHIEF ADMN OFFICER","3308306700","3308306700","3308306700","341834783","961766920","02346600","5","-2","-2","-2","-2","9","3","3","2","1","1","2","2","0","20","0","0","0","2","2","2","2","-2","2","A","-2","-2"
"205142","1","1","1","-2","-2","-2","1","-2","RAPHAELS SCHOOL OF BEAUTY CULTURE","1324 YOUNGSTOWN WARREN RD","NILES","OH","44446","TRUMBULL","155","39","3","JACQUILYN EUSANIO","PRESIDENT","3306521559","3306521559","3306521559","341244083","071131825","02287900","1","-2","4","1","01211999","6","2","3","2","4","1","2","2","0","11","0","4","0","2","2","2","2","-2","4","A","-2","-2"
"205151","3","1","1","-2","-2","-2","1","-2","RECORDING WORKSHOP","455 MASSIEVILLE RD","CHILLICOTHE","OH","45601","ROSS","141","39","3","JIM ROSEBROOK","DIRECTOR","7406632544","7406632544","7406632544","310832208","-3","-2","6","-2","4","2","03181999","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","6","A","-2","-2"
"205179","1","1","1","-2","-2","-2","1","-2","RETS TECH CENTER","116 WESTPARK RD","CENTERVILLE","OH","45459","MONTGOMERY","113","39","3","MICHAEL LEMASTER","PRESIDENT","5134333410","9374333410","9374333410","710745846","112894365","02190700","1","-2","4","1","01221999","6","2","3","2","3","1","2","2","40","13","0","1","0","2","2","2","2","40","4","A","-2","-2"
"205197","3","1","1","-2","-2","-2","1","-2","RIGGS LEMAR BEAUTY COLLEGE","3464 HUDSON DR","CUYAHOGA FALLS","OH","44221","SUMMIT","153","39","3","WILLIAM M CHURCH","PRESIDENT DIRECTOR","3309454045","3309454045","3309454045","341624584","038101432","00965800","1","-2","4","1","01121999","9","3","3","2","2","1","2","2","0","7","0","1","1","2","2","2","2","-2","3","A","-2","-2"
"205203","1","1","1","-2","-2","-2","1","-2","UNIVERSITY OF RIO GRANDE","N COLLEGE ST","RIO GRANDE","OH","45674","GALLIA","53","39","3","BARRY DORSEY","PRESIDENT","7402457236","7402457218","7402457206","314379537","075003699","00311600","1","-2","4","1","01121999","2","1","2","3","7","1","1","2","20","1","0","0","0","2","2","2","2","32","7","A","-2","-2"
"205221","1","1","1","-2","-2","-2","1","-2","RIVERSIDE SCHOOL OF MEDICAL TECHNOLOGY","1600 N SUPERIOR ST","TOLEDO","OH","43604","LUCAS","95","39","3","SCOTT SHOOK","CHIEF EXECUTIVE OFFICER","4197296015","-1","4197296015","-1","-3","-2","6","-2","4","2","01131999","2","1","2","3","6","2","1","2","0","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"205319","1","1","1","-2","-2","-2","1","-2","SAINT MARY SEMINARY","28700 EUCLID AVE","WICKLIFFE","OH","440922585","LAKE","85","39","3","DONALD B COZZENS","PRESIDENT","2169437600","2169437600","2169437600","340714707","-3","00406100","5","-2","4","1","01121999","2","1","2","4","7","2","1","1","21","-3","-3","-3","-3","2","2","2","2","51","3","A","-2","-2"
"205364","1","3","3","-2","-2","-2","1","-2","SAWYER COLLEGE OF BUSINESS","3150 MAYFIELD RD","CLEVELAND HEIGHTS","OH","44118","CUYAHOGA","35","39","3","BRUCE T. SHIELDS","DIRECTOR","2169320911","2169320911","2169320911","-1","097627392","02248900","4","-2","-2","-2","-2","6","2","3","2","3","1","2","2","40","-1","-1","-1","-1","2","2","2","2","-2","3","Z","-2","-2"
"205373","1","3","4","-2","-2","1","1","-2","SAWYER COLLEGE OF BUSINESS-WEST","13027 LORAIN AVE","CLEVELAND","OH","44111","CUYAHOGA","35","39","3","GEORGE W KING","PRESIDENT","2169417666","2169417666","2169417666","-1","083331991","01153400","5","-2","-2","-2","-2","6","2","3","2","3","1","2","2","40","30","0","2","10","2","2","2","2","-2","1","A","-2","-2"
"205391","1","1","1","-2","-2","-2","1","-2","SCHOOL OF ADVERTISING ART INC","2900 ACOSTA ST","KETTERING","OH","454203467","MONTGOMERY","113","39","3","TIM POTTER","DIRECTOR","9372940592","9372940592","9372940592","311073227","116232109","02553000","1","-2","4","1","01211999","6","2","3","2","4","1","2","2","40","4","0","0","4","2","2","2","2","-2","4","A","-2","-2"
"205443","1","1","1","-2","-2","-2","1","-2","SHAWNEE STATE UNIVERSITY","940 2ND ST","PORTSMOUTH","OH","45662","SCIOTO","145","39","3","DR JAMES P CHAPMAN","PRESIDENT","7403543205","7403552245","7403552228","310864917","075042176","00994200","1","-2","4","1","02121999","1","1","1","1","5","1","2","2","30","2","1","0","1","2","2","2","2","32","6","A","-2","-2"
"205470","1","1","1","-2","-2","-2","1","-2","SINCLAIR COMMUNITY COLLEGE","444 W THIRD ST","DAYTON","OH","45402","MONTGOMERY","113","39","3","NED SIFFERLEN","PRESIDENT","9375122500","9375122765","9375123060","310723444","074683822","00311900","1","-2","4","1","01211999","4","2","1","1","3","1","2","2","40","18","0","2","1","2","2","2","2","40","2","A","-2","-2"
"205513","1","1","1","-2","-2","-2","1","-2","GALLIPOLIS CAREER COLLEGE","1176 JACKSON PKE","GALLIPOLIS","OH","45631","GALLIA","53","39","3","ROBERT SHIREY","PRESIDENT","7404464367","7404464367","7404464367","311249616","609193891","03007900","1","-2","4","1","01211999","6","2","3","2","3","1","2","2","40","5","0","0","0","2","2","2","2","40","6","A","-2","-2"
"205522","1","1","1","-2","-2","-2","1","-2","SOUTHEASTERN BUSINESS COLLEGE","3879 RHODES AVE","NEW BOSTON","OH","45662","SCIOTO","145","39","3","JANET TRAVIS","BRANCH DIRECTOR","6144564124","6144564124","6144564124","-1","-3","02056803","1","-2","4","1","01211999","6","2","3","2","3","1","2","2","40","1","0","0","1","2","2","2","2","-2","6","A","-2","-2"
"205559","1","1","1","-2","-2","-2","1","-2","SOUTHEASTERN BUSINESS COLLEGE","1522 SHERIDAN DR","LANCASTER","OH","43130","FAIRFIELD","45","39","3","ALEX BOSSERMAN","BRANCH DIRECTOR","7406876126","7406876126","7406876126","310858262","-3","02056802","1","-2","4","1","01211999","6","2","3","2","3","1","2","2","40","1","0","0","0","2","2","2","2","-2","2","A","-2","-2"
"205568","1","1","1","-2","-2","-2","1","-2","SOUTHEASTERN BUSINESS COLLEGE","1855 WESTERN AVE","CHILLICOTHE","OH","45601","ROSS","141","39","3","CLARK R DEREXSON","BRANCH DIRECTOR","7407746300","7407746300","7407746300","310858262","123321945","02056800","1","-2","4","1","02221999","6","2","3","2","3","1","2","2","40","4","0","0","0","2","2","2","2","-2","6","A","-2","-2"
"205610","1","1","1","-2","-2","-2","1","-2","SOUTHERN OHIO COLLEGE","1011 GLENDALE MILFORD RD","CINCINNATI","OH","45215","HAMILTON","61","39","3","DANNY FINUF","DIRECTOR","5137712424","5137712424","5137712424","-1","805193414","00512700","1","-2","4","1","01211999","6","2","3","2","3","1","2","2","40","31","0","0","0","2","2","2","2","-2","1","A","-2","-2"
"205647","1","1","1","-2","-2","-2","1","-2","SOUTHERN OHIO COLLEGE-NORTHEAST","2791 MOGADORE RD","AKRON","OH","44312","SUMMIT","153","39","3","SANDRA A WILK","DIRECTOR","3307338766","3307338766","3307338766","232726160","-3","00512704","1","-2","4","2","02021999","6","2","3","2","3","1","2","2","40","23","0","0","0","2","2","2","2","-2","2","A","-2","-2"
"205692","1","1","1","-2","-2","-2","1","-2","SOUTHWESTERN COLLEGE OF BUSINESS","631 S BREIEL BLVD","MIDDLETOWN","OH","45044","BUTLER","17","39","3","SUE ANN URMSTON","DIRECTOR","5134233346","-1","-1","-1","-3","01212802","1","-2","4","2","02241999","6","2","3","2","3","1","2","2","40","-1","-1","-1","-1","2","2","2","2","-2","2","A","-2","-2"
"205708","1","1","1","-2","-2","-2","1","-2","SOUTHWESTERN COLLEGE OF BUSINESS","9910 PRINCETON GLENDALE RD","CINCINNATI","OH","45246","BUTLER","17","39","3","MARY SUE HATFIELD","DIRECTOR","5138740432","5138740432","5138740432","310863670","-3","01212804","1","-2","4","1","01221999","6","2","3","2","3","1","2","2","40","-1","-1","-1","-1","2","2","2","2","-2","3","A","-2","-2"
"205717","1","1","1","-2","-2","-2","1","-2","SOUTHWESTERN COLLEGE OF BUSINESS","632 VINE ST","CINCINNATI","OH","45202","HAMILTON","61","39","3","GARY WRIGHT","PRESIDENT","5134213212","5134213212","5134213212","-1","-3","01212803","1","-2","4","1","02241999","6","2","3","2","3","1","2","2","40","-1","-1","-1","-1","2","2","2","2","-2","1","A","-2","-2"
"205726","1","3","4","-2","-2","1","1","-2","SOUTHWESTERN COLLEGE OF BUSINESS","225 W FIRST ST","DAYTON","OH","45402","MONTGOMERY","113","39","3","GARY W. WRIGHT","CHAIRMAN","5132240061","5132240061","5132240061","-1","056538465","01212800","1","-2","-2","-2","-2","6","2","3","2","3","1","2","2","40","-1","-1","-1","-1","2","2","2","2","-2","2","A","-2","-2"
"205823","1","1","1","-2","-2","-2","1","-2","SAINT VINCENT MEDICAL CENTER SCHOOL OF NURSING","2201 CHERRY ST","TOLEDO","OH","436082603","LUCAS","95","39","3","ELIZABETH CAIN","DIRECTOR","4192514314","4192514755","4192514319","-1","825436454","00651600","1","-2","4","1","01221999","5","2","2","4","4","1","2","2","0","1","1","2","1","2","2","2","2","-2","1","A","-2","-2"
"205841","1","1","1","-2","-2","-2","1","-2","STARK STATE COLLEGE OF TECHNOLOGY","6200 FRANK AVE NW","CANTON","OH","44720","STARK","151","39","3","JOHN MCGRATH","PRESIDENT","3309665451","3309665456","3309665450","341055865","076897354","01088100","1","-2","4","1","01211999","4","2","1","1","3","1","2","2","40","7","1","0","0","2","2","2","2","40","2","A","-2","-2"
"205850","1","3","4","-2","-2","1","1","-2","STATE BEAUTY ACADEMY","137 E CENTER ST","MARION","OH","43302","MARION","101","39","3","MERLE REED","PRESIDENT","6143875830","6143875830","6143875830","310672221","-3","00988300","5","-2","-2","-2","-2","6","2","3","2","4","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","5","A","-2","-2"
"205887","1","1","1","-2","-2","-2","1","-2","STAUTZENBERGER COLLEGE","5355 SOUTHWYCK BLVD","TOLEDO","OH","43614","LUCAS","95","39","3","STEVEN W GIBSON","DIRECTOR","4198660261","4198660261","4198660261","341055653","080983216","00486600","1","-2","4","1","01221999","6","2","3","2","3","1","2","2","40","10","1","1","3","2","2","2","2","-2","1","A","-2","-2"
"205957","1","1","1","-2","-2","-2","1","-2","FRANCISCAN UNIVERSITY OF STEUBENVILLE","1235 UNIVERSITY BLVD","STEUBENVILLE","OH","43952","JEFFERSON","81","39","3","MICHEAL SCANLAN","PRESIDENT","7402833771","7402836210","7402836226","340714818","790851570","00303600","1","-2","4","1","01121999","2","1","2","4","7","1","1","2","20","1","0","2","3","2","2","2","2","21","2","A","-2","-2"
"205966","1","1","1","-2","-2","-2","1","-2","SOUTHERN STATE COMMUNITY COLLEGE","100 HOBART DR","HILLSBORO","OH","45133","HIGHLAND","71","39","3","LAWRENCE N DUKES","PRESIDENT","9373933431","9373933431","9373933431","310858297","074733395","01287000","1","-2","4","1","01211999","4","2","1","1","3","1","2","2","40","1","0","0","0","2","2","2","2","40","6","A","-2","-2"
"206002","1","3","4","-2","-2","1","1","-2","TEMPLE BAPTIST COLLEGE","11965 KENN RD","CINCINNATI","OH","45240","HAMILTON","61","39","3","WESLEY K SMITH","PRESIDENT","5138513800","5138513800","5138513800","-1","-3","-2","6","-2","-2","-2","-2","2","1","2","6","5","1","2","2","30","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"206011","1","1","1","-2","-2","-2","1","-2","TERRA STATE COMMUNITY COLLEGE","2830 NAPOLEON RD","FREMONT","OH","43420","SANDUSKY","143","39","3","CHARLOTTE LEE","PRESIDENT","4193348400","4193348400","4193348400","-1","077569994","00827800","1","-2","4","1","01221999","4","2","1","1","3","1","2","2","40","2","0","0","4","2","2","2","2","40","6","A","-2","-2"
"206039","1","1","1","-2","-2","-2","1","-2","TIFFIN ACADEMY OF HAIR DESIGN","104 E MARKET ST","TIFFIN","OH","44883","SENECA","147","39","3","RICHARD BROTT","PRESIDENT","4194473117","4194473117","4194473117","341059349","010849370","00966000","1","-2","4","1","01211999","6","2","3","2","4","1","2","2","0","7","0","0","2","2","2","2","2","-2","6","A","-2","-2"
"206048","1","1","1","-2","-2","-2","1","-2","TIFFIN UNIVERSITY","155 MIAMI ST","TIFFIN","OH","44883","SENECA","147","39","3","GEORGE KIDD JR","PRESIDENT","4194476442","4194476442","4194476442","334427516","077748192","00312100","1","-2","4","1","01121999","2","1","2","3","7","1","1","2","20","6","0","0","1","2","2","2","2","55","6","A","-2","-2"
"206057","1","3","4","-2","-2","1","1","-2","COLUMBIA MERCY MEDICAL CENTER SCHOOL OF RAD TECH","1320 TIMKEN MERCY DR NW","CANTON","OH","44708","STARK","151","39","3","JACK TOPOLESKI","PRESIDENT","2164891273","-1","2164891273","-1","-3","-2","6","-2","-2","-2","-2","5","2","2","4","4","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","2","A","-2","-2"
"206084","1","1","1","-2","-2","-2","1","-2","UNIVERSITY OF TOLEDO","2801 W BANCROFT","TOLEDO","OH","436063390","TOLEDO","95","39","3","FRANK HORTON","PRESIDENT","4195302696","4195302056","4195302696","346401483","051623734","00313100","1","-2","4","1","04231999","1","1","1","1","9","1","1","1","11","12","1","2","2","2","2","2","2","13","1","A","-2","-2"
"206093","3","1","1","-2","-2","-2","1","-2","TOTAL TECHNICAL INSTITUTE","6500 PEARL RD","PARMA HEIGHTS","OH","44130","CUYAHOGA","35","39","3","DAVID A MONDI","DIRECTOR","4408432323","4408432323","4408432323","341641410","615241676","02582900","1","-2","4","1","02211999","9","3","3","2","2","1","2","2","0","23","0","3","2","2","2","2","2","-2","3","A","-2","-2"
"206118","3","3","4","-2","-2","1","1","-2","TRAVEL AGENTS TRAINING SCHOOL","4900 PEARL RD","PARMA","OH","44129","CUYAHOGA","35","39","3","ARYEAR GREGORY","OWNER","2168450304","2168450304","2168450304","-1","-3","-2","6","-2","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","3","A","-2","-2"
"206136","3","1","1","-2","-2","-2","1","-2","TRAVELINE SCHOOL OF TRAVEL","18615 DETROIT AVE","LAKEWOOD","OH","44107","CUYAHOGA","35","39","3","JEAN MARIE LUNDER","DIRECTOR","2162260380","-1","2162260380","341694284","-3","-2","6","-2","4","1","01111999","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","3","A","-2","-2"
"206154","1","1","1","-2","-2","-2","1","-2","TRI-STATE BIBLE COLLEGE","506 MARGARET ST","SOUTH POINT","OH","45680","LAWRENCE","87","39","3","CLIFFORD L MARQUARDT","PRESIDENT","7403772520","7403772520","7403772520","310792741","-3","-2","6","-2","4","1","01211999","5","2","2","6","4","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","4","A","-2","-2"
"206172","1","1","1","-2","-2","-2","1","-2","TRI-COUNTY VOCATIONAL SCHOOL ADULT CAREER CENTER","15676 ST RT 691","NELSONVILLE","OH","45764","ATHENS","9","39","3","CARMEN LORUBBIO","SUPERINTENDENT","7407533511","7407535470","7407535470","310723866","075042523","02168100","1","-2","4","1","01221999","7","3","1","1","2","1","2","2","0","0","0","0","0","2","2","2","2","-2","6","A","-2","-2"
