unitid,"instnm","city","stabbr",fips,obereg,fice,rstatus,imptype,parchild,idx,sector,iclevel,control,affil,hloffer,fpoffer,locale,pctmin1,pctmin2,pctmin3,pctmin4,hbcu,hospital,medical,tribal,carnegie,source,"opeid",opeind,hdegoffr,ncesedit,"formrt",cntygeo,resplast,respstat,"addr","zip","countynm",congdist,"gentele","fintele","admtele","ein","chfnm","chftitle"
"101301","GEORGE C WALLACE STATE COMMUNITY COLLEGE-SELMA","SELMA","AL","1","5","5699","1","","","","4","2","1","1","3","","6","46","0","0","0","","","","","40","4","00569900","1","40","1","IC1","47","1","1","3000 EARL GOODWIN PKY","36702","DALLAS","4","3348769227","3348769296","3348769295","630600375","DR JULIUS R BROWN","PRESIDENT"
"101347","HARRY M AYERS STATE TECHNICAL COLLEGE","ANNISTON","AL","1","5","5705","1","","","","4","2","1","1","3","","2","18","0","1","0","","","","","40","4","00570500","1","40","1","IC1","15","1","1","1801 COLEMAN RD","36202","CALHOUN","3","2058355400","2058355420","2058355455","630510018","EDWARD MEADOWS","PRESIDENT"
"101392","HOLLAND JEWELERY SCHOOL","SELMA","AL","1","5","","1","9","","","9","3","3","2","1","","6","","","","","","","","","","6","","","0","1","IC4","47","1","1","1034 DAWSON AVE","36701","DALLAS","","3348744252","","","630891077","HOMER L HOLLAND","DEAN"
"101417","HUEYTOWN BEAUTY SCHOOL","HUEYTOWN","AL","1","5","","4","2","","","9","3","3","2","2","","3","","","","","","","","","","","","","0","","IC4","73","1","3","117 HUEYTOWN PLZ","35023","JEFFERSON","","2054915570","","2054915570","","MARY C DUMAS","OWNER"
"101435","HUNTINGDON COLLEGE","MONTGOMERY","AL","1","5","1019","1","","","","2","1","2","6","5","","2","8","1","0","0","","","","","31","4","00101900","1","30","1","IC1","101","1","1","1500 E FAIRVIEW","361062148","MONTGOMERY","2","3348334222","3348334519","3348334497","630288841","WANDA D BIGHAM","PRESIDENT"
"101444","HUNTSVILLE HOSPITAL SCHOOL OF RADIOLOGIC TECHN","HUNTSVILLE","AL","1","5","","1","","","","5","2","2","3","4","","2","","","","","","","","","","4","02525400","3","0","1","IC1","89","1","1","101 SIVLEY RD","35801","MADISON","5","2055338928","2055338928","2055338928","","EDWARD BOSTON","ADMINISTRATOR"
"101453","INTERNATIONAL BIBLE COLLEGE","FLORENCE","AL","1","5","21997","1","","","","2","1","2","6","5","","2","9","1","1","0","","","","","51","4","02199700","1","30","1","IC1","77","1","1","3625 HELTON DR","35630","LAUDERDALE","5","2057666610","2057666610","2057666610","","DENNIS JONES","PRESIDENT"
"101462","J F DRAKE STATE TECHNICAL COLLEGE","HUNTSVILLE","AL","1","5","5260","1","","","","4","2","1","1","3","","2","49","0","2","1","1","","","","40","4","00526000","1","40","1","IC1","89","1","1","3421 MERIDIAN ST N","35811","MADISON","5","2055398161","2055398161","2055398161","","JOHNNY HARRIS","PRESIDENT"
"101471","J F INGRAM STATE TECHNICAL COLLEGE","DEATSVILLE","AL","1","5","","1","","","","4","2","1","1","3","","4","","","","","","","","","40","4","03002500","9","40","1","IC4","51","1","1","5375 INGRAM RD","36022","ELMORE","3","3342855177","3342855177","3342855177","630506768","J. DOUGLAS CHAMBERS","PRESIDENT"
"101480","JACKSONVILLE STATE UNIVERSITY","JACKSONVILLE","AL","1","5","1020","1","","","","1","1","1","1","8","","4","17","1","1","1","","","","","21","4","00102000","1","20","1","IC1","15","1","1","700 N PELHAM RD","36265","JACKSONVILLE","3","2057825781","2057825006","2057825000","636001099","HAROLD J MCGEE","PRESIDENT"
"101499","JEFFERSON DAVIS COMMUNITY COLLEGE","BREWTON","AL","1","5","1021","1","","","","4","2","1","1","3","","6","35","2","1","1","","","","","40","4","00102100","1","40","1","IC1","53","1","1","220 ALCO DR","36426","ESCAMBIA","3","3348674832","3348091596","3348091590","630502384","RICHARD E BROGDON","PRESIDENT"
"101505","JEFFERSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","1","5","1022","1","","","","4","2","1","1","3","","1","15","0","1","0","","","","","40","4","00102200","1","40","1","IC1","73","1","1","2601 CARSON RD","352153098","JEFFERSON","6","2058531200","2058531200","2058531200","630501357","JUDY MERRITT","PRESIDENT"
"101514","JOHN C CALHOUN STATE COMMUNITY COLLEGE","DECATUR","AL","1","5","1013","1","","","","4","2","1","1","3","","2","17","3","1","1","","","","","40","4","00101300","1","40","1","IC1","103","1","1","HWY 31 N","35602","LIMESTONE","5","2053062500","2053062626","2053062596","630505871","RICHARD G CARPENTER","PRESIDENT"
"101523","JOHN M PATTERSON STATE TECHNICAL COLLEGE","MONTGOMERY","AL","1","5","5693","1","","","","4","2","1","1","3","","2","51","1","1","1","","","","","40","4","00569300","1","40","1","IC1","101","1","1","3920 TROY HWY","36116","MONTGOMERY","2","3342881080","3342881080","3342881080","636014302","J L TAUNTON","PRESIDENT"
"101532","JOHNSONS BEAUTY SCHOOL","HUNTSVILLE","AL","1","5","","1","9","","","9","3","3","2","2","","2","","","","","","","","","","6","","","0","1","IC4","89","1","1","916 MERIDIAN ST N","35801","","5","2055391322","","","","",""
"101541","JUDSON COLLEGE","MARION","AL","1","5","1023","1","","","","2","1","2","6","5","","6","12","0","0","1","","","","","31","4","00102300","1","30","1","IC1","105","1","1","302 BIBB ST","36756","PERRY","7","3346835100","3346835157","3346835110","630288850","DAVID E POTTS","PRESIDENT"
"101569","LAWSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","1","5","1059","1","","","","4","2","1","1","3","","1","97","0","0","0","1","","","","40","4","00105900","1","40","1","IC1","73","1","1","3060 WILSON RD SW","35221","JEFFERSON","6","2059252515","2059296317","2059296309","","PERRY W WARD","PRESIDENT"
"101587","UNIVERSITY OF WEST ALABAMA","LIVINGSTON","AL","1","5","1024","1","","","","1","1","1","1","7","","6","34","1","0","1","","","","","21","4","00102400","1","20","2","IC1","119","1","1","STATION ONE","35470","SUMTER","7","2056529661","2056529661","2056529661","636001100","DR DON C HINES","PRESIDENT"
"101602","LURLEEN B WALLACE JUNIOR COLLEGE","ANDALUSIA","AL","1","5","8988","1","","","","4","2","1","1","3","","6","15","1","0","1","","","","","40","4","00898800","1","40","1","IC1","39","1","1","HWY 84 E","36420","COVINGTON","2","3342226591","3342226591","3342226591","630576487","SETH HAMMETT","PRESIDENT"
"101648","MARION MILITARY INSTITUTE","MARION","AL","1","5","1026","1","","","","5","2","2","3","3","","6","9","0","1","4","","","","","40","4","00102600","1","40","1","IC1","105","1","1","1101 WASHINGTON ST","36756","PERRY","7","3346832303","3346832309","3346832305","630288853","BG W THOMAS ADAMS","PRESIDENT"
"101657","MASTERS INSTITUTE OF COSMETOLOGY","HUNTSVILLE","AL","1","5","","4","2","","","9","3","3","2","2","","2","9","0","0","0","","","","","","","02205500","3","0","","IC3","89","1","3","8215 STEPHANIE ST","35802","MADISON","5","2058818587","2058818587","2058818587","630734622","ANN BRAY","CORPORATION PRESIDENT"
"101675","MILES COLLEGE","FAIRFIELD","AL","1","5","1028","1","","","","2","1","2","6","5","","3","99","0","0","0","1","","","","32","4","00102800","1","30","1","IC1","73","1","1","5500 MYRON MASSEY BLVD","35064","JEFFERSON","7","2059291000","2059291665","2059291657","630400608","ALBERT J H SLOAN II","PRESIDENT"
"101693","UNIVERSITY OF MOBILE","MOBILE","AL","1","5","1029","1","","","","2","1","2","6","7","","2","17","1","0","1","","","","","22","4","00102900","1","20","2","IC1","97","1","1","PO BOX 13220","366630220","MOBILE","1","3346755990","3346755990","3346755990","630417508","WALTER HOVELL","INTERIM PRESIDENT"
"101709","UNIVERSITY OF MONTEVALLO","MONTEVALLO","AL","1","5","1004","1","","","","1","1","1","1","8","","3","11","0","0","0","","","","","21","4","00100400","1","20","2","IC1","117","1","1","STATION 6001","35115","SHELBY","7","2056656155","2056656050","2056656030","636000720","ROBERT MCCHESNEY","PRESIDENT"
"101736","NORTHWEST SHOALS COMMUNITY COLLEGE","MUSCLE SHOALS","AL","1","5","5697","1","","","","4","2","1","1","3","","4","10","2","0","0","","","","","40","4","00569700","1","40","1","IC1","33","1","1","800 GEORGE WALLACE BLVD","35662","COLBERT","5","2053315200","2053315368","2053315362","630513822","LARRY MCCOY","PRESIDENT"
"101879","UNIVERSITY OF NORTH ALABAMA","FLORENCE","AL","1","5","1016","1","","","","1","1","1","1","7","","2","8","2","1","1","","","","","21","4","00101600","1","20","1","IC1","77","1","1","UNA BOX 5121","356320001","LAUDERDALE","5","2057654100","2057654278","2057654318","","ROBERT L POTTS","PRESIDENT"
"101897","NORTHEAST ALABAMA STATE COMMUNITY COLLEGE","RAINSVILLE","AL","1","5","1031","1","","","","4","2","1","1","3","","6","2","3","0","0","","","","","40","4","00103100","1","40","1","IC1","49","1","1","HWY 35 W","35986","DEKALB","4","2056384418","2056384418","2056384418","630504999","CHARLES PENDLEY","PRESIDENT"
"101912","OAKWOOD COLLEGE","HUNTSVILLE","AL","1","5","1033","1","","","","2","1","2","6","5","","4","81","0","0","0","1","","","","32","4","00103300","1","30","1","IC1","89","1","1","OAKWOOD RD N W","35896","MADISON","5","2057267000","8008245321","8008245312","","DELBERT W BAKER","PRESIDENT"
"101949","ALABAMA SOUTHERN COMMUNITY COLLEGE","MONROEVILLE","AL","1","5","1034","1","","","","4","2","1","1","3","","6","32","1","0","0","","","","","40","4","00103400","1","40","1","IC1","99","1","1","HWY 21 S","36460","MONROE","1","3345753156","3345753156","3345753156","630503016","JOHN A JOHNSON","PRESIDENT"
"101958","PRINCE INSTITUTE OF PROFESSIONAL STUDIES INC","MONTGOMERY","AL","1","5","22960","1","","","","6","2","3","2","3","","2","11","0","0","0","","","","","","4","02296000","1","40","1","IC1","101","1","1","7735 ATLANTA HWY","361174231","MONTGOMERY","2","3342711670","3342711670","3342711670","630710076","SARA G PRINCE","DIRECTOR"
"101985","RAY'S UNIVERSITY OF BEAUTY","FLORENCE","AL","1","5","","4","1","","","9","3","3","2","2","","2","","","","","","","","","","","","","0","","IC4","77","3","3","412 S COURT ST","35630","","5","2057645411","","","","",""
"101994","REID STATE TECHNICAL COLLEGE","EVERGREEN","AL","1","5","5692","1","","","","4","2","1","1","3","","6","51","1","0","0","","","","","40","4","00569200","1","40","1","IC1","35","1","1","I65 AND HWY 83","36401","CONECUH","2","3345781313","3345781313","3345781313","","DR ULLYSSES MCBRIDE","PRESIDENT"
"102030","BISHOP STATE COMMUNITY COLLEGE","MOBILE","AL","1","5","1030","1","","","","4","2","1","1","3","","2","53","0","1","0","1","","","","40","4","00103000","1","40","1","IC1","97","1","1","351 N BROAD ST","36608","MOBILE","1","3346906416","3346906458","3346906421","630507477","YVONNE KENNEDY","PRESIDENT"
"102049","SAMFORD UNIVERSITY","BIRMINGHAM","AL","1","5","1036","1","","","","2","1","2","6","9","1","3","6","0","1","1","","","","","21","4","00103600","1","11","1","IC1","73","1","1","800 LAKESHORE DR STE 2240","352292240","JEFFERSON","6","2058702011","2058702905","2058702901","630312914","THOMAS E CORTS","PRESIDENT"
"102058","SELMA UNIVERSITY","SELMA","AL","1","5","1037","1","","","","2","1","2","6","5","","6","94","0","0","0","1","","","","32","4","00103700","9","30","1","IC4","47","1","1","1501 LAPSLEY ST","36701","DALLAS","7","3348722533","3348744827","3348722533","630367461","JAMES C CARTER","INTERIM PRESIDENT"
"102067","SHELTON STATE COMMUNITY COLLEGE","TUSCALOOSA","AL","1","5","5691","4","2","","","4","2","1","1","3","","2","26","0","1","0","","","","","40","","00569100","1","40","","IC1","125","1","3","9500 OLD GREENSBORO RD","35405","TUSCALOOSA","7","2053912347","2057591541","2057591541","","THOMAS UMPHREY","PRESIDENT"
"102076","SNEAD STATE COMMUNITY COLLEGE","BOAZ","AL","1","5","1038","1","","","","4","2","1","1","3","","6","2","1","1","0","","","","","40","4","00103800","1","40","1","IC1","95","1","1","220 N WALNUT ST","359570734","MARSHALL","4","2055935120","2058404127","2058404108","630521412","JOHNNY W MCALPINE","PRESIDENT"
"102100","UNIVERSITY OF SOUTH ALABAMA-BALDWIN","FAIRHOPE","AL","1","5","901057","1","","","","1","1","1","1","7","","4","","","","","","","","","","4","001057A1","2","20","1","IC1","3","1","1","10 N SUMMIT","36532","BALDWIN","1","3349288133","3344606231","3344606141","630477348","PHILIP NORRIS","DIRECTOR"
"102216","SOUTHERN COMMUNITY COLLEGE","TUSKEGEE","AL","1","5","","1","","","","5","2","2","3","4","","6","80","0","0","20","","","","","","4","01123700","1","40","1","IC1","87","1","1","205 S MAIN ST","36083","TUSKEGEE","3","3347275220","3347275220","3347275220","630589323","LAWRENCE F HAYGOOD JR","PRESIDENT"
"102094","UNIVERSITY OF SOUTH ALABAMA","MOBILE","AL","1","5","1057","1","","","","1","1","1","1","9","1","2","11","1","3","1","","","1","","21","4","00105700","1","11","1","IC1","97","1","1","307 N UNIVERSITY BLVD","366880002","MOBILE","1","3344606011","3344606231","3344606141","630477348","FREDERICK WHIDDON","PRESIDENT"
"102234","SPRING HILL COLLEGE","MOBILE","AL","1","5","1041","1","","","","2","1","2","4","7","","2","13","0","2","3","","","","","22","4","00104100","1","20","1","IC1","97","1","1","4000 DAUPHIN ST","366081791","MOBILE","1","3343804000","3343803460","3343803030","630302179","WILLIAM J REWAK","PRESIDENT"
"102261","SOUTHEASTERN BIBLE COLLEGE","BIRMINGHAM","AL","1","5","1039","1","","","","2","1","2","3","5","","3","5","0","2","1","","","","","51","4","02270400","1","30","2","IC1","73","1","1","3001 HWY 280 E","352434181","JEFFERSON","6","2059690880","2059690880","2059690880","630338081","JOHN D TALLEY","PRESIDENT"
"102270","STILLMAN COLLEGE","TUSCALOOSA","AL","1","5","1044","1","","","","2","1","2","6","5","","2","96","0","0","0","1","","","","32","4","00104400","1","30","1","IC1","125","1","1","PO DRAWER 1430","35403","TUSCALOOSA","7","2053494240","2053668844","2053668816","630315935","ERNEST MCNEALEY","PRESIDENT"
