unitid,"instnm","addr","city","stabbr","zip",fips,obereg,"chfnm","chftitle","gentele","fintele","admtele","ein","duns","opeid",opeflag,"webaddr",sector,iclevel,control,hloffer,ugoffer,groffer,fpoffer,hdegoffr,deggrant,hbcu,hospital,medical,tribal,locale,openpubl,"act",newid,deathyr,"closedat",cyactive,postsec,pseflag,pset4flg,rptmth,instcat,ccbasic,ccipug,ccipgrad,ccugprof,ccenrprf,ccsizset,carnegie,tenursys,landgrnt,fte,instsize,enrtot
"101295","George C Wallace State Community College-Hanceville","801 Main St NW","Hanceville","AL","35077-2000","1","5","Vicki Hawsey","President","2563528000","2563528182","2563528128","630498828","039570619","00787100","1","www.wallacestate.edu","4","2","1","3","1","2","2","40","1","2","0","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","4","3","1","-1","3","1","3","40","1","0","3738","3","5155"
"101301","George C Wallace State Community College-Selma","3000 Earl Goodwin Parkway","Selma","AL","36703-2808","1","5","Dr. James M. Mitchell","President","3348769227","3348769296","3348769295","630600375","082152281","00569900","1","www.wccs.edu","4","2","1","3","1","2","2","40","1","2","0","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","4","3","1","-1","2","1","2","40","1","0","1478","2","2027"
"101365","Herzing College","280 West Valley Ave","Birmingham","AL","35209","1","5","Donald E Lewis","President","2059162800","2059162800","2059162800","391040865","621426535","01019300","1","herzing.edu/birmingham","3","1","3","5","1","2","2","30","1","2","0","2","2","21","1","A","-2","-2","-2","1","1","1","1","1","3","28","-2","-2","-2","2","-2","40","0","0","288","1","371"
"101435","Huntingdon College","1500 East Fairview Avenue","Montgomery","AL","36106-2148","1","5","J. Cameron West","President","3348334222","3348334519","3348334497","630288841","082145608","00101900","1","www.huntingdon.edu","2","1","2","5","1","2","2","30","1","2","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","2","21","6","-1","10","2","8","31","1","0","755","1","790"
"101453","Heritage Christian University","3625 Helton Dr","Florence","AL","35630-9977","1","5","Dennis Jones","President","2567666610","2567666610224","2567666610220","237013287","077641306","02199700","1","www.hcu.edu","2","1","2","7","1","1","2","20","1","2","0","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","2","24","-2","-2","-2","3","-2","51","0","0","78","1","123"
"101462","J F Drake State Technical College","3421 Meridian St N","Huntsville","AL","35811","1","5","Helen T. McAlpine","President","2565398161100","2565513123112","2565513109109","631002142","039526595","00526000","1","www.drakestate.edu","4","2","1","3","1","2","2","40","1","1","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","4","1","1","-1","3","1","2","40","1","0","552","1","729"
"101471","J F Ingram State Technical College","5375 Ingram Rd","Deatsville","AL","36022","1","5","J. Douglas Chambers","President","3342855177","3342855177","3342855177","630506768","","03002500","5","","4","2","1","3","1","2","2","40","1","2","0","2","2","42","0","A","-2","-2","-2","1","1","2","6","1","4","1","1","-1","3","1","2","40","1","0","544","1","658"
"101480","Jacksonville State University","700 Pelham Road North","Jacksonville","AL","36265","1","5","William Meehan","President","2567825781","2567825006","2567825268","636001099","079107165","00102000","1","www.jsu.edu/","1","1","1","8","1","1","2","20","1","2","0","2","2","23","1","A","-2","-2","-2","1","1","1","1","1","2","18","13","4","9","4","12","21","1","0","7338","3","9110"
"101499","Jefferson Davis Community College","220 Alco Dr","Brewton","AL","36426","1","5","Dr. Susan McBride","President","2518674832","2518091516","2518091590","630502384","085775450","00102100","1","www.jdcc.edu","4","2","1","3","1","2","2","40","1","2","0","2","2","32","1","A","-2","-2","-2","1","1","1","1","1","4","1","1","-1","3","1","2","40","1","0","819","2","1150"
"101505","Jefferson State Community College","2601 Carson Rd","Birmingham","AL","35215-3098","1","5","Judy Merritt","President","2058531200","20585312007704","20585312007704","630501357","075459529","00102200","1","www.jeffstateonline.com","4","2","1","3","1","2","2","40","1","2","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","4","7","1","-1","2","1","3","40","1","0","4487","3","7173"
"101514","John C Calhoun State Community College","6250 U S Highway 31 N","Tanner","AL","35671","1","5","Dr. Marilyn C. Beck","President","2563062500","2563062628","2563062593","630505871","075464107","00101300","1","www.calhoun.edu","4","2","1","3","1","2","2","40","1","2","0","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","4","3","1","-1","2","1","4","40","1","0","5273","3","8659"
"101541","Judson College","302 Bibb St","Marion","AL","36756","1","5","David E Potts","President","3346835100","3346835157","3346835110","630288850","078958741","00102300","1","www.judson.edu","2","1","2","5","1","2","2","30","1","2","0","2","2","43","1","A","-2","-2","-2","1","1","1","1","1","2","21","6","-1","11","2","8","31","1","0","286","1","331"
"101569","Lawson State Community College-Birmingham Campus","3060 Wilson Rd SW","Birmingham","AL","35221-1717","1","5","Perry W Ward","President","2059252515","2059296391","2059296309","630641064","067109926","00105900","1","www.lawsonstate.edu","4","2","1","3","1","2","2","40","1","1","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","4","7","1","-1","3","1","2","40","1","0","2288","2","3371"
"101587","University of West Alabama","Station One","Livingston","AL","35470","1","5","Dr. Richard Holland","President","2056523400","2056523576","2056523578","636001100","968832394","00102400","1","www.uwa.edu","1","1","1","7","1","1","2","20","1","2","0","2","2","43","1","A","-2","-2","-2","1","1","1","1","1","2","19","13","1","9","5","10","21","1","0","2464","2","3090"
"101602","Lurleen B Wallace Community College","1000 Dannelly Blvd.","Andalusia","AL","36420-1418","1","5","Dr. Edward Meadows","President","3342226591","3348812272","3348812271","630576487","039570254","00898800","1","lbwcc..edu","4","2","1","3","1","2","2","40","1","2","0","2","2","33","1","A","-2","-2","-2","1","1","1","1","1","4","1","1","-1","3","1","2","40","1","0","1086","2","1457"
"101648","Marion Military Institute","1101 Washington St","Marion","AL","36756","1","5","Col James H. Benson","President","3346832303","3346832309","3346832305","630288853","072092182","00102600","1","www.marionmilitary.edu","5","2","2","3","1","2","2","40","1","2","0","2","2","43","1","A","-2","-2","-2","1","1","1","1","1","4","9","1","-1","4","1","1","40","1","0","256","1","256"
"101675","Miles College","5500 Myron Massey Blvd","Fairfield","AL","35064","1","5","George T. French, Jr.","President","2059291000","2059291665","2059291656","630400608","075460758","00102800","1","www.miles.edu","2","1","2","5","1","2","2","30","1","1","0","2","2","21","1","A","-2","-2","-2","1","1","1","1","1","2","22","15","-1","12","2","10","32","1","0","1676","2","1758"
"101693","University of Mobile","5735 College Parkway Drive","Mobile","AL","36663-0220","1","5","Mark Foley","President","2516755990","2514422252","2514422220","630417508","082061185","00102900","1","www.umobile.edu","2","1","2","7","1","1","2","20","1","2","0","2","2","21","1","A","-2","-2","-2","1","1","1","1","1","2","20","13","8","10","3","9","21","1","0","1488","2","1758"
"101709","University of Montevallo","Station 6001","Montevallo","AL","35115","1","5","Robert McChesney","President","2056656155","2056656050","2056656030","636000720","077642619","00100400","1","www.montevallo.edu","1","1","1","8","1","1","2","20","1","2","0","2","2","31","1","A","-2","-2","-2","1","1","1","1","1","2","19","10","6","11","4","10","21","1","0","2716","2","2999"
"101736","Northwest Shoals Community College-Muscle Shoals","800 George Wallace Blvd","Muscle Shoals","AL","35661","1","5","Humphrey Lee","President","2563315200","2563315368","2563315263","630513822","018777714","00569700","1","www.nwscc.edu","4","2","1","4","1","2","2","40","1","2","0","2","2","23","1","A","-2","-2","-2","1","1","1","1","1","4","2","1","-1","2","1","3","40","1","0","2641","2","3633"
"101879","University of North Alabama","One Harrison Plaza","Florence","AL","35632-0001","1","5","Wm. G. Cale, Jr.","President","2567654100","2567654278","2567654318","636000893","063659577","00101600","1","www.una.edu","1","1","1","8","1","1","2","20","1","2","0","2","2","13","1","A","-2","-2","-2","1","1","1","1","1","2","18","13","6","11","3","12","21","1","0","5329","3","6415"
"101897","Northeast Alabama Community College","Hwy 35","Rainsville","AL","35986","1","5","J. David Campbell","President","2056384418222","2056384418227","2056384418222","630504999","082056763","00103100","1","www.nacc.edu","4","2","1","3","1","2","2","40","1","2","0","2","2","42","1","A","-2","-2","-2","1","1","1","1","1","4","2","1","-1","1","1","2","40","1","0","1441","2","2245"
"101912","Oakwood College","7000 Adventist Blvd NW","Huntsville","AL","35896","1","5","Delbert W Baker","President","2567267000","8008245321","8008245312","","072095326","00103300","1","www.oakwood.edu","2","1","2","5","1","2","2","30","1","1","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","2","22","12","-1","9","2","11","32","1","0","1634","2","1751"
"101949","Alabama Southern Community College","2800 South Alabama Avenue","Monroeville","AL","36460","1","5","John A Johnson","President","2515753156600","2515753156256","2515753156222","630503016","081384315","00103400","1","www.ascc.edu","4","2","1","3","1","2","2","40","1","2","0","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","4","1","1","-1","3","1","2","40","1","0","1004","2","1281"
"101958","Prince Institute of Professional Studies Inc","7735 Atlanta Hwy","Montgomery","AL","36117","1","5","Patricia L. Hill","Director","3342711670202","3312711670206","3342711670202","630710076","163355274","02296000","1","princeinstitute.edu","6","2","3","3","1","2","2","40","1","2","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","4","10","1","-1","2","1","1","40","0","0","27","1","38"
"101994","Reid State Technical College","I65 and Hwy 83","Evergreen","AL","36401","1","5","Dr Douglas M Littles","President","2515781313108","2515781313107","2515781313148","630510731","625181912","00569200","1","www.rstc.cc.al.us","4","2","1","3","1","2","2","40","1","2","0","2","2","43","1","A","-2","-2","-2","1","1","1","1","1","4","1","1","-1","3","1","1","40","1","0","448","1","657"
"102030","Bishop State Community College","351 North Broad Street","Mobile","AL","36603-5898","1","5","Yvonne Kennedy","President","2516906416","2516906458","2516906402","630507477","020872420","00103000","1","www.bishop.edu","4","2","1","3","1","2","2","40","1","1","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","4","7","1","-1","2","1","3","40","1","0","3221","2","4883"
"102049","Samford University","800 Lakeshore Dr","Birmingham","AL","35229-2240","1","5","Thomas E Corts","President","2057262011","2057262905","2057263673","630312914","075455410","00103600","1","www.samford.edu","2","1","2","9","1","1","1","11","1","2","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","2","17","10","18","12","5","14","21","1","0","4232","2","4507"
"102067","Shelton State Community College","9500 Old Greensboro Rd","Tuscaloosa","AL","35405-8522","1","5","Dr. Rick Rogers","President","2053912347","2053912376","2053912214","636002149","159134618","00569100","1","www.sheltonstate.edu","4","2","1","3","1","2","2","40","1","1","0","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","4","3","1","-1","3","1","3","40","1","0","4166","3","5754"
"102076","Snead State Community College","220 North Walnut Street","Boaz","AL","35957-0734","1","5","Lavell Thrasher","Interim President","2565935120","2568404127","2568404107","630521412","038268801","00103800","1","www.snead.edu","4","2","1","3","1","2","2","40","1","2","0","2","2","31","1","A","-2","-2","-2","1","1","1","1","1","4","1","1","-1","3","1","2","40","1","0","1452","2","2082"
"102094","University of South Alabama","307 N University Blvd","Mobile","AL","36688-0002","1","5","V Gordon Moulton","President","3344606101","3344606231","3344606141","630477348","172750234","00105700","1","www.southalabama.edu","1","1","1","9","1","1","1","11","1","2","1","1","2","12","1","A","-2","-2","-2","1","1","1","1","1","2","18","13","18","8","4","15","16","1","0","11007","4","13122"
"102216","Southern Community College","205 S Main St","Tuskegee","AL","36083-0688","1","5","Lawrence F Haygood Jr","President","33472752203022","33472752203008","33472752203015","630589323","008607038","01123700","1","www.SOUTHERNCOMMUNITYCOLLEGE.ORG","5","2","2","4","1","2","2","0","2","2","0","2","2","32","1","A","-2","-2","-2","1","1","1","1","1","6","-3","-3","-3","-3","-3","-3","-3","0","0","70","1","76"
"102234","Spring Hill College","4000 Dauphin St","Mobile","AL","36608-1791","1","5","Gregory F. Lucey, S.J.","President","2513804000","2513803460","2513803030","630302179","072627243","00104100","1","www.shc.edu","2","1","2","7","1","1","2","20","1","2","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","2","20","10","8","10","3","11","21","1","0","1311","2","1497"
"102261","Southeastern Bible College","2545 Valleydale Road","Birmingham","AL","35244-2083","1","5","Dr. Don Hawkins","President","2059709200","2059709215","2059709210","630338081","079102406","02270400","1","www.sebc.edu","2","1","2","5","1","2","2","30","1","2","0","2","2","21","1","A","-2","-2","-2","1","1","1","1","1","2","24","-2","-2","-2","2","-2","51","0","0","212","1","232"
"102270","Stillman College","3601 Stillman Boulevard","Tuscaloosa","AL","35403","1","5","Ernest McNealey, Ph.D.","President","2053494240","2053668844","2053668817","630315935","075460931","00104400","1","www.stillman.edu","2","1","2","5","1","2","2","30","1","1","0","2","2","13","1","A","-2","-2","-2","1","1","1","1","1","2","22","12","-1","9","2","11","32","1","0","785","1","804"
"102298","Talladega College","627 W Battle St","Talladega","AL","35160","1","5","Dr. Oscar L. Prater","President","2563620206","2567616341","2567616235","630288870","079114195","00104600","1","www.talladega.edu","2","1","2","5","1","2","2","30","1","1","0","2","2","32","1","A","-2","-2","-2","1","1","1","1","1","2","21","6","-1","9","2","8","31","1","0","350","1","368"
"102313","H Councill Trenholm State Technical College","1225 Air Base Blvd","Montgomery","AL","36108-3199","1","5","Dr. Anthony L. Molina","President","3344204200","3344204321","3344204307","630510750","119842276","00573400","1","www.trenholmtech.cc.al.us","4","2","1","3","1","2","2","40","1","1","0","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","4","1","1","-1","2","1","2","40","1","0","958","2","1439"
"102322","Troy State University-Dothan Campus","501 University Dr","Dothan","AL","36304","1","5","Bob Willis","Interim Vice Chancellor","3349836556","3349836556255","3349836556333","636001102","614667301","00104800","1","dothan.troy.edu","1","1","1","-3","-3","-3","-3","-3","1","2","0","-2","2","-3","1","C","102368","2005","-2","3","1","3","9","-2","-2","20","13","6","5","4","9","21","-1","0","","-2",""
"102359","Troy State University-Montgomery","231 Montgomery St","Montgomery","AL","36103-4419","1","5","Cameron Martindale","President","3342419506","3342419520","3342419508","636001102","159135334","00104900","1","www.tsum.edu","1","1","1","-3","-3","-3","-3","-3","1","2","0","-2","2","-3","1","C","102368","2005","-2","3","1","3","9","-2","-2","18","10","7","5","4","9","21","-1","0","","-2",""
"102368","Troy University","University Avenue","Troy","AL","36082-0001","1","5","Dr. Jack Hawkins, Jr.","Chancellor","3346703100","3346703186","3346703179","636001102","072090939","00104700","1","www.troy.edu","1","1","1","8","1","1","2","20","1","2","0","2","2","32","1","A","-2","-2","-2","1","1","1","1","1","2","18","13","7","6","5","16","21","1","0","17510","5","26880"
"102377","Tuskegee University","Kresge Center, 3rd Floor","Tuskegee","AL","36088-1920","1","5","Benjamin F Payton","President","3347278011","3347278212","3347278500","","128214178","00105000","1","www.tuskegee.edu","2","1","2","9","1","1","1","11","1","1","0","1","2","32","1","A","-2","-2","-2","1","1","1","1","1","2","22","13","8","9","4","11","21","1","1","2796","2","2880"
"102395","United States Sports Academy","One Academy Dr","Daphne","AL","36526-7055","1","5","Dr. Thomas P. Rosandich","President/CEO","2516263303162","2516263303142","2516263303143","630771624","120903380","02170600","1","www.ussa.edu","2","1","2","9","1","1","2","10","1","2","0","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","2","32","-2","-2","-2","6","-2","59","0","0","260","1","548"
"102429","Bevill State Community College","101 State St","Sumiton","AL","35148","1","5","Harold Wade","President","20564832715400","20564832715407","20564832715201","631102108","797414141","00573300","1","www.bscc.edu","4","2","1","3","1","2","2","40","1","2","0","2","2","31","1","A","-2","-2","-2","1","1","1","1","1","4","2","1","-1","2","1","3","40","1","0","2774","2","3867"
"102553","University of Alaska Anchorage","3211 Providence Drive","Anchorage","AK","99508-8046","2","8","Elaine P. Maimon","Chancellor","9077861480","9077861586","9077861480","926000147","932445893","01146200","1","www.uaa.alaska.edu","1","1","1","8","1","1","2","20","1","2","0","2","2","11","1","A","-2","-2","-2","1","1","1","1","1","2","18","10","4","8","3","15","21","1","0","10864","4","16412"
"102614","University of Alaska Fairbanks","Signers' Hall","Fairbanks","AK","99775-7480","2","8","Stephen B. Jones","Chancellor","9074747211","8884747256","8004781823","926000147","048679567","00106300","1","www.uaf.edu","1","1","1","9","1","1","2","10","1","2","0","2","2","23","1","A","-2","-2","-2","1","1","1","1","1","2","16","7","17","8","4","13","16","1","1","5776","3","8228"
"102632","University of Alaska Southeast","11120 Glacier Highway","Juneau","AK","99801-8697","2","8","John Pugh","Chancellor","8774654827","9077966255","9077966100","926000147","021827050","00106500","1","www.uas.alaska.edu","1","1","1","7","1","1","2","20","1","2","0","2","2","33","1","A","-2","-2","-2","1","1","1","1","1","2","20","6","9","5","4","10","21","1","0","1805","2","3125"
"102669","Alaska Pacific University","4101 University Dr","Anchorage","AK","99508","2","8","Douglas M North","President","9075611266","9075648342","9075648248","920023588","076637636","00106100","1","www.alaskapacific.edu","2","1","2","7","1","1","2","20","1","2","0","2","2","11","1","A","-2","-2","-2","1","1","1","1","1","2","20","13","7","7","5","6","21","0","0","565","1","802"
"102711","Alaska Vocational Technical Center","809 Second Ave","Seward","AK","99664-0889","2","8","Fred Esposito","Director","9072243322","9072244150","9072244153","926001185","120327366","03160300","1","avtec.labor.state.ak.us/","7","3","1","2","1","2","2","0","2","2","0","2","2","43","1","A","-2","-2","-2","1","1","1","1","2","6","-3","-3","-3","-3","-3","-3","-3","0","0","281","1","358"
"102845","Charter College","2221 E Northern Lights Blvd Ste 120","Anchorage","AK","99508","2","8","Milton Byrd","President","9072771000","9077771314","9072771000","920105865","131469280","02576900","1","www.chartercollege.edu","3","1","3","5","1","2","2","30","1","2","0","2","2","11","1","A","-2","-2","-2","1","1","1","1","1","3","14","2","-1","5","2","6","40","0","0","258","1","424"
"103361","Prince William Sound Community College","303 Lowe Street","Valdez","AK","99686","2","8","Douglas Desorcie","President","9078341600","9078341631","9078341632","926000147","","01146205","1","www.pwscc.edu.","4","2","1","3","1","2","2","40","1","2","0","2","2","43","1","A","-2","-2","-2","1","1","1","1","1","4","2","1","-1","1","1","1","40","1","0","328","1","823"
"103440","Sheldon Jackson College","801 Lincoln Street","Sitka","AK","99835-7699","2","8","David Dobler","President","9077475220","9077475211","9077475221","920041013","078206042","00106200","1","www.sj-alaska.edu","2","1","2","5","1","2","2","30","1","2","0","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","2","21","9","-1","9","2","8","32","0","0","127","1","139"
"103501","Career Academy","1415 E Tudor Road","Anchorage","AK","99507-1033","2","8","Jennifer Deitz","President","9075637575","9075637575","9075637575","920106326","144406543","02541000","1","www.careeracademy.edu","9","3","3","2","1","2","2","0","2","2","0","2","2","11","1","A","-2","-2","-2","1","1","1","1","2","6","-3","-3","-3","-3","-3","-3","-3","0","0","249","1","249"
