unitid,"instnm","city","stabbr",fips,obereg,fice,rstatus,unitidx,sector,iclevel,control,affil,hloffer,fpoffer,"formrt",resplast,respstat,"addr","zip","countynm",congdist,gentele,"chfnm","chftitle"
"100812","ATHENS STATE COLLEGE","ATHENS","AL","1","5","1008","","","1","1","1","1","5","","1","1","1","BEATY STREET","35611","LIMESTONE","5","2052338100","JERRY BARTLETT","INTERIM PRES"
"100821","JEFFERSON DAVIS COMMUNITY COLLEGE-ATMORE CAMPUS","ATMORE","AL","1","5","901021","","","4","2","1","1","4","","2","1","1","PO BOX 1119","36504","ESCAMBIA","1","2053688118","MALCOLM JONES","PRESIDENT"
"100830","AUBURN UNIVERSITY AT MONTGOMERY","MONTGOMERY","AL","1","5","8310","","","1","1","1","1","8","","1","1","1","7300 UNIVERSITY DR","361173596","MONTGOMERY","2","2052443000","JAMES WILLIAMS","CHANCELLOR"
"100849","AUBURN UNIVERSITY CENTRAL OFFICE","AUBURN UNIV","AL","1","5","8317","","","0","0","0","","","","1","1","1","","368495113","LEE","3","2058444000","JAMES E MARTIN","PRES"
"100858","AUBURN UNIVERSITY MAIN CAMPUS","AUBURN UNIV","AL","1","5","1009","","","1","1","1","1","9","1","1","1","1","","36849","LEE","3","2058444000","JAMES E MARTIN","PRES"
"100867","BALDWIN COUNTY SCHOOL OF COSMETOLOGY","DAPHNE","AL","1","5","","","","9","3","3","2","2","","3","1","1","27339 A-1 US HIGHWAY 98","36526","BALDWIN","1","2056265386","TREISHA BERTAGNOLL","DIRECTOR"
"100885","BAPTIST MEDICAL CENTER","MONTGOMERY","AL","1","5","","","","2","1","2","6","6","","1","1","1","2105 E SOUTH BLVD","361110010","MONTGOMERY","2","2052882100","CHARLES BENTLEY","CEO 2052862987"
"100900","BEN PORTER REAL ESTATE SCHOOL","HUNTSVILLE","AL","1","5","","","","9","3","3","2","1","","3","1","1","3409 SOUTH MEMORIAL PARKWAY","35801","","5","2058819676","KENNETH R GREENWOOD",""
"100919","BESSEMER STATE TECHNICAL COLLEGE","BESSEMER","AL","1","5","5704","","","4","2","1","1","4","","2","1","1","P.O. BOX 308","35021","JEFFERSON","7","2054286391","W BAILEY","PRESIDENT"
"100928","BIRMINGHAM SCHOOL OF LAW","BIRMINGHAM","AL","1","5","","","","3","1","3","2","9","1","1","1","1","923 FRANK NELSON BLVD., 205 N. 20TH","35203","BIRMINGHAM","6","2053226122","DAWN MCDONALD","ASSISTANT DEAN"
"100937","BIRMINGHAM SOUTHERN COLLEGE","BIRMINGHAM","AL","1","5","1012","","","2","1","2","6","7","","1","1","1","900 ARKADELPHIA ROAD","35254","JEFFERSON","","2052264600","NEAL R. BERTE","PRESIDENT"
"100964","BREWER STATE JUNIOR COLLEGE","FAYETTE","AL","1","5","9134","","","4","2","1","1","3","","2","1","1","2631 TEMPLE AVENUE, NORTH","35555","FAYETTE","4","2059323221","WAYLAND K DEWITT","PRESIDENT"
"100973","C A FREDD STATE TECHNICAL COLLEGE","TUSCALOOSA","AL","1","5","5248","","","4","2","1","1","4","","2","1","1","3401 M L KING JR BLVD","35401","TUSCALOOSA","7","2057583361","RONNIE ROSE","ADMIN HEAD"
"100982","CAREER BEAUTY COLLEGE","MONTGOMERY","AL","1","5","","","","9","3","3","2","2","","3","1","3","1103 MULBERRY STREET","36106","","2","2052692500","",""
"100991","CARVER STATE TECHNICAL COLLEGE","MOBILE","AL","1","5","5703","","","4","2","1","1","4","","2","1","1","414 STANTON STREET","36617","MOBILE","1","2054738692","DR. YVONNE KENNEDY","PRESIDENT"
"101000","CENTER POINT BEAUTY SCHOOL","BIRMINGHAM","AL","1","5","","","","9","3","3","2","1","","3","3","1","2328 FIRST ST NE","35215","","","2058537504","",""
"101019","CHARLES ACADEMY OF BEAUTY CULTURE","MOBILE","AL","1","5","","","","9","3","3","2","2","","3","1","1","2986 ESLAVA CREEK PKWY","36606","MOBILE","","2054786401","CHARLES PRINE","DIR/PRES"
"101028","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","PHENIX CITY","AL","1","5","12182","","","4","2","1","1","4","","2","1","1","2602 COLLEGE DRIVE","36869","RUSSELL","3","2052914900","JAMES OWEN","PRESIDENT"
"101037","CHAUNCEY SPARKS STATE TECHNICAL COLLEGE","EUFAULA","AL","1","5","5736","","","4","2","1","1","3","","2","1","1","P.O. DRAWER 580","36027","EUFAULA","2","2056873543","L C YOUNG","PRESIDENT"
"101046","NEW WORLD COLLEGE OF BEAUTY","ANNISTON","AL","1","5","","","","9","3","3","2","2","","3","1","1","P O BOX 2287","36202","CALHOUN","3","2052379381","SUSAN THROWER","EX DIRECTOR"
"101055","COASTAL TRAINING INSTITUTE","MONTGOMERY","AL","1","5","","","","9","3","3","2","2","","3","1","1","5950 MONTICELLO DRIVE","36117","","2","2052796241","J E LAIL PILGREEN","DIRECTOR"
"101073","CONCORDIA COLLEGE","SELMA","AL","1","5","10554","","","5","2","2","7","3","","2","1","1","1804 GREEN STREET","36701","DALLAS","7","2058745700","JULIUS JENKINS","PRESIDENT"
"101107","DOUGLAS MACARTHUR STATE TECHNICAL COLLEGE","OPP","AL","1","5","5698","","","4","2","1","1","4","","2","1","1","PO BOX 649","36467","COVINGTON","2","2054933573","RAYMOND CHISUM","PRESIDENT"
"101116","DRAUGHONS JUNIOR COLLEGE","MONTGOMERY","AL","1","5","4463","","","6","2","3","2","3","","2","1","1","122 COMMERCE ST","36104","MONTGOMERY","2","2052631013","CONLEY SILER","DEAN"
"101125","DCH REGIONAL MEDICAL CENTER SCHOOL OF RAD TECHN","TUSCALOOSA","AL","1","5","","","","7","3","1","1","2","","2","1","1","809 UNIVERSITY BLVD EAST","35401","TUSCALOOSA","7","2057597312","BRYAN KINDRED","PROG DIRECTOR"
"101143","ENTERPRISE STATE JUNIOR COLLEGE","ENTERPRISE","AL","1","5","1015","","","4","2","1","1","3","","2","1","1","P O BOX 1300","36331","","2","2053472623","JOSEPH TALMADGE","PRES"
"101161","JAMES H. FAULKNER STATE COMMUNITY COLLEGE","BAY MINETTE","AL","1","5","1060","","","4","2","1","1","3","","2","1","1","1900 U.S. HWY 30, S","36507","BALDWIN","2","2059379581","GARY BRANCH","PRESIDENT"
"101189","FAULKNER UNIVERSITY","MONTGOMERY","AL","1","5","1003","","","2","1","2","6","9","1","1","1","1","5345 ATLANTA HWY","361093378","MONTGOMERY","2","2052725820","BILLY D HILYER","PRESIDENT"
"101198","FAULKNER UNIVERSITY-BIRMINGHAM","BIRMINGHAM","AL","1","5","901003","","","5","2","2","6","3","","2","1","3","488 PALISADES BLVD","35205","JEFFERSON","6","2058795588","BEN PEETE","PROVOST"
"101204","FAULKNER UNIVERSITY-FLORENCE","FLORENCE","AL","1","5","901003","","","5","2","2","6","3","","2","1","3","1001 FLORENCE BLVD","35630","SHELBY","5","2057665660","KENNETH DAVIS","PROVOST"
"101213","FAULKNER UNIVERSITY-HUNTSVILLE","HUNTSVILLE","AL","1","5","901003","","","5","2","2","6","3","","2","1","3","4920 CORPORATE DRIVE, STE C","35805","MADISON","5","2058302626","SAM KACHELMAN","PROVOST"
"101231","GADSDEN BUSINESS COLLEGE","GADSDEN","AL","1","5","","","","9","3","3","2","2","","3","1","1","750 FORREST AVENUE","35901","","4","2055462863","RICHARD BEECHAM","PRESIDENT"
"101240","GADSDEN STATE COMMUNITY COLLEGE","GADSDEN","AL","1","5","1017","","","4","2","1","1","4","","2","1","1","PO BOX 227","359020227","ETOWAH","4","2055498210","VICTOR FICKER","PRESIDENT"
"101268","GADSEN BUSINESS COLLEGE-ANNISTON BRANCH","ANNISTON","AL","1","5","","","","9","3","3","2","2","","3","1","1","P. O. BOX 1575","362021575","","3","2052377517","RICHARD E BEECHAM","PRESIDENT"
"101277","GAITHER SCHOOL OF HAIR FASHION","ALBERTVILLE","AL","1","5","","","","9","3","3","2","2","","3","1","1","SAND MOUNTAIN SHOPPING CENTER","35950","MARSHALL","","2058786430","JOYCE DUNCAN","DIRECTOR"
"101286","GEORGE C WALLACE STATE COMMUNITY COLLEGE-DOTHAN","DOTHAN","AL","1","5","1018","","","4","2","1","1","4","","2","1","1","","363039234","DALE COUNTY","3","2059833521","LARRY BEATY","PRESIDENT"
"101295","GEORGE C WALLACE STATE COMMUNITY COL-HANCEVILLE","HANCEVILLE","AL","1","5","7871","","","4","2","1","1","4","","2","1","1","801 MAIN ST, NW","35077","CULLMAN","4","2053526403","JAMES BAILEY","PRESIDENT"
"101301","G C WALLACE STATE COMMUNITY COLLEGE","SELMA","AL","1","5","9980","","","4","2","1","1","3","","2","1","1","P O DRAWER 1049","367021049","DALLAS","4","2058752634","DR JULIUS R BROWN","PRESIDENT"
"101310","GOLD DUST FLYING SERVICE","TALLADEGA","AL","1","5","","","","9","3","3","2","1","","3","1","1","P O DRAWER 57 TALLADEGA AIRPORT","35160","","3","2053620895","JEAN WAGNON","CERTIFYNG OFCR"
"101338","ALABAMA COLLEGE OF COSMETOLOGY","ATHENS","AL","1","5","","","","9","3","3","2","2","","3","1","1","1105 SE JEFFERSON ST.","35611","LIMESTONE","5","2052324878","LINDA R. AKBAY","OWNER, INSTRUC"
"101347","HARRY M AYERS STATE TECHNICAL COLLEGE","ANNISTON","AL","1","5","5705","","","4","2","1","1","4","","2","1","1","1801 COLEMAN RD PO BOX 1647","36202","CALHOUN","3","2048314540","PIERCE CAIN","PRESIDENT"
"101365","HERZING INSTITUTES OF ALABAMA","BIRMINGHAM","AL","1","5","","","","6","2","3","2","4","","2","1","1","1218 S 20TH STREET","35205","","","2059338536","",""
"101383","HOBSON STATE TECHNICAL COLLEGE","THOMASVILLE","AL","1","5","5701","","","4","2","1","1","4","","2","1","1","HWY 43 SOUTH, P.O.BOX 489","36784","CLARKE","1","2056369642","DR. JOHN JOHNSON","PRESIDENT"
"101392","HOLLAND SCHOOL FOR JEWELERS","SELMA","AL","1","5","","","","9","3","3","2","1","","3","1","1","PO BOX 882 1034 DAWSON AVE","36701","DALLAS","","2058744252","HOMER L HOLLAND","DEAN"
"101417","HUEYTOWN BEAUTY SCHOOL","HUEYTOWN","AL","1","5","","","","9","3","3","2","1","","3","1","1","117 HUEYTOWN PLAZA","35023","JEFFERSON","","2054915570","MARY C. DUMAS","OWNER"
"101426","PHILLIPS JUNIOR COLLEGE","MOBILE","AL","1","5","","","","6","2","3","2","3","","2","1","1","3446 DEMETROPOLIS RD","36693","MOBILE","","2056669696","JAY LAMBETH","DIRECTOR"
"101435","HUNTINGDON COLLEGE","MONTGOMERY","AL","1","5","1019","","","2","1","2","6","5","","1","1","1","1500 EAST FAIRVIEW","361062148","","2","2052650511","ALLEN JACKSON","PRESIDENT"
"101444","HUNTSVILLE HOSPITAL SCHOOL OF RADIOLOGIC TECHN","HUNTSVILLE","AL","1","5","","","","5","2","2","3","4","","2","1","1","101 SIVLEY RD","35801","MADISON","5","2055338928","EDWARD BOSTON","ADMINISTRATOR"
"101453","INTERNATIONAL BIBLE COLLEGE","FLORENCE","AL","1","5","21997","","","2","1","2","7","5","","1","1","1","P O BOX IBC","35630","LAUDERDALE","5","2057666610","DENNIS JONES","PRESIDENT"
"101462","J F DRAKE STATE TECHNICAL COLLEGE","HUNTSVILLE","AL","1","5","5260","","","4","2","1","1","3","","2","1","1","3421 MERIDIAN ST N","35811","","5","2055398161","JOHNNY HARRIS","PRESIDENT"
"101471","J F INGRAM STATE TECHNICAL COLLEGE","DEATSVILLE","AL","1","5","","","","4","2","1","1","4","","2","1","1","P O BOX 209","36022","ELMORE","3","2052855177","MURRY C GREGG","PRESIDENT"
"101480","JACKSONVILLE STATE UNIVERSITY","JACKSONVILLE","AL","1","5","1020","","","1","1","1","1","8","","1","1","1","NORTH PELHAM RD","36265","JACKSONVILLE","3","2057825781","HAROLD J. MCGEE","PRESIDENT"
"101499","JEFFERSON DAVIS COMMUNITY COLLEGE-BREWTON CAMPUS","BREWTON","AL","1","5","1021","","","4","2","1","1","3","","2","1","1","ALCO DRIVE","36426","ESCAMBIA","3","2058674832","SANDRA K MCLEOD","PRES"
"101505","JEFFERSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","1","5","1022","","","4","2","1","1","3","","2","1","1","2601 CARSON ROAD","352153098","JEFFERSON COUNTY","6","2058531200","JUDY MERRITT","PRESIDENT"
"101514","JOHN C CALHOUN STATE COMMUNITY COLLEGE","DECATUR","AL","1","5","1013","","","4","2","1","1","4","","2","1","1","P O 2216","356092216","LIMESTONE","5","2053533102","JACKSON N. SASSER","INTERIM PRES"
"101523","JOHN M PATTERSON STATE TECHNICAL COLLEGE","MONTGOMERY","AL","1","5","5693","","","4","2","1","1","4","","2","1","1","3920 TROY HIGHWAY","36116","MONTGOMERY","2","2052881080","J TAUNTON","PRESIDENT"
"101532","JOHNSONS BEAUTY SCHOOL","HUNTSVILLE","AL","1","5","","","","9","3","3","2","2","","3","1","1","916 MERIDIAN STREET N","35801","","5","2055391322","",""
"101541","JUDSON COLLEGE","MARION","AL","1","5","1023","","","2","1","2","6","5","","1","1","1","BIBB ST PO BOX 120","36756","PERRY","7","2056836161","DAVID E POTTS","PRESIDENT"
"101550","KEEVIL-CURL SCHOOL OF BEAUTY INC","GADSDEN","AL","1","5","","","","9","3","3","2","2","","3","1","1","305 S FOURTH ST","35901","ETOWAH","4","2055471688","EDSEL CURL","PRESIDENT"
"101569","LAWSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","1","5","1059","","","4","2","1","1","4","","2","1","1","3060 WILSON ROAD S W","35221","JEFFERSON","6","2059252515","PERRY W WARD","PRESIDENT"
"101578","LEEDS BEAUTY SCHOOL","LEEDS","AL","1","5","","","","9","3","3","2","2","","3","1","1","820 EAST PARKWAY DRIVE","35094","JEFFERSON","","2056992807","WYNELL JONES","OWNER"
"101587","LIVINGSTON UNIVERSITY","LIVINGSTON","AL","1","5","1024","","","1","1","1","1","8","","1","1","1","STATION ONE","35470","SUMTER COUNTY","7","2056529661","ASA GREEN","PRESIDENT"
"101602","LURLEEN B WALLACE STATE JUNIOR COLLEGE","ANDALUSIA","AL","1","5","8988","","","4","2","1","1","3","","2","1","1","P O DRAWER 1418","36420","","2","2052226591","JAMES D KRUDOP","ACTG PRES"
"101611","M L CUMMINS SCHOOL OF NURSING ANESTHESIA","DOTHAN","AL","1","5","","","","4","2","1","1","4","","2","1","1","S E AL MED CTR PO DRAWER 6987","36302","HOUSTON","2","2057938105","JIM BLACKMON","ADMINISTRATOR"
"101639","MANAGEMENT INSTITUTE","FULTONDALE","AL","1","5","","","","9","3","3","2","1","","3","1","1","1712 DECATUR HWAY PO BOX 564","35068","","6","2058417675","MARENE P FASSINA","PRESIDENT"
"101648","MARION MILITARY INSTITUTE","MARION","AL","1","5","1026","","","5","2","2","3","3","","2","1","1","WASHINGTON ST","36756","PERRY","7","2056836171","JOSEPH L FANT III","PRESIDENT"
"101657","MASTERS INSTITUTE OF COSMETOLOGY","HUNTSVILLE","AL","1","5","","","","9","3","3","2","1","","3","1","1","8215 STEPHANIE ST","35802","MADISON","5","2058818587","GARY BRAY","DIRECTOR"
"101675","MILES COLLEGE","BIRMINGHAM","AL","1","5","1028","","","2","1","2","6","5","","1","1","1","PO BOX 3800","35208","JEFFERSON","6","2059232771","ALBERT J H SLOAN II","PRESIDENT"
"101684","MOBILE ACADEMY OF HAIR DESIGN","MOBILE","AL","1","5","","","","9","3","3","2","1","","3","1","1","4467 OLD SHELL RD","36608","MOBILE","","2053440685","JO TANNER","PRESIDENT"
"101693","MOBILE COLLEGE","MOBILE","AL","1","5","1029","","","2","1","2","6","7","","1","1","1","P O BOX 13220","36613","MOBILE","1","","MICHAEL MAGNOLI","PRESIDENT"
"101709","UNIVERSITY OF MONTEVALLO","MONTEVALLO","AL","1","5","1004","","","1","1","1","1","7","","1","1","1","STATION 6001","35115","SHELBY","7","2056656155","JOHN W STEWART","PRES"
"101736","SHOALS COMMUNITY COLLEGE","MUSCLE SHOALS","AL","1","5","5697","","","4","2","1","1","4","","2","1","1","PO BOX 2545","35662","COLBERT","5","2053812813","LARRY MCCOY","PRESIDENT"
"101772","SOUTHEASTERN BUSINESS ACADEMY","DECATUR","AL","1","5","","","","6","2","3","2","3","","2","1","1","224 2ND AVE SE","35601","MORGAN","5","2053536243","KIM RAPER","DIRECTOR"
"101781","NATIONAL CAREER COLLEGE","HUNTSVILLE","AL","1","5","","","","6","2","3","2","3","","2","1","1","1309 NORTH MEMEORIAL PKY","35801","MADISON","5","2055394100","BOB GUTHRIE","DIRECTOR"
"101790","NATIONAL CAREER COLLEGE","TUSCALOOSA","AL","1","5","","","","9","3","3","2","2","","3","1","1","1351 MCFARLAND BLVD E","35405","TUSCALOOSA","7","2057589091","DAVID TRACY","DIRECTOR"
"101824","NEELY BUSINESS COLLEGE","MOBILE","AL","1","5","","","","9","3","3","2","1","","3","1","1","1807 OLD SHELL ROAD","36607","","","2054767665","",""
"101833","NEW WORLD COLLEGE","GADSDEN","AL","1","5","","","","6","2","3","2","3","","2","1","1","434 BROAD STREET","35901","ETOWAH COUNTY","4","2055431060","MARY MERTIN","EXECUTIVE DIR"
"101851","NEW WORLD COLLEGE OF BUSINESS","ANNISTON","AL","1","5","","","","9","3","3","2","2","","3","1","1","PO BOX 2287","36201","","3","2052367578","BARBARA TURNER","PRESIDENT"
"101860","NORTH ALABAMA COLLEGE OF COMMERCE, INC","HUNTSVILLE","AL","1","5","","","","9","3","3","2","2","","3","1","1","2820 HOLMES AVENUE","358163900","MADISON","5","2055390428","LLOYD A JOHNSON","PRESIDENT"
"101879","UNIVERSITY OF NORTH ALABAMA","FLORENCE","AL","1","5","1016","","","1","1","1","1","7","","1","1","1","UNIVERSITY STATION","35632","LAUDERDALE","5","2057604100","ROBERT L POTTS","PRESIDENT"
"101897","NORTHEAST ALABAMA STATE JUNIOR COLLEGE","RAINSVILLE","AL","1","5","1031","","","4","2","1","1","3","","2","1","1","HIGHWAY 35","35986","DEKALB COUNTY","4","2056384418","CHARLES PENDLEY","PRESIDENT"
"101903","NORTHWEST ALABAMA COMMUNITY COLLEGE","PHIL CAMPBELL","AL","1","5","1032","","","4","2","1","1","3","","2","1","1","ROUTE 3 BOX 77","35581","FRANKLIN","4","2059935331","CHARLES W BRITNELL","PRESIDENT"
"101912","OAKWOOD COLLEGE","HUNTSVILLE","AL","1","5","1033","","","2","1","2","6","5","","1","1","1","OAKWOOD ROAD N W","35896","MADISON","5","2057267000","BENJAMIN REAVES","PRESIDENT"
"101921","OPELIKA STATE TECHNICAL COLLEGE","OPELIKA","AL","1","5","","","","4","2","1","1","3","","2","1","1","PO BOX 2268","368032268","LEE","3","2057456437","BOB BOOTHE","PRESIDENT"
"101949","PATRICK HENRY STATE JUNIOR COLLEGE","MONROEVILLE","AL","1","5","1034","","","4","2","1","1","3","","2","1","1","POST OFFICE BOX 2000","36460","","1","2055753156","JOHN A JOHNSON","PRESIDENT"
"101958","PRINCE INSTITUTE OF PROFESSIONAL STUDIES","MONTGOMERY","AL","1","5","22960","","","6","2","3","2","4","","2","1","1","6001 EAST SHIRLEY LANE","36117","MONTGOMERY","2","2052711670","SARA PRINCE","DIRECTOR"
"101967","RETS ELECTRONIC INSTITUTE","BIRMINGHAM","AL","1","5","21436","","","6","2","3","2","4","","2","1","1","2812 12TH AVENUE NORTH","35234","","6","2052517962","GENE SMYTHE","SCHOOL DIRECTOR"
"101985","RAY'S UNIVERSITY OF BEAUTY","FLORENCE","AL","1","5","","","","9","3","3","2","2","","3","1","1","412 S COURT STREET","35630","","5","2057645411","",""
"101994","REID STATE TECHNICAL COLLEGE","EVERGREEN","AL","1","5","5692","","","4","2","1","1","3","","2","1","1","PO BOX 588","36401","CONECUH","2","2055781313","WILEY SALTER","PRESIDENT"
"102003","RHONES BEAUTY COLLEGE","MOBILE","AL","1","5","","","","9","3","3","2","1","","3","1","1","2056 STONE","36617","MOBILE","","2054781446","BARBARA RACKLEY","PRESIDENT"
"102012","RILEY COLLEGE","DOTHAN","AL","1","5","","","","9","3","3","2","2","","3","1","1","4129 ROSS CLARK CIRCLE","36303","HOUSTON COUNTY-DOTHAN","2","2057932373","PEGGY RICE","PRESIDENT"
"102030","BISHOP STATE COMMUNITY COLLEGE","MOBILE","AL","1","5","1030","","","4","2","1","1","4","","2","1","1","351 NORTH BROAD STREET","366035898","MOBILE","1","2056906416","YVONNE KENNEDY","PRESIDENT"
"102049","SAMFORD UNIVERSITY","BIRMINGHAM","AL","1","5","1036","","","2","1","2","6","8","1","1","1","1","800 LAKESHORE DRIVE","35229","JEFFERSON","6","2058702011","THOMAS E CORTS","PRESIDENT"
"102058","SELMA UNIVERSITY","SELMA","AL","1","5","1037","","","2","1","2","7","5","","1","1","1","1501 LAPSLEY STREET","36701","DALLAS","7","2058722533","B W DAWSON","PRES"
"102067","SHELTON STATE COMMUNITY COLLEGE","TUSCALOOSA","AL","1","5","5691","","","4","2","1","1","4","","2","1","1","1301 15TH STREET, EAST","35404","TUSCALOOSA","7","2057591541","THOMAS UMPHREY","PRESIDENT"
"102076","SNEAD STATE JUNIOR COLLEGE","BOAZ","AL","1","5","1038","","","4","2","1","1","4","","2","1","1","220 WALNUT STREET","35957","MARSHALL","4","2055935120","WILLIAM OSBORN","PRESIDENT"
"102085","ALABAMA BEAUTY COLLEGE","MOBILE","AL","1","5","","","","9","3","3","2","2","","3","1","1","3488 SPRINGHILL AVE.","36608","MOBILE","1","2053434247","DALE JOHNSON","PRESIDENT"
"102094","UNIVERSITY OF SOUTH ALABAMA","MOBILE","AL","1","5","1057","","","1","1","1","1","9","1","1","1","1","230 ADMINISTRATION BLDG.","36688","MOBILE","1","2054606011","FREDERICK WHIDDON","PRESIDENT"
"102100","UNIVERSITY OF SOUTH ALABAMA-BALDWIN","FAIRHOPE","AL","1","5","901057","","","1","1","1","1","7","","1","1","1","10 N SUMMIT","36532","BALDWIN","1","2059288133","DR. PHILIP NORRIS","DIRECTOR"
"102119","SOUTHEASTERN INSTITUTE OF TECHNOLOGY","HUNTSVILLE","AL","1","5","","","","2","1","2","3","9","","1","3","3","200 SPARKMAN DR, PO BOX 1485","35807","MADISON","5","2058379769","RAYMOND WATSON JR","PRESIDENT"
"102128","RICE COLLEGE","BIRMINGHAM","AL","1","5","","","","9","3","3","2","2","","3","1","1","2116 BESSEMER RD","35208","","","2057836700","",""
"102155","PHILLIPS JUNIOR COLLEGE","MOUNTAIN BROOK","AL","1","5","9435","","","6","2","3","2","4","","2","1","1","115 OFFICE PARK DRIVE","35223","JEFFERSON","6","2058795100","DIANE S. CLOWER","PRESIDENT"
"102164","PHILLIPS JUNIOR COLLEGE","HUNTSVILLE","AL","1","5","909435","","","6","2","3","2","3","","2","1","1","4900 CORPORATE DRIVE SUITE E","35805","MADISON","5","2054303377","DOUGLAS B. BRILL","DIR"
"102216","SOUTHERN VOCATIONAL COLLEGE","TUSKEGEE","AL","1","5","","","","5","2","2","3","4","","2","1","1","205 S MAIN ST/PO BOX 688","36083","","3","2057275220","",""
"102225","SOUTHWEST STATE TECHNICAL COLLEGE","MOBILE","AL","1","5","5247","","","4","2","1","1","4","","2","1","1","925 DAUPHIN ISLAND PKWY","366053299","MOBILE","1","2054797476","DR. YVONNE KENNEDY","PRES"
"102234","SPRING HILL COLLEGE","MOBILE","AL","1","5","1041","","","2","1","2","4","7","","1","1","1","4000 DAUPHIN STREET","36608","MOBILE","1","2054602011","","PRESIDENT"
"102243","HUMANA HOSP-MONTGOMERY SCH OF RAD TECH","MONTGOMERY","AL","1","5","","","","9","3","3","2","2","","3","1","1","301 S RIPLEY ST","361010311","MONTGOMERY","2","2052698600","P L ASHBURY","CEO"
"102261","SOUTHEASTERN BIBLE COLLEGE","BIRMINGHAM","AL","1","5","1039","","","2","1","2","3","7","","1","1","1","3001 HWY 280 E","352434181","JEFFERSON","6","2059690880","JOHN D TALLEY","PRESIDENT"
"102270","STILLMAN COLLEGE","TUSCALOOSA","AL","1","5","1044","","","2","1","2","6","5","","1","1","1","P O DRAWER 1430","35403","TUSCALOOSA","7","2053494240","CORDELL WYNN","PRESIDENT"
"102289","COOSA VALLEY MEDICAL CENTER SCHOOL OF NURSING","SYLACAUGA","AL","1","5","","","","5","2","2","3","4","","2","1","1","315 W HICKORY STREET","35150","TALLADEGA","4","2052495716","STEVE JOHNSON","ADMINISTRATOR"
