unitid,"instnm","addr","city","stabbr","zip",fips,obereg,"chfnm","chftitle","gentele","fintele","admtele","ein","duns","opeid",opeflag,"webaddr",sector,iclevel,control,hloffer,ugoffer,groffer,fpoffer,hdegoffr,deggrant,hbcu,hospital,medical,tribal,carnegie,locale,openpubl,"act",newid,deathyr,"closedat",cyactive,postsec,pseflag,pset4flg,rptmth,fte,enrtot,instcat,tenursys
"101347","GADSDEN STATE COMMUNITY COLLEGE-AYERS CAMPUS","1801 COLEMAN ROAD","ANNISTON","AL","36207","1","5","Dr. Renee Culverhouse","PRESIDENT","2568355400","2568355467","2568355455","630501425","077649259","00101706","1","www.gadsdenstate.edu","4","2","1","3","1","2","2","40","1","2","2","-2","2","40","2","1","C","101240","2004","2004","3","1","3","9","1","","","-2","-1"
"101365","HERZING COLLEGE","280 WEST VALLEY AVE","BIRMINGHAM","AL","35209","1","5","DONALD E LEWIS","PRESIDENT","2059162800","2059162809","2059162800","391040865","621426535","01019300","1","herzing.edu/birmingham","3","1","3","5","1","2","2","30","1","2","2","2","2","40","1","1","A","-2","-2","-2","1","1","1","1","1","293","387","3","0"
"101435","HUNTINGDON COLLEGE","1500 EAST FAIRVIEW AVENUE","MONTGOMERY","AL","36106-2148","1","5","J. CAMERON WEST","PRESIDENT","3348334222","3348334519","3348334497","630288841","082145608","00101900","1","www.huntingdon.edu","2","1","2","5","1","2","2","30","1","2","2","2","2","31","2","1","A","-2","-2","-2","1","1","1","1","1","693","731","2","1"
"101453","HERITAGE CHRISTIAN UNIVERSITY","3625 HELTON DR","FLORENCE","AL","35630-9977","1","5","DENNIS JONES","PRESIDENT","2567666610","2567666610224","2567666610223","237013287","077641306","02199700","1","www.hcu.edu","2","1","2","7","1","1","2","20","1","2","2","2","2","51","2","1","A","-2","-2","-2","1","1","1","1","1","76","122","2","0"
"101462","J F DRAKE STATE TECHNICAL COLLEGE","3421 MERIDIAN ST N","HUNTSVILLE","AL","35811-1544","1","5","HELEN T. MCALPINE","PRESIDENT","2565398161100","2565513123112","2565513109109","631002142","039526595","00526000","1","www.drakestate.edu","4","2","1","3","1","2","2","40","1","1","2","2","2","40","2","1","A","-2","-2","-2","1","1","1","1","1","585","782","4","1"
"101471","J F INGRAM STATE TECHNICAL COLLEGE","5375 INGRAM RD","DEATSVILLE","AL","36022","1","5","J. DOUGLAS CHAMBERS","PRESIDENT","3342855177","3342855177","3342855177","630506768","-1","03002500","5","-1","4","2","1","3","1","2","2","40","1","2","2","2","2","40","4","0","A","-2","-2","-2","1","1","2","6","1","522","634","4","1"
"101480","JACKSONVILLE STATE UNIVERSITY","700 PELHAM ROAD NORTH","JACKSONVILLE","AL","36265","1","5","WILLIAM MEEHAN","PRESIDENT","2567825781","2567825006","2567825268","636001099","079107165","00102000","1","www.jsu.edu/","1","1","1","8","1","1","2","20","1","2","2","2","2","21","4","1","A","-2","-2","-2","1","1","1","1","1","7249","8930","2","1"
"101499","JEFFERSON DAVIS COMMUNITY COLLEGE","220 ALCO DR","BREWTON","AL","36426","1","5","Dr. Susan McBride","President","2518674832","2518091516","2518091590","630502384","085775450","00102100","1","www.jdcc.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","40","6","1","A","-2","-2","-2","1","1","1","1","1","1005","1325","4","1"
"101505","JEFFERSON STATE COMMUNITY COLLEGE","2601 CARSON RD","BIRMINGHAM","AL","35215-3098","1","5","JUDY MERRITT","PRESIDENT","2058531200","20585312007704","20585312007704","630501357","075459529","00102200","1","www.jeffstateonline.com","4","2","1","3","1","2","2","40","1","2","2","2","2","40","1","1","A","-2","-2","-2","1","1","1","1","1","4309","7007","4","1"
"101514","JOHN C CALHOUN STATE COMMUNITY COLLEGE","6250 U S Highway 31 N","Tanner","AL","35671","1","5","Dr. Marilyn C. Beck","President","2563062500","2563062628","2563062593","630505871","075464107","00101300","1","www.calhoun.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","40","2","1","A","-2","-2","-2","1","1","1","1","1","5407","8879","4","1"
"101523","H COUNCILL TRENHOLM STATE TECHNICAL COLLEGE-PATTERSON CAMPUS","3920 TROY HWY","MONTGOMERY","AL","36116-2699","1","5","Dr. Anthony L. Molina","PRESIDENT","3344204200","3344204321","3344204307","636014302","091403642","00573401","1","www.trenholmtech.cc.al.us","4","2","1","3","1","2","2","40","1","2","2","-2","2","40","2","1","C","102313","2004","-2","3","1","3","9","1","","","-2","-1"
"101541","JUDSON COLLEGE","302 BIBB ST","MARION","AL","36756","1","5","DAVID E POTTS","PRESIDENT","3346835100","3346835157","3346835110","630288850","078958741","00102300","1","www.judson.edu","2","1","2","5","1","2","2","30","1","2","2","2","2","31","6","1","A","-2","-2","-2","1","1","1","1","1","321","360","2","1"
"101569","LAWSON STATE COMMUNITY COLLEGE","3060 WILSON RD SW","BIRMINGHAM","AL","35221-1717","1","5","PERRY W WARD","PRESIDENT","2059252515","2059296391","2059296309","630641064","067109926","00105900","1","www.lawsonstate.edu","4","2","1","3","1","2","2","40","1","1","2","2","2","40","1","1","A","-2","-2","-2","1","1","1","1","1","1769","2322","4","1"
"101587","UNIVERSITY OF WEST ALABAMA","STATION ONE","LIVINGSTON","AL","35470","1","5","Dr. Richard Holland","PRESIDENT","2056523400","2056523576","2056523578","636001100","968832394","00102400","1","www.uwa.edu","1","1","1","7","1","1","2","20","1","2","2","2","2","21","6","1","A","-2","-2","-2","1","1","1","1","1","2162","2670","2","1"
"101602","LURLEEN B WALLACE COMMUNITY COLLEGE","1000 Dannelly Blvd.","ANDALUSIA","AL","36420-1418","1","5","DR. EDWARD MEADOWS","PRESIDENT","3342226591","3348812272","3348812271","630576487","039570254","00898800","1","lbwcc..edu","4","2","1","3","1","2","2","40","1","2","2","2","2","40","6","1","A","-2","-2","-2","1","1","1","1","1","1129","1466","4","1"
"101648","MARION MILITARY INSTITUTE","1101 WASHINGTON ST","MARION","AL","36756","1","5","COL James H. Benson","PRESIDENT","3346832303","3346832309","3346832305","630288853","072092182","00102600","1","www.marionmilitary.edu","5","2","2","3","1","2","2","40","1","2","2","2","2","40","6","1","A","-2","-2","-2","1","1","1","1","1","194","194","4","1"
"101675","MILES COLLEGE","5500 MYRON MASSEY BLVD","FAIRFIELD","AL","35064","1","5","ALBERT J H SLOAN II","PRESIDENT","2059291000","2059291665","2059291656","630400608","075460758","00102800","1","www.miles.edu","2","1","2","5","1","2","2","30","1","1","2","2","2","32","3","1","A","-2","-2","-2","1","1","1","1","1","1645","1715","2","1"
"101693","UNIVERSITY OF MOBILE","5735 College Parkway Drive","MOBILE","AL","36663-0220","1","5","MARK FOLEY","PRESIDENT","2516755990","2514422252","2514422220","630417508","082061185","00102900","1","www.umobile.edu","2","1","2","7","1","1","2","20","1","2","2","2","2","21","2","1","A","-2","-2","-2","1","1","1","1","1","1496","1726","2","1"
"101709","UNIVERSITY OF MONTEVALLO","STATION 6001","MONTEVALLO","AL","35115","1","5","ROBERT McCHESNEY","PRESIDENT","2056656155","2056656050","2056656030","636000720","077642619","00100400","1","www.montevallo.edu","1","1","1","8","1","1","2","20","1","2","2","2","2","21","3","1","A","-2","-2","-2","1","1","1","1","1","2729","3061","2","1"
"101736","NORTHWEST SHOALS COMMUNITY COLLEGE-MUSCLE SHOALS","800 GEORGE WALLACE BLVD","MUSCLE SHOALS","AL","35661","1","5","HUMPHREY LEE","PRESIDENT","2563315200","2563315368","2563315263","630513822","018777714","00569700","1","www.nwscc.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","40","4","1","A","-2","-2","-2","1","1","1","1","1","3031","4338","4","1"
"101879","UNIVERSITY OF NORTH ALABAMA","One Harrison Plaza","Florence","AL","35632-0001","1","5","G. Garry Warren","Interim PRESIDENT","2567654100","2567654278","2567654318","636000893","063659577","00101600","1","www.una.edu","1","1","1","8","1","1","2","20","1","2","2","2","2","21","2","1","A","-2","-2","-2","1","1","1","1","1","5028","5971","2","1"
"101897","NORTHEAST ALABAMA COMMUNITY COLLEGE","HWY 35","RAINSVILLE","AL","35986","1","5","J. DAVID CAMPBELL","PRESIDENT","2056384418222","2056384418227","2056384418222","630504999","082056763","00103100","1","www.nacc.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","40","6","1","A","-2","-2","-2","1","1","1","1","1","1165","2005","4","1"
"101912","OAKWOOD COLLEGE","7000 ADVENTIST BLVD NW","HUNTSVILLE","AL","35896","1","5","DELBERT W BAKER","PRESIDENT","2567267000","8008245321","8008245312","-1","072095326","00103300","1","www.oakwood.edu","2","1","2","5","1","2","2","30","1","1","2","2","2","32","4","1","A","-2","-2","-2","1","1","1","1","1","1637","1753","2","1"
"101949","ALABAMA SOUTHERN COMMUNITY COLLEGE","2800 SOUTH ALABAMA AVENUE","MONROEVILLE","AL","36460","1","5","JOHN A JOHNSON","PRESIDENT","2515753156600","2515753156256","2515753156222","630503016","081384315","00103400","1","www.ascc.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","40","6","1","A","-2","-2","-2","1","1","1","1","1","1013","1278","4","1"
"101958","PRINCE INSTITUTE OF PROFESSIONAL STUDIES INC","7735 ATLANTA HWY","MONTGOMERY","AL","36117-4231","1","5","Patricia L. Hill","President","3342711670","3312711670","3342711670","630710076","163355274","02296000","1","princeinstitute.com","6","2","3","3","1","2","2","40","1","2","2","2","2","40","2","1","A","-2","-2","-2","1","1","1","1","1","43","59","4","0"
"101994","REID STATE TECHNICAL COLLEGE","I65 AND HWY 83","EVERGREEN","AL","36401","1","5","DR DOUGLAS M LITTLES","PRESIDENT","2515781313108","2515781313120","2515781313108","630510731","625181912","00569200","1","www.rstc.cc.al.us","4","2","1","3","1","2","2","40","1","2","2","2","2","40","6","1","A","-2","-2","-2","1","1","1","1","1","465","616","4","1"
"102030","BISHOP STATE COMMUNITY COLLEGE","351 NORTH BROAD STREET","MOBILE","AL","36603-5898","1","5","YVONNE KENNEDY","PRESIDENT","2516906416","2516906458","2516906402","630507477","020872420","00103000","1","www.bishop.edu","4","2","1","3","1","2","2","40","1","1","2","2","2","40","2","1","A","-2","-2","-2","1","1","1","1","1","3230","4650","4","1"
"102049","SAMFORD UNIVERSITY","800 LAKESHORE DR","BIRMINGHAM","AL","35229-2240","1","5","THOMAS E CORTS","PRESIDENT","2057262011","2057262905","2057263673","630312914","075455410","00103600","1","www.samford.edu","2","1","2","9","1","1","1","11","1","2","2","2","2","21","3","1","A","-2","-2","-2","1","1","1","1","1","4137","4416","2","1"
"102067","SHELTON STATE COMMUNITY COLLEGE","9500 OLD GREENSBORO RD","TUSCALOOSA","AL","35405-8522","1","5","Dr. Rick Rogers","PRESIDENT","2053912347","2053912376","2053912214","636002149","159134618","00569100","1","www.sheltonstate.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","40","2","1","A","-2","-2","-2","1","1","1","1","1","4042","5445","4","1"
"102076","SNEAD STATE COMMUNITY COLLEGE","220 North Walnut Street","BOAZ","AL","35957-0734","1","5","Devin Stephenson","PRESIDENT","2565935120","2568404127","2568404107","630521412","038268801","00103800","1","www.snead.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","40","6","1","A","-2","-2","-2","1","1","1","1","1","1455","1938","4","1"
"102094","UNIVERSITY OF SOUTH ALABAMA","307 N UNIVERSITY BLVD","MOBILE","AL","36688-0002","1","5","V GORDON MOULTON","PRESIDENT","3344606101","3344606231","3344606141","630477348","172750234","00105700","1","www.southalabama.edu","1","1","1","9","1","1","1","11","1","2","2","1","2","16","2","1","A","-2","-2","-2","1","1","1","1","1","11102","13340","2","1"
"102216","SOUTHERN COMMUNITY COLLEGE","205 S MAIN ST","TUSKEGEE","AL","36083-0688","1","5","LAWRENCE F HAYGOOD JR","PRESIDENT","33472752203022","33472752203008","3347275220","630589323","008607038","01123700","1","www.SOUTHERNCOMMUNITYCOLLEGE.ORG","5","2","2","4","1","2","2","0","2","2","2","2","2","-3","6","1","A","-2","-2","-2","1","1","1","1","1","77","87","6","0"
"102234","SPRING HILL COLLEGE","4000 DAUPHIN ST","MOBILE","AL","36608-1791","1","5","GREGORY F LUCEY, S.J.","PRESIDENT","2513804000","2513803460","2513803030","630302179","072627243","00104100","1","www.shc.edu","2","1","2","7","1","1","2","20","1","2","2","2","2","21","2","1","A","-2","-2","-2","1","1","1","1","1","1220","1427","2","1"
"102261","SOUTHEASTERN BIBLE COLLEGE","2545 Valleydale Road","BIRMINGHAM","AL","35244-2083","1","5","Dr. Ron Rushing","Vice President of Academics","2059709200","2059709215","2059709209","630338081","079102406","02270400","1","www.sebc.edu","2","1","2","5","1","2","2","30","1","2","2","2","2","51","3","1","A","-2","-2","-2","1","1","1","1","1","223","256","2","0"
"102270","STILLMAN COLLEGE","3601 Stillman Boulevard","TUSCALOOSA","AL","35403","1","5","ERNEST MCNEALEY, Ph.D.","PRESIDENT","2053494240","2053668844","2053668817","630315935","075460931","00104400","1","www.stillman.edu","2","1","2","5","1","2","2","30","1","1","2","2","2","32","2","1","A","-2","-2","-2","1","1","1","1","1","1072","1116","2","1"
"102298","TALLADEGA COLLEGE","627 W BATTLE ST","TALLADEGA","AL","35160","1","5","Mr. James Thornton","Chief Executive Officer","2563620206","2567616341","2567616235","630288870","079114195","00104600","1","www.talladega.edu","2","1","2","5","1","2","2","30","1","1","2","2","2","31","6","1","A","-2","-2","-2","1","1","1","1","1","333","362","2","1"
"102313","H COUNCILL TRENHOLM STATE TECHNICAL COLLEGE","1225 AIR BASE BLVD","MONTGOMERY","AL","36108-3199","1","5","Dr. Anthony L. Molina","President","3344204200","3344204321","3344204307","630510750","119842276","00573400","1","www.trenholmtech.cc.al.us","4","2","1","3","1","2","2","40","1","1","2","2","2","40","2","1","A","-2","-2","-2","1","1","1","1","1","1043","1522","4","1"
"102322","TROY STATE UNIVERSITY DOTHAN","501 UNIVERSITY DR","DOTHAN","AL","36304","1","5","Barbara Alford","PRESIDENT","3349836556","3349836556255","3349836556333","636001102","614667301","00104800","1","www.tsud.edu","1","1","1","8","1","1","2","20","1","2","2","2","2","21","2","1","A","-2","-2","-2","1","1","1","1","1","1255","1894","2","1"
"102359","TROY STATE UNIVERSITY-MONTGOMERY","231 MONTGOMERY ST","MONTGOMERY","AL","36103-4419","1","5","CAMERON MARTINDALE","President","3342419506","3342419520","3342419508","636001102","159135334","00104900","1","www.tsum.edu","1","1","1","8","1","1","2","20","1","2","2","2","2","21","2","1","A","-2","-2","-2","1","1","1","1","1","2652","4312","2","1"
"102368","TROY STATE UNIVERSITY-MAIN CAMPUS","UNIVERSITY AVE","TROY","AL","36082-0001","1","5","DR. JACK HAWKINS JR","CHANCELLOR","3346703100","3346703186","3346703179","636001102","072090939","00104700","1","www.troyst.edu","1","1","1","8","1","1","2","20","1","2","2","2","2","21","6","1","A","-2","-2","-2","1","1","1","1","1","15451","20855","2","1"
"102377","TUSKEGEE UNIVERSITY","Kresge Center, 3rd Floor","TUSKEGEE","AL","36088-1920","1","5","BENJAMIN F PAYTON","PRESIDENT","3347278011","3347278212","3347278500","-1","128214178","00105000","1","www.tuskegee.edu","2","1","2","9","1","1","1","11","1","1","2","1","2","21","6","1","A","-2","-2","-2","1","1","1","1","1","2763","2869","2","1"
"102395","UNITED STATES SPORTS ACADEMY","ONE ACADEMY DR","DAPHNE","AL","36526-7055","1","5","THOMAS P ROSANDICH","PRESIDENT CEO","2516263303162","2516263303142","2516263303143","630771624","120903380","02170600","1","www.ussa.edu","2","1","2","9","1","1","2","10","1","2","2","2","2","59","4","1","A","-2","-2","-2","1","1","1","1","1","256","487","2","0"
"102429","BEVILL STATE COMMUNITY COLLEGE","101 STATE ST","SUMITON","AL","35148","1","5","HAROLD WADE","PRESIDENT","20564832715400","20564832715407","20564832715201","631102108","797414141","00573300","1","www.bscc.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","40","6","1","A","-2","-2","-2","1","1","1","1","1","2890","3989","4","1"
"102553","UNIVERSITY OF ALASKA ANCHORAGE","3211 PROVIDENCE DR","ANCHORAGE","AK","99508-8046","2","8","Elaine P. Maimon","CHANCELLOR","9077861480","9077861586","9077861480","926000147","932445893","01146200","1","www.uaa.alaska.edu","1","1","1","7","1","1","2","20","1","2","2","2","2","21","2","1","A","-2","-2","-2","1","1","1","1","1","10811","16261","2","1"
"102614","UNIVERSITY OF ALASKA FAIRBANKS","SIGNERS HALL","FAIRBANKS","AK","99775-7480","2","8","STEPHEN B. JONES","CHANCELLOR","9074747211","9074747256","9074747500","926000147","048679567","00106300","1","www.uaf.edu","1","1","1","9","1","1","2","10","1","2","2","2","2","16","5","1","A","-2","-2","-2","1","1","1","1","1","5987","8693","2","1"
"102632","UNIVERSITY OF ALASKA SOUTHEAST","11120 GLACIER HWY","JUNEAU","AK","99801","2","8","JOHN PUGH","CHANCELLOR","9074656457","9074656255","9074656350","926000147","021827050","00106500","1","www.uas.alaska.edu","1","1","1","7","1","1","2","20","1","2","2","2","2","21","5","1","A","-2","-2","-2","1","1","1","1","1","1923","3375","2","1"
"102669","ALASKA PACIFIC UNIVERSITY","4101 UNIVERSITY DR","ANCHORAGE","AK","99508","2","8","DOUGLAS M NORTH","PRESIDENT","9075611266","9075648342","9075648248","920023588","076637636","00106100","1","www.alaskapacific.edu","2","1","2","7","1","1","2","20","1","2","2","2","2","21","2","1","A","-2","-2","-2","1","1","1","1","1","575","805","2","0"
