unitid,"instnm","addr","city","stabbr","zip",fips,obereg,"chfnm","chftitle","gentele","fintele","admtele","ein","duns","opeid",opeflag,"webaddr",sector,iclevel,control,hloffer,ugoffer,groffer,fpoffer,hdegoffr,deggrant,hbcu,hospital,medical,tribal,locale,openpubl,"act",newid,deathyr,"closedat",cyactive,postsec,pseflag,pset4flg,rptmth,"ialias",instcat,ccbasic,ccipug,ccipgrad,ccugprof,ccenrprf,ccsizset,carnegie,tenursys,landgrnt,instsize
"100830","Auburn University-Montgomery","7440 East Drive","Montgomery","AL","36117-3596","1","5","John G. Veres III","Chancellor","3342443000","3342443571","3342443611","636000724","183862119","00831000","1","www.aum.edu","1","1","1","8","1","1","2","20","1","2","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","AUM|Auburn University Montgomery|Auburn University at Montgomery","2","18","13","6","6","4","12","21","1","2","3"
"100858","Auburn University Main Campus","","Auburn University","AL","36849","1","5","Edward R. Richardson","President","3348444000","3348444723","3348444080","636000724","066470972","00100900","1","www.auburn.edu","1","1","1","9","1","1","1","11","1","2","2","1","2","13","1","A","-2","-2","-2","1","1","1","1","1","","2","16","14","14","13","4","15","15","1","1","5"
"100919","Lawson State Community College-Bessemer Campus","1100 9th Ave SW","Bessemer","AL","35022","1","5","Dr. Perry Ward","President","2054286391","2054286391357","2054286391332","630496701","797414224","00105901","1","www.lawsonstate.edu","4","2","1","3","1","2","2","40","1","2","2","-2","2","21","1","C","101569","2006","5/31/06","3","1","3","9","-2","","-2","7","1","-1","2","1","2","40","-1","2","-1"
"100937","Birmingham Southern College","900 Arkadelphia Road","Birmingham","AL","35254","1","5","David Pollick","President","2052264600","2052264688","2052264696","630708730","067136580","00101200","1","www.bsc.edu","2","1","2","7","1","1","2","20","1","2","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","","2","21","7","7","12","3","11","31","1","2","2"
"101028","Chattahoochee Valley Community College","2602 College Dr","Phenix City","AL","36869","1","5","Dr. Laurel Blackwell","President","3342914900","3342914915","3342914929","630657380","079365656","01218200","1","www.cv.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","22","1","A","-2","-2","-2","1","1","1","1","1","CVCC","4","2","1","-1","2","1","2","40","1","2","2"
"101073","Concordia College","1804 Green St","Selma","AL","36701","1","5","Julius Jenkins","President","3348745700100","3348745700160","3348745700171","630389941","082053802","01055400","1","www.concordiaselma.edu","2","1","2","5","1","2","2","30","1","1","2","2","2","33","1","A","-2","-2","-2","1","1","1","1","1","","2","23","2","-1","10","2","7","33","1","2","1"
"101116","South University-Montgomery","5355 Vaughn Road","Montgomery","AL","36116-1120","1","5","Victor K Biebighauser","President","3343958800","3343958800","3343958800","630314610","082151614","01303906","1","southuniversity.edu","3","1","3","7","1","1","2","20","1","2","-2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","","3","23","2","-1","8","2","6","40","2","2","1"
"101143","Enterprise-Ozark Community College","600 Plaza Dr","Enterprise","AL","36330-1300","1","5","Stafford L Thompson","President","3343472623","3343472623","3343472623","630504851","556850964","00101500","1","www.eocc.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","","4","2","1","-1","3","1","2","40","1","2","2"
"101161","James H Faulkner State Community College","1900 US Hwy 31 S","Bay Minette","AL","36507-2698","1","5","Gary Branch","President","2515802100","2515802151","2515802111","630501805","081388811","00106000","1","www.faulknerstate.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","32","1","A","-2","-2","-2","1","1","1","1","1","","4","5","1","-1","3","1","3","40","1","2","2"
"101189","Faulkner University","5345 Atlanta Hwy","Montgomery","AL","36109-3378","1","5","Billy D Hilyer","President","3342725820","3343867195","3343867200","630329409","079109500","00100300","1","www.faulkner.edu","2","1","2","7","1","1","1","21","1","2","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","","2","22","16","10","8","4","9","32","1","2","2"
"101231","Gadsden Business College","3225 Rainbow Drive Suite 246","Rainbow City","AL","35906","1","5","Randy Kerr","President","2564422805","2564422805","2564422805","631150847","078979374","00446200","1","","9","3","3","1","1","2","2","0","2","2","-2","2","2","23","1","A","-2","-2","-2","1","1","1","1","2","","6","-3","-3","-3","-3","-3","-3","-3","2","2","1"
"101240","Gadsden State Community College","1001 George Wallace Dr","Gadsden","AL","35902-0227","1","5","Dr. Renee Culverhouse","President","2565498200","2565498266","2565498210","630501425","830976767","00101700","1","www.gadsdenstate.edu","4","2","1","3","1","2","2","40","1","1","2","2","2","13","1","A","-2","-2","-2","1","1","1","1","1","GSCC | Gadsden State | Gadsden Community College","4","3","1","-1","2","1","3","40","1","2","3"
"101286","George C Wallace Community College-Dothan","1141 Wallace Drive","Dothan","AL","36303-9234","1","5","Linda C Young","President","3349833521","3349833521","3349833521","630507618","128538170","00101800","1","www.wallace.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","13","1","A","-2","-2","-2","1","1","1","1","1","WALLACE DOTHAN| WCC","4","3","1","-1","2","1","3","40","1","2","2"
"101295","George C Wallace State Community College-Hanceville","801 Main St NW","Hanceville","AL","35077-2000","1","5","Vicki Hawsey","President","2563528000","2563528182","2563528238","630498828","039570619","00787100","1","www.wallacestate.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","Wallace State Community College| Wallace State - Hanceville","4","3","1","-1","3","1","3","40","1","2","3"
"101301","George C Wallace State Community College-Selma","3000 Earl Goodwin Parkway","Selma","AL","36703-2808","1","5","Dr. James M. Mitchell","President","3348769227","3348769296","3348769295","630600375","082152281","00569900","1","www.wccs.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","","4","3","1","-1","2","1","2","40","1","2","2"
"101365","Herzing College","280 West Valley Ave","Birmingham","AL","35209","1","5","Donald E Lewis","President","2059162800","2059162800","2059162800","391040865","621426535","01019300","1","herzing.edu/birmingham","3","1","3","5","1","2","2","30","1","2","-2","2","2","21","1","A","-2","-2","-2","1","1","1","1","1","","2","28","-2","-2","-2","2","-2","40","2","2","1"
"101435","Huntingdon College","1500 East Fairview Avenue","Montgomery","AL","36106-2148","1","5","J. Cameron West","President","3348334222","3348334519","3348334497","630288841","082145608","00101900","1","www.huntingdon.edu","2","1","2","5","1","2","2","30","1","2","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","","2","21","6","-1","10","2","8","31","1","2","1"
"101453","Heritage Christian University","3625 Helton Dr","Florence","AL","35630-9977","1","5","Dennis Jones","President","2567666610","2567666610","2567666610","237013287","077641306","02199700","1","www.hcu.edu","2","1","2","7","1","1","2","20","1","2","2","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","","2","24","-2","-2","-2","3","-2","51","2","2","1"
"101462","J F Drake State Technical College","3421 Meridian St N","Huntsville","AL","35811","1","5","Helen T. McAlpine","President","2565398161","2565513123","2565513109","631002142","039526595","00526000","1","www.drakestate.edu","4","2","1","3","1","2","2","40","1","1","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","","4","1","1","-1","3","1","2","40","1","2","1"
"101471","J F Ingram State Technical College","5375 Ingram Rd","Deatsville","AL","36022","1","5","J. Douglas Chambers","President","3342855177","3342855177","3342855177","630506768","","03002500","5","","4","2","1","3","1","2","2","40","1","2","2","2","2","42","0","A","-2","-2","-2","1","1","2","6","1","","4","1","1","-1","3","1","2","40","1","2","1"
"101480","Jacksonville State University","700 Pelham Road North","Jacksonville","AL","36265","1","5","William Meehan","President","2567825781","2567825006","2567825268","636001099","079107165","00102000","1","www.jsu.edu/","1","1","1","8","1","1","2","20","1","2","2","2","2","23","1","A","-2","-2","-2","1","1","1","1","1","","2","18","13","4","9","4","12","21","1","2","3"
"101499","Jefferson Davis Community College","220 Alco Dr","Brewton","AL","36426","1","5","Dr. Susan McBride","President","2518674832","2518091516","2518091590","630502384","085775450","00102100","1","www.jdcc.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","32","1","A","-2","-2","-2","1","1","1","1","1","","4","1","1","-1","3","1","2","40","1","2","2"
"101505","Jefferson State Community College","2601 Carson Rd","Birmingham","AL","35215-3098","1","5","Judy Merritt","President","2058531200","2058531200","2058531200","630501357","075459529","00102200","1","www.jeffstateonline.com","4","2","1","3","1","2","2","40","1","2","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","Jeff State | JSCC | Jefferson State","4","7","1","-1","2","1","3","40","1","2","3"
"101514","John C Calhoun State Community College","6250 U S Highway 31 N","Tanner","AL","35671","1","5","Dr. Marilyn C. Beck","President","2563062500","2563062628","2563062593","630505871","075464107","00101300","1","www.calhoun.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","Calhoun Community College","4","3","1","-1","2","1","4","40","1","2","3"
"101541","Judson College","302 Bibb St","Marion","AL","36756","1","5","David E Potts","President","3346835100","3346835157","3346835110","630288850","078958741","00102300","1","www.judson.edu","2","1","2","5","1","2","2","30","1","2","2","2","2","43","1","A","-2","-2","-2","1","1","1","1","1","","2","21","6","-1","11","2","8","31","1","2","1"
"101569","Lawson State Community College-Birmingham Campus","3060 Wilson Rd SW","Birmingham","AL","35221-1717","1","5","Perry W Ward","President","2059252515","2059296391","2059296309","630641064","067109926","00105900","1","www.lawsonstate.edu","4","2","1","3","1","2","2","40","1","1","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","","4","7","1","-1","3","1","2","40","1","2","2"
"101587","University of West Alabama","Station One","Livingston","AL","35470","1","5","Dr. Richard Holland","President","2056523400","2056523576","2056523578","636001100","968832394","00102400","1","www.uwa.edu","1","1","1","7","1","1","2","20","1","2","2","2","2","43","1","A","-2","-2","-2","1","1","1","1","1","","2","19","13","1","9","5","10","21","1","2","2"
"101602","Lurleen B Wallace Community College","1000 Dannelly Blvd.","Andalusia","AL","36420-1418","1","5","Dr. Edward Meadows","President","3342226591","3348812272","3348812271","630576487","039570254","00898800","1","www.lbwcc.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","33","1","A","-2","-2","-2","1","1","1","1","1","","4","1","1","-1","3","1","2","40","1","2","2"
"101648","Marion Military Institute","1101 Washington St","Marion","AL","36756","1","5","Col James H. Benson","President","3346832310","3346832309","3346832389","630288853","072092182","00102600","1","www.marionmilitary.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","43","1","A","-2","-2","-2","1","1","1","1","1","","4","9","1","-1","4","1","1","40","1","2","1"
"101675","Miles College","5500 Myron Massey Blvd","Fairfield","AL","35064","1","5","George T. French, Jr.","President","2059291000","2059291664","2059291656","630400608","075460758","00102800","1","www.miles.edu","2","1","2","5","1","2","2","30","1","1","2","2","2","21","1","A","-2","-2","-2","1","1","1","1","1","","2","22","15","-1","12","2","10","32","1","2","2"
"101693","University of Mobile","5735 College Parkway Drive","Mobile","AL","36663-0220","1","5","Mark Foley","President","2516755990","2514422252","2514422220","630417508","082061185","00102900","1","www.umobile.edu","2","1","2","7","1","1","2","20","1","2","2","2","2","21","1","A","-2","-2","-2","1","1","1","1","1","","2","20","13","8","10","3","9","21","1","2","2"
"101709","University of Montevallo","Station 6001","Montevallo","AL","35115","1","5","Phillip Williams","President","2056656155","2056656050","2056656030","636000720","077642619","00100400","1","www.montevallo.edu","1","1","1","8","1","1","2","20","1","2","2","2","2","31","1","A","-2","-2","-2","1","1","1","1","1","","2","19","10","6","11","4","10","21","1","2","2"
"101736","Northwest Shoals Community College-Muscle Shoals","800 George Wallace Blvd","Muscle Shoals","AL","35661","1","5","Humphrey Lee","President","2563315200","2563315368","2563315263","630513822","018777714","00569700","1","www.nwscc.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","23","1","A","-2","-2","-2","1","1","1","1","1","","4","2","1","-1","2","1","3","40","1","2","2"
"101879","University of North Alabama","One Harrison Plaza","Florence","AL","35632-0001","1","5","Wm. G. Cale, Jr.","President","2567654100","2567654278","2567654318","636000893","063659577","00101600","1","www.una.edu","1","1","1","8","1","1","2","20","1","2","2","2","2","13","1","A","-2","-2","-2","1","1","1","1","1","","2","18","13","6","11","3","12","21","1","2","3"
"101897","Northeast Alabama Community College","Hwy 35","Rainsville","AL","35986","1","5","J. David Campbell","President","2056384418234","2056384418227","2056384418222","630504999","082056763","00103100","1","www.nacc.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","42","1","A","-2","-2","-2","1","1","1","1","1","Northeast, NACC, Northeast Alabama State Junior College, Northeast Alabama State Community College","4","2","1","-1","1","1","2","40","1","2","2"
"101912","Oakwood College","7000 Adventist Blvd NW","Huntsville","AL","35896","1","5","Delbert W Baker","President","2567267000","8008245321","8008245312","","072095326","00103300","1","www.oakwood.edu","2","1","2","5","1","2","2","30","1","1","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","","2","22","12","-1","9","2","11","32","1","2","2"
"101949","Alabama Southern Community College","2800 South Alabama Avenue","Monroeville","AL","36460","1","5","John A Johnson","President","2515753156","2515753156256","2515753156222","630503016","081384315","00103400","1","www.ascc.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","","4","1","1","-1","3","1","2","40","1","2","2"
"101958","Prince Institute of Professional Studies Inc","7735 Atlanta Hwy","Montgomery","AL","36117","1","5","Patricia L. Hill","Director","3342711670","3312711670","3342711670","630710076","163355274","02296000","1","princeinstitute.edu","6","2","3","3","1","2","2","40","1","2","-2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","","4","10","1","-1","2","1","1","40","2","2","1"
"101994","Reid State Technical College","I65 and Hwy 83","Evergreen","AL","36401","1","5","Dr Douglas M Littles","President","2515781313","2515781313","2515781313","630510731","625181912","00569200","1","www.rstc.cc.al.us","4","2","1","3","1","2","2","40","1","2","2","2","2","43","1","A","-2","-2","-2","1","1","1","1","1","","4","1","1","-1","3","1","1","40","1","2","1"
"102030","Bishop State Community College","351 North Broad Street","Mobile","AL","36603-5898","1","5","Yvonne Kennedy","President","2516906416","2516906458","2516906402","630507477","020872420","00103000","1","www.bishop.edu","4","2","1","3","1","2","2","40","1","1","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","","4","7","1","-1","2","1","3","40","1","2","2"
"102049","Samford University","800 Lakeshore Drive","Birmingham","AL","35229-2240","1","5","Andrew Westmoreland","President","2057262011","2057262905","2057263673","630312914","075455410","00103600","1","www.samford.edu","2","1","2","9","1","1","1","11","1","2","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","","2","17","10","18","12","5","14","21","1","2","2"
"102067","Shelton State Community College","9500 Old Greensboro Rd","Tuscaloosa","AL","35405-8522","1","5","Dr. Rick Rogers","President","2053912347","2053912376","2053912214","636002149","159134618","00569100","1","www.sheltonstate.edu","4","2","1","3","1","2","2","40","1","1","2","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","","4","3","1","-1","3","1","3","40","1","2","3"
"102076","Snead State Community College","220 North Walnut Street","Boaz","AL","35957-0734","1","5","Lavell Thrasher","Interim President","2565935120","2568404127","2568404107","630521412","038268801","00103800","1","www.snead.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","31","1","A","-2","-2","-2","1","1","1","1","1","","4","1","1","-1","3","1","2","40","1","2","2"
"102094","University of South Alabama","307 N University Blvd","Mobile","AL","36688-0002","1","5","V Gordon Moulton","President","3344606101","3344606231","3344606141","630477348","172750234","00105700","1","www.southalabama.edu","1","1","1","9","1","1","1","11","1","2","1","1","2","12","1","A","-2","-2","-2","1","1","1","1","1","","2","18","13","18","8","4","15","16","1","2","4"
"102216","Southern Community College","205 S Main St","Tuskegee","AL","36083-0688","1","5","Lawrence F Haygood Jr","President","3347275220","33472752203008","3347275220","630589323","008607038","01123700","7","www.SOUTHERNCOMMUNITYCOLLEGE.ORG","5","2","2","4","1","2","2","0","2","2","2","2","2","32","1","A","-2","-2","-2","1","1","1","1","1","","6","-3","-3","-3","-3","-3","-3","-3","2","2","1"
"102234","Spring Hill College","4000 Dauphin St","Mobile","AL","36608-1791","1","5","Gregory F. Lucey, S.J.","President","2513804000","2513803460","2513803030","630302179","072627243","00104100","1","www.shc.edu","2","1","2","7","1","1","2","20","1","2","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","Springhill|Springhill College|SHC|the Hill","2","20","10","8","10","3","11","21","1","2","2"
"102261","Southeastern Bible College","2545 Valleydale Road","Birmingham","AL","35244-2083","1","5","Dr. Don Hawkins","President","2059709200","2059709215","2059709210","630338081","079102406","02270400","1","www.sebc.edu","2","1","2","5","1","2","2","30","1","2","2","2","2","21","1","A","-2","-2","-2","1","1","1","1","1","","2","24","-2","-2","-2","2","-2","51","2","2","1"
"102270","Stillman College","3601 Stillman Boulevard","Tuscaloosa","AL","35403","1","5","Ernest McNealey, Ph.D.","President","2053494240","2053668844","2053668817","630315935","075460931","00104400","1","www.stillman.edu","2","1","2","5","1","2","2","30","1","1","2","2","2","13","1","A","-2","-2","-2","1","1","1","1","1","","2","22","12","-1","9","2","11","32","1","2","1"
"102298","Talladega College","627 W Battle St","Talladega","AL","35160","1","5","Dr. Oscar L. Prater","President","2563620206","2567616341","2567616235","630288870","079114195","00104600","1","www.talladega.edu","2","1","2","5","1","2","2","30","1","1","2","2","2","32","1","A","-2","-2","-2","1","1","1","1","1","","2","21","6","-1","9","2","8","31","1","2","1"
"102313","H Councill Trenholm State Technical College","1225 Air Base Blvd","Montgomery","AL","36108-3199","1","5","Dr. Anthony L. Molina","President","3344204200","3344204321","3344204307","630510750","119842276","00573400","1","www.trenholmtech.cc.al.us","4","2","1","3","1","2","2","40","1","1","2","2","2","12","1","A","-2","-2","-2","1","1","1","1","1","Trenholm Tech","4","1","1","-1","2","1","2","40","1","2","2"
"102368","Troy University","University Avenue","Troy","AL","36082-0001","1","5","Dr. Jack Hawkins, Jr.","Chancellor","3346703100","3346703186","3346703179","636001102","072090939","00104700","1","www.troy.edu","1","1","1","8","1","1","2","20","1","2","2","2","2","32","1","A","-2","-2","-2","1","1","1","1","1","TROY","2","18","13","7","6","5","16","21","1","2","5"
"102377","Tuskegee University","Kresge Center, 3rd Floor","Tuskegee","AL","36088-1920","1","5","Benjamin F Payton","President","3347278011","3347278212","3347278500","","128214178","00105000","1","www.tuskegee.edu","2","1","2","9","1","1","1","11","1","1","2","1","2","32","1","A","-2","-2","-2","1","1","1","1","1","","2","22","13","8","9","4","11","21","1","1","2"
"102395","United States Sports Academy","One Academy Dr","Daphne","AL","36526-7055","1","5","Dr. Thomas P. Rosandich","President/CEO","2516263303","2516263303142","2516263303149","630771624","120903380","02170600","1","www.ussa.edu","2","1","2","9","1","1","2","10","1","2","2","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","","2","32","-2","-2","-2","6","-2","59","2","2","1"
"102429","Bevill State Community College","101 State St","Sumiton","AL","35148","1","5","Harold Wade","President","20564832715400","20564832715814","20564832715813","631102108","797414141","00573300","1","www.bscc.edu","4","2","1","3","1","2","2","40","1","2","2","2","2","31","1","A","-2","-2","-2","1","1","1","1","1","","4","2","1","-1","2","1","3","40","1","2","2"
"102553","University of Alaska Anchorage","3211 Providence Drive","Anchorage","AK","99508-8046","2","8","Elaine P. Maimon","Chancellor","9077861480","9077861586","9077861480","926000147","932445893","01146200","1","www.uaa.alaska.edu","1","1","1","8","1","1","2","20","1","2","2","2","2","11","1","A","-2","-2","-2","1","1","1","1","1","","2","18","10","4","8","3","15","21","1","2","4"
"102614","University of Alaska Fairbanks","Signers' Hall","Fairbanks","AK","99775-7480","2","8","Stephen B. Jones","Chancellor","9074747211","8884747256","8004781823","926000147","048679567","00106300","1","www.uaf.edu","1","1","1","9","1","1","2","10","1","2","2","2","2","23","1","A","-2","-2","-2","1","1","1","1","1","","2","16","7","17","8","4","13","16","1","1","3"
"102632","University of Alaska Southeast","11120 Glacier Highway","Juneau","AK","99801-8697","2","8","John Pugh","Chancellor","8774654827","9077966255","9077966100","926000147","021827050","00106500","1","www.uas.alaska.edu","1","1","1","7","1","1","2","20","1","2","2","2","2","33","1","A","-2","-2","-2","1","1","1","1","1","","2","20","6","9","5","4","10","21","1","2","2"
"102669","Alaska Pacific University","4101 University Dr","Anchorage","AK","99508","2","8","Douglas M North","President","9075611266","9075648342","9075648248","920023588","076637636","00106100","1","www.alaskapacific.edu","2","1","2","7","1","1","2","20","1","2","2","2","2","11","1","A","-2","-2","-2","1","1","1","1","1","","2","20","13","7","7","5","6","21","2","2","1"
"102711","Alaska Vocational Technical Center","809 Second Avenue","Seward","AK","99664-0889","2","8","Fred Esposito","Director","9072243322","9072244150","9072244153","926001185","120327366","03160300","1","avtec.labor.state.ak.us/","7","3","1","2","1","2","2","0","2","2","2","2","2","43","1","A","-2","-2","-2","1","1","1","1","2","","6","-3","-3","-3","-3","-3","-3","-3","2","2","2"
"102845","Charter College","2221 E Northern Lights Blvd Ste 120","Anchorage","AK","99508","2","8","Terrance Harris","President","9072771000","9077771314","9072771000","920105865","131469280","02576900","1","www.chartercollege.edu","3","1","3","5","1","2","2","30","1","2","-2","2","2","11","1","A","-2","-2","-2","1","1","1","1","1","","3","14","2","-1","5","2","6","40","2","2","1"
"103361","Prince William Sound Community College","303 Lowe Street","Valdez","AK","99686","2","8","Douglas A. Desorcie","President","9078341600","9078341631","9078341632","926000147","","01146205","1","www.pwscc.edu.","4","2","1","4","1","2","2","40","1","2","2","2","2","43","1","A","-2","-2","-2","1","1","1","1","1","","4","2","1","-1","1","1","1","40","1","2","1"
"103440","Sheldon Jackson College","801 Lincoln Street","Sitka","AK","99835-7699","2","8","David Dobler","President","9077475220","9077475211","9077475221","920041013","078206042","00106200","1","www.sj-alaska.edu","2","1","2","5","1","2","2","30","1","2","2","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","","3","21","9","-1","9","2","8","32","2","2","1"
"103501","Career Academy","1415 E Tudor Road","Anchorage","AK","99507-1033","2","8","Jennifer Deitz","President","9075637575","9075637575","9075637575","920106326","144406543","02541000","1","www.careeracademy.edu","9","3","3","2","1","2","2","0","2","2","-2","2","2","11","1","A","-2","-2","-2","1","1","1","1","2","","6","-3","-3","-3","-3","-3","-3","-3","2","2","1"
"103529","University of Alaska System of Higher Education","910 Yukon Drive","Fairbanks","AK","99775-5000","2","8","Mark Hamilton","President","9074508000","9074508000","9074508000","-1","","001063A1","2","www.alaska.edu/","0","1","1","9","1","1","2","10","1","2","2","-2","2","23","1","A","-2","-2","-2","1","1","1","1","-2","","-2","-3","-3","-3","-3","-3","-3","-3","2","2","-2"
"103644","Everest College-Phoenix","10400 N. 25th Avenue, Suite 190","Phoenix","AZ","85021-1641","4","6","Todd McDonald","President","6029424141","6029424141","6029424141","330717311","068825256","02295000","1","www.cci.edu","3","1","3","5","1","2","2","30","1","2","-2","2","2","11","1","A","-2","-2","-2","1","1","1","1","1","","3","10","1","-1","3","1","1","40","2","2","2"
"103723","Collins College","1140 S Priest Dr","Tempe","AZ","85281-5206","4","6","John Calman","President","4809663000","4809663000","4809663000","860752105","037607066","02174900","1","www.collinscollege.edu","3","1","3","5","1","2","2","30","1","2","-2","2","2","41","1","A","-2","-2","-2","1","1","1","1","1","","3","23","2","-1","9","2","9","56","2","2","2"
"103732","Artistic Beauty Colleges-Scottsdale","7730 E McDowell #106","Scottsdale","AZ","85257","4","6","Fred Pressel","Regional Manager","6022482828","6022482828","4809497557","860642628","790991517","01293700","1","artisticbeautycolleges.com","9","3","3","2","1","2","2","0","2","2","-2","2","2","12","1","A","-2","-2","-2","1","1","1","1","2","","6","-3","-3","-3","-3","-3","-3","-3","2","2","1"
